njEV,t9ZCGgAIaUI,"[159, 626, 1740, 2437]",
vMyU,v9syP3CnBMc,"[11, 877, 1625]",
9KyU,gARAoTZNbgk,[201],
SpyU,gBFc-7vhpFo,"[0, 12]",
ISyU,gDz9fP02I3c,"[0, 714]","[{'text': 'you', 'start': 0.0, 'duration': 2.06}, {'text': 'you', 'start': 18.21, 'duration': 2.059}, {'text': 'to do super jump you have to hit C on', 'start': 26.16, 'duration': 7.26}, {'text': 'your keyboard which is the Crouch the', 'start': 31.29, 'duration': 4.5}, {'text': ""Crouch button two times so that you're"", 'start': 33.42, 'duration': 7.98}, {'text': ""going prone just like that I'll show you"", 'start': 35.79, 'duration': 8.1}, {'text': 'a little zoomed out view and then what', 'start': 41.4, 'duration': 4.74}, {'text': 'you want to do is double tap W to sprint', 'start': 43.89, 'duration': 6.87}, {'text': 'and jump at the same time and it should', 'start': 46.14, 'duration': 13.29}, {'text': 'look just like this and voila you can', 'start': 50.76, 'duration': 13.229}, {'text': ""jump super high so yeah let's move on to"", 'start': 59.43, 'duration': 9.0}, {'text': 'the wall climbing tutorial alright guys', 'start': 63.989, 'duration': 6.001}, {'text': ""so now we're going to start the wall"", 'start': 68.43, 'duration': 3.9}, {'text': ""climbing tutorial as you can see I'm on"", 'start': 69.99, 'duration': 4.32}, {'text': 'the mat factory over in a corner so', 'start': 72.33, 'duration': 5.01}, {'text': 'nobody can come kill me but um yeah so', 'start': 74.31, 'duration': 5.04}, {'text': 'basically what you want to do is you', 'start': 77.34, 'duration': 3.93}, {'text': 'want to line yourself up directly with', 'start': 79.35, 'duration': 4.65}, {'text': ""the wall just like I'm doing here you"", 'start': 81.27, 'duration': 5.37}, {'text': 'want to line yourself directly it helps', 'start': 84.0, 'duration': 4.47}, {'text': 'if you zoom in first week so then you', 'start': 86.64, 'duration': 3.6}, {'text': 'stay straight and then you want to go', 'start': 88.47, 'duration': 4.14}, {'text': 'prone so double tap see again just like', 'start': 90.24, 'duration': 5.85}, {'text': 'the super jump and you just kind of want', 'start': 92.61, 'duration': 5.31}, {'text': 'to look up and just hold your spacebar', 'start': 96.09, 'duration': 5.82}, {'text': ""button just like that and you'll and"", 'start': 97.92, 'duration': 5.64}, {'text': 'sometimes it glitches out a little bit', 'start': 101.91, 'duration': 3.72}, {'text': 'like right there and then once you get', 'start': 103.56, 'duration': 4.649}, {'text': 'to a surface towards the top it kind of', 'start': 105.63, 'duration': 5.219}, {'text': ""changes how the block is so what you're"", 'start': 108.209, 'duration': 3.72}, {'text': ""going to want to do is you're going to"", 'start': 110.849, 'duration': 3.031}, {'text': 'hit X so then you go into your crouching', 'start': 111.929, 'duration': 4.53}, {'text': 'position alright so let me just get this', 'start': 113.88, 'duration': 6.32}, {'text': ""kill here and I'll show you again just"", 'start': 116.459, 'duration': 5.791}, {'text': 'just in case you can get it the first', 'start': 120.2, 'duration': 4.899}, {'text': 'time so line yourself up go prone and', 'start': 122.25, 'duration': 7.289}, {'text': 'then just hold your spacebar or whatever', 'start': 125.099, 'duration': 7.981}, {'text': 'kinis to jump probably spacebar so then', 'start': 129.539, 'duration': 4.681}, {'text': ""you don't want to just steal just keep"", 'start': 133.08, 'duration': 3.48}, {'text': 'coming up the wall and then once you get', 'start': 134.22, 'duration': 4.62}, {'text': 'to the top you want to hit X right about', 'start': 136.56, 'duration': 6.36}, {'text': 'here and just keep walking forward the', 'start': 138.84, 'duration': 5.52}, {'text': ""whole time just so you don't fall off"", 'start': 142.92, 'duration': 3.99}, {'text': 'the wall remember that and then you get', 'start': 144.36, 'duration': 4.769}, {'text': 'up to the top so yeah guys I hope you', 'start': 146.91, 'duration': 9.93}, {'text': 'enjoyed this video and um have a good', 'start': 149.129, 'duration': 9.221}, {'text': 'rest of the day I guess', 'start': 156.84, 'duration': 3.81}, {'text': 'so yeah', 'start': 158.35, 'duration': 2.3}, {'text': 'you', 'start': 168.26, 'duration': 2.059}]"
npyU,6lvHEmCmlvQ,"[2, 7, 1005, 1040]",
wMyU,eR5YYH8LDtM,"[6, 206]",
nQyU,auMBmzGTzUM,"[3, 4, 6, 10, 2656]",
deyU,ayfTy4cLWpM,[3],
PMyU,zPD6GGkDWZc,[24],"[{'text': 'hi everyone this is dave from geek', 'start': 5.24, 'duration': 3.91}, {'text': 'androids and welcome to video number', 'start': 7.47, 'duration': 5.16}, {'text': 'three of my AV editing suite series now', 'start': 9.15, 'duration': 5.67}, {'text': 'in the previous video you saw me give', 'start': 12.63, 'duration': 5.31}, {'text': 'you a demonstration of the krk rokit six', 'start': 14.82, 'duration': 5.91}, {'text': 'active studio monitors and the sound', 'start': 17.94, 'duration': 4.62}, {'text': 'reproduction on them is very very good', 'start': 20.73, 'duration': 4.02}, {'text': 'even just straight out of the box but', 'start': 22.56, 'duration': 3.87}, {'text': 'there are things you can do to improve', 'start': 24.75, 'duration': 3.75}, {'text': ""the audio quality and it's very"", 'start': 26.43, 'duration': 3.599}, {'text': ""important when you're monitoring the"", 'start': 28.5, 'duration': 3.359}, {'text': ""audio that you've recorded that you get"", 'start': 30.029, 'duration': 4.381}, {'text': 'the absolutely best possible audio out', 'start': 31.859, 'duration': 5.461}, {'text': 'of your speakers or studio monitors so', 'start': 34.41, 'duration': 3.96}, {'text': 'the products are going to show you in', 'start': 37.32, 'duration': 3.57}, {'text': 'this video is these things are the', 'start': 38.37, 'duration': 5.7}, {'text': 'editors keys studio series monitor', 'start': 40.89, 'duration': 5.61}, {'text': ""guards they're very cost effective way"", 'start': 44.07, 'duration': 4.89}, {'text': 'of improving the audio quality on your', 'start': 46.5, 'duration': 5.579}, {'text': 'speakers now you can see my rokea six', 'start': 48.96, 'duration': 5.4}, {'text': ""monitors just sitting here there's one"", 'start': 52.079, 'duration': 3.631}, {'text': 'here and one behind the box in the', 'start': 54.36, 'duration': 4.23}, {'text': 'corner here and they do come with these', 'start': 55.71, 'duration': 5.189}, {'text': 'sort of foam pads on the bottom of the', 'start': 58.59, 'duration': 4.62}, {'text': ""units and what that's meant to do is"", 'start': 60.899, 'duration': 3.781}, {'text': 'actually cut down on some of the', 'start': 63.21, 'duration': 4.47}, {'text': 'vibrations that the audio can cause and', 'start': 64.68, 'duration': 6.21}, {'text': 'it can resonate down into your desk well', 'start': 67.68, 'duration': 5.82}, {'text': 'these monitor guards actually sit', 'start': 70.89, 'duration': 4.95}, {'text': 'underneath the monitors and they create', 'start': 73.5, 'duration': 4.71}, {'text': 'a really good isolation between the', 'start': 75.84, 'duration': 4.59}, {'text': 'actual monitor itself and the desk or', 'start': 78.21, 'duration': 4.38}, {'text': ""the stand that you're putting your"", 'start': 80.43, 'duration': 4.77}, {'text': ""monitors on so let's have a look and see"", 'start': 82.59, 'duration': 6.9}, {'text': ""what we get inside the box and we've got"", 'start': 85.2, 'duration': 7.44}, {'text': ""one bag in here let's have a look pull"", 'start': 89.49, 'duration': 6.93}, {'text': 'this out and we will pop that box just', 'start': 92.64, 'duration': 7.86}, {'text': ""back up there like so and let's have a"", 'start': 96.42, 'duration': 6.559}, {'text': ""look in here so they're essentially"", 'start': 100.5, 'duration': 6.72}, {'text': 'acoustic foam pads and in one box you', 'start': 102.979, 'duration': 8.201}, {'text': ""get four of these so we've got four in"", 'start': 107.22, 'duration': 8.37}, {'text': 'total and the idea behind these is they', 'start': 111.18, 'duration': 8.46}, {'text': 'sit underneath each of your monitors you', 'start': 115.59, 'duration': 6.36}, {'text': ""put two on each monitor you'll see me in"", 'start': 119.64, 'duration': 4.17}, {'text': 'a moment actually installing these and', 'start': 121.95, 'duration': 3.419}, {'text': 'then also going to give you another', 'start': 123.81, 'duration': 4.38}, {'text': 'audio test to really give you my opinion', 'start': 125.369, 'duration': 5.101}, {'text': ""on whether I think they've actually"", 'start': 128.19, 'duration': 4.439}, {'text': 'improved the audio quality of those', 'start': 130.47, 'duration': 2.79}, {'text': 'rotate', 'start': 132.629, 'duration': 4.201}, {'text': 'six now I like the actual sort of fear', 'start': 133.26, 'duration': 5.25}, {'text': 'of these they feel very well made and', 'start': 136.83, 'duration': 4.019}, {'text': 'there are very sort of dense foam', 'start': 138.51, 'duration': 4.319}, {'text': 'material and just give you a close-up of', 'start': 140.849, 'duration': 4.771}, {'text': ""that so they're really dense foam so"", 'start': 142.829, 'duration': 4.41}, {'text': ""it's not something you could just buy a"", 'start': 145.62, 'duration': 3.06}, {'text': 'cheap piece of foam and put them under', 'start': 147.239, 'duration': 3.33}, {'text': 'your speakers now of course you could', 'start': 148.68, 'duration': 4.35}, {'text': 'but you need this sort of denseness to', 'start': 150.569, 'duration': 4.441}, {'text': 'the phone to really isolate the product', 'start': 153.03, 'duration': 3.989}, {'text': ""that you're standing on top of them so"", 'start': 155.01, 'duration': 4.619}, {'text': ""let's get these installed and then I'll"", 'start': 157.019, 'duration': 4.621}, {'text': 'give you an audio test with these in', 'start': 159.629, 'duration': 4.411}, {'text': 'place now installing these is extremely', 'start': 161.64, 'duration': 4.2}, {'text': 'easy but I just want to explain the', 'start': 164.04, 'duration': 3.72}, {'text': ""reason you've got two pieces of foam on"", 'start': 165.84, 'duration': 3.69}, {'text': 'each one is you can see these are', 'start': 167.76, 'duration': 3.78}, {'text': ""slightly soft angled so when they're on"", 'start': 169.53, 'duration': 4.26}, {'text': ""the desk it's going to actually point"", 'start': 171.54, 'duration': 4.259}, {'text': 'your monitor in a sort of downwards', 'start': 173.79, 'duration': 4.319}, {'text': ""position so you'd use these without the"", 'start': 175.799, 'duration': 4.56}, {'text': 'extra foam if they were higher than your', 'start': 178.109, 'duration': 3.69}, {'text': 'listening position said you could', 'start': 180.359, 'duration': 3.361}, {'text': 'actually have them angled so downwards', 'start': 181.799, 'duration': 3.81}, {'text': ""slightly well I'm going to be using them"", 'start': 183.72, 'duration': 4.769}, {'text': 'probably like this I think because these', 'start': 185.609, 'duration': 4.591}, {'text': 'are going to be on a level sort of', 'start': 188.489, 'duration': 4.231}, {'text': 'playing with my listening position so', 'start': 190.2, 'duration': 5.399}, {'text': ""let's just grab one of these and we're"", 'start': 192.72, 'duration': 5.46}, {'text': 'going to just move this monitor over', 'start': 195.599, 'duration': 4.32}, {'text': ""slightly and I'm going to try and do"", 'start': 198.18, 'duration': 3.48}, {'text': 'this the easy way which is just sort of', 'start': 199.919, 'duration': 4.47}, {'text': ""put that under one edge and then we're"", 'start': 201.66, 'duration': 4.759}, {'text': 'going to get a second one ready and', 'start': 204.389, 'duration': 4.831}, {'text': ""we're just going to sweep this up onto"", 'start': 206.419, 'duration': 4.96}, {'text': 'the top of the guard and then poke the', 'start': 209.22, 'duration': 3.84}, {'text': ""other one under so we've got this under"", 'start': 211.379, 'duration': 4.561}, {'text': 'this side and then we will do the same', 'start': 213.06, 'duration': 5.639}, {'text': 'again so we just shuffle it across until', 'start': 215.94, 'duration': 4.62}, {'text': ""we've got these into the position that"", 'start': 218.699, 'duration': 3.87}, {'text': ""we want them now I'm really pleased that"", 'start': 220.56, 'duration': 3.929}, {'text': 'I chose to use the second piece of foam', 'start': 222.569, 'duration': 4.411}, {'text': 'because I do want these sort of sitting', 'start': 224.489, 'duration': 4.981}, {'text': 'at a flush angle with my listening', 'start': 226.98, 'duration': 4.8}, {'text': 'position so now these are completely', 'start': 229.47, 'duration': 4.949}, {'text': 'isolated from the desk underneath so', 'start': 231.78, 'duration': 4.62}, {'text': ""when I'm playing music back that I've"", 'start': 234.419, 'duration': 5.25}, {'text': 'recorded a louder volume the vibrations', 'start': 236.4, 'duration': 5.82}, {'text': ""from the speaker won't actually resonate"", 'start': 239.669, 'duration': 4.201}, {'text': ""down into the desk that they're sitting"", 'start': 242.22, 'duration': 4.139}, {'text': ""on so now let's move on to the audio"", 'start': 243.87, 'duration': 6.619}, {'text': ""test and see if it's made an improvement"", 'start': 246.359, 'duration': 4.13}, {'text': 'now due to the audio compression in this', 'start': 269.23, 'duration': 4.63}, {'text': ""video I'm not sure you'll be able to"", 'start': 272.12, 'duration': 3.57}, {'text': 'have actually heard the audio quality', 'start': 273.86, 'duration': 5.25}, {'text': 'difference but in person the audio that', 'start': 275.69, 'duration': 5.1}, {'text': 'the rocket six actually produced with', 'start': 279.11, 'duration': 3.96}, {'text': 'the monitor guards in place was quite a', 'start': 280.79, 'duration': 4.62}, {'text': 'bit different a lot tighter in its sound', 'start': 283.07, 'duration': 4.71}, {'text': 'and a lot more focused as well and in', 'start': 285.41, 'duration': 4.35}, {'text': 'addition to that I actually have my hand', 'start': 287.78, 'duration': 4.62}, {'text': 'on the desk prior to installing the', 'start': 289.76, 'duration': 3.72}, {'text': 'monitor guards and you could definitely', 'start': 292.4, 'duration': 3.51}, {'text': 'feel the vibrations coming through onto', 'start': 293.48, 'duration': 4.38}, {'text': 'the desk well with the monitor guards', 'start': 295.91, 'duration': 3.84}, {'text': 'installed the difference was quite', 'start': 297.86, 'duration': 4.74}, {'text': 'remarkable they really did isolate these', 'start': 299.75, 'duration': 5.91}, {'text': 'speaker units from the desk so a very', 'start': 302.6, 'duration': 5.88}, {'text': 'worthwhile purchase now up until now', 'start': 305.66, 'duration': 5.37}, {'text': ""I've been connecting to the unbalanced"", 'start': 308.48, 'duration': 4.5}, {'text': 'input on the back of these via this', 'start': 311.03, 'duration': 3.15}, {'text': 'cable here and this is like a', 'start': 312.98, 'duration': 3.24}, {'text': 'three-and-a-half millimeter audio jack', 'start': 314.18, 'duration': 4.29}, {'text': 'going into the side of my macbook air', 'start': 316.22, 'duration': 4.11}, {'text': 'what I want to take things to the next', 'start': 318.47, 'duration': 4.08}, {'text': 'level and I want to actually connect to', 'start': 320.33, 'duration': 4.86}, {'text': 'these via much higher grade cables and', 'start': 322.55, 'duration': 5.04}, {'text': 'via the balanced inputs and to do that', 'start': 325.19, 'duration': 4.44}, {'text': ""I'm going to need to use a USB audio"", 'start': 327.59, 'duration': 3.93}, {'text': ""interface which I'm going to be showing"", 'start': 329.63, 'duration': 5.28}, {'text': 'you in the next video in this series so', 'start': 331.52, 'duration': 4.77}, {'text': 'thanks very much for watching this one', 'start': 334.91, 'duration': 4.11}, {'text': 'please do join me again tomorrow and I', 'start': 336.29, 'duration': 6.83}, {'text': 'will see you all in the next video', 'start': 339.02, 'duration': 4.1}, {'text': 'member', 'start': 354.1, 'duration': 3.0}]"
ydyU,ijcBGo3xzUI,"[2, 30, 196, 361, 2018]",
sxyU,irp2FIsKhB0,"[5, 16]","[{'text': ""and now with a statement on last week's"", 'start': 20.36, 'duration': 6.06}, {'text': 'state visit to Britain the president of', 'start': 24.08, 'duration': 8.01}, {'text': 'France my perusal boombastic team upon', 'start': 26.42, 'duration': 7.83}, {'text': 'toss ticket to fado no dope and', 'start': 32.09, 'duration': 15.12}, {'text': ""m'appelle miss oh ho oh yes to the d Oh"", 'start': 34.25, 'duration': 28.079}, {'text': 'mal domanda Oh your elect a bunch off', 'start': 47.21, 'duration': 16.98}, {'text': ""work early didn't I I'm missing the"", 'start': 62.329, 'duration': 3.991}, {'text': ""second I'll never will have noticed I"", 'start': 64.19, 'duration': 4.41}, {'text': 'did actually cuz though using my jersey', 'start': 66.32, 'duration': 4.14}, {'text': ""is one of the goalposts well I don't"", 'start': 68.6, 'duration': 5.19}, {'text': 'care diggit I have decided that I should', 'start': 70.46, 'duration': 6.09}, {'text': 'pursue my vocation as a talented actress', 'start': 73.79, 'duration': 5.28}, {'text': ""so I've invited Stephen Spielberg round"", 'start': 76.55, 'duration': 3.87}, {'text': 'so he can find me working one of his', 'start': 79.07, 'duration': 4.56}, {'text': 'award-winning films like at its 18 not', 'start': 80.42, 'duration': 6.15}, {'text': 'yet I know that now put out some olives', 'start': 83.63, 'duration': 6.38}, {'text': ""David sophisticated people's like honest"", 'start': 86.57, 'duration': 6.75}, {'text': 'save lovely of you to come round I have', 'start': 90.01, 'duration': 5.41}, {'text': 'seen all of your classics from Jaws to', 'start': 93.32, 'duration': 4.62}, {'text': ""deuce bigalow male gigolo that's not one"", 'start': 95.42, 'duration': 8.91}, {'text': ""of mine have an olive no thang set don't"", 'start': 97.94, 'duration': 8.46}, {'text': ""like them no they're horrible are they I"", 'start': 104.33, 'duration': 3.84}, {'text': ""told you David I said he wouldn't like"", 'start': 106.4, 'duration': 9.329}, {'text': 'onyx who left Saving Private Ryan thank', 'start': 108.17, 'duration': 9.059}, {'text': ""you yeah what a lot of people don't"", 'start': 115.729, 'duration': 4.5}, {'text': ""realize about Ryan Steve it's a delicacy"", 'start': 117.229, 'duration': 6.121}, {'text': ""from you uh let's just say I'm glad I'd"", 'start': 120.229, 'duration': 5.611}, {'text': 'won the Academy Award yes you wanna go', 'start': 123.35, 'duration': 4.14}, {'text': 'scare different you I know how that', 'start': 125.84, 'duration': 3.99}, {'text': 'feels actually because I won the Smash', 'start': 127.49, 'duration': 4.83}, {'text': 'Hitz awards for best finger beat the', 'start': 129.83, 'duration': 4.92}, {'text': 'witched so how are you liking the soccer', 'start': 132.32, 'duration': 5.07}, {'text': ""over here David doesn't want to talk"", 'start': 134.75, 'duration': 4.86}, {'text': ""about football that's a damn well my"", 'start': 137.39, 'duration': 3.629}, {'text': 'father played for it what are you being', 'start': 139.61, 'duration': 2.73}, {'text': 'in the movies cuz I was gonna maybe once', 'start': 141.019, 'duration': 3.871}, {'text': 'stayed really inspired I did a mess of', 'start': 142.34, 'duration': 4.679}, {'text': 'acting in that actually i showed my full', 'start': 144.89, 'duration': 6.84}, {'text': ""range dad angry okay is that good that's"", 'start': 147.019, 'duration': 6.071}, {'text': ""good isn't it what do you take"", 'start': 151.73, 'duration': 16.229}, {'text': 'and I is that the time it was reaching', 'start': 153.09, 'duration': 14.869}, {'text': 'damjan josh on the table your careers', 'start': 172.93, 'duration': 6.309}, {'text': ""I'm slides in this list was no choice to"", 'start': 177.349, 'duration': 3.991}, {'text': 'you need is an international celebrity', 'start': 179.239, 'duration': 4.201}, {'text': 'my career is on the way up I can help', 'start': 181.34, 'duration': 12.05}, {'text': ""you out wasn't warm apply ghee people go"", 'start': 183.44, 'duration': 9.95}, {'text': 'see you David these people will help me', 'start': 193.69, 'duration': 7.78}, {'text': 'showcase my talents waitress can have a', 'start': 196.91, 'duration': 7.2}, {'text': 'portion of Olives please sir let it be a', 'start': 201.47, 'duration': 5.34}, {'text': 'letter for pudding enjoy your moment', 'start': 204.11, 'duration': 12.78}, {'text': ""David wait till I get you home hi I'm"", 'start': 206.81, 'duration': 12.739}, {'text': 'Piers Morgan', 'start': 216.89, 'duration': 2.659}, {'text': ""and to see that I'm out of touch with"", 'start': 225.09, 'duration': 4.38}, {'text': 'the public is balderdash and pish you', 'start': 226.98, 'duration': 6.36}, {'text': 'chum gondola I have composed an email to', 'start': 229.47, 'duration': 5.73}, {'text': 'the mones of the party mrs. Smith take', 'start': 233.34, 'duration': 4.02}, {'text': 'it to the wood speed see see it to the', 'start': 235.2, 'duration': 5.16}, {'text': 'editor of the interweb and attach these', 'start': 237.36, 'duration': 8.189}, {'text': ""files will eat that or webcam alone it's"", 'start': 240.36, 'duration': 7.019}, {'text': ""bad news it's not my fault they really"", 'start': 245.549, 'duration': 9.421}, {'text': ""don't like you darling what happened you"", 'start': 247.379, 'duration': 9.661}, {'text': 'came bottom in heat magazines wat skool', 'start': 254.97, 'duration': 4.32}, {'text': 'survey behind gondolier pedophilia and', 'start': 257.04, 'duration': 4.53}, {'text': 'Jade Goody what about come along he did', 'start': 259.29, 'duration': 4.2}, {'text': 'much better he only came between leprosy', 'start': 261.57, 'duration': 4.53}, {'text': 'and dog vomit oh the sad betel not be', 'start': 263.49, 'duration': 5.04}, {'text': 'seen bite he who shall not be named you', 'start': 266.1, 'duration': 6.51}, {'text': ""mean Tony Blair dollar I don't reverse"", 'start': 268.53, 'duration': 6.24}, {'text': 'the charges hello hello this is your', 'start': 272.61, 'duration': 4.71}, {'text': 'advisor ed Balls not Tony Blair hello by', 'start': 274.77, 'duration': 4.619}, {'text': 'adviser ed Balls not hoodie blue saw you', 'start': 277.32, 'duration': 3.78}, {'text': ""on the cover of heat and thought you'd"", 'start': 279.389, 'duration': 3.481}, {'text': ""be wanting my advice thought you'd be"", 'start': 281.1, 'duration': 4.379}, {'text': ""linked yourself I'm all heat and I want"", 'start': 282.87, 'duration': 5.669}, {'text': 'ball I was well say it I have on heat I', 'start': 285.479, 'duration': 7.051}, {'text': 'know what balls is that it patented so', 'start': 288.539, 'duration': 6.241}, {'text': 'my advisor ed Balls not Tony Blair what', 'start': 292.53, 'duration': 4.199}, {'text': 'do you advise I do you should have a', 'start': 294.78, 'duration': 4.139}, {'text': 'celebrity party at Downing Street just', 'start': 296.729, 'duration': 4.951}, {'text': 'like your sexy predecessor just like no', 'start': 298.919, 'duration': 6.18}, {'text': ""way you'll screw that up that's good"", 'start': 301.68, 'duration': 6.93}, {'text': 'what a good idea hang on or that opening', 'start': 305.099, 'duration': 5.311}, {'text': 'and all bins in stoke on Tuesday well', 'start': 308.61, 'duration': 3.45}, {'text': ""I'll do it if it's cash but we'll have"", 'start': 310.41, 'duration': 5.55}, {'text': 'to cancel Hamas darling get me the', 'start': 312.06, 'duration': 5.85}, {'text': 'addresses of every cool person in the', 'start': 315.96, 'duration': 6.38}, {'text': ""country we're having our pasture"", 'start': 317.91, 'duration': 4.43}, {'text': ""oh I've not felt such xhilaration since"", 'start': 327.48, 'duration': 5.88}, {'text': 'raising the small company taxation', 'start': 331.65, 'duration': 3.96}, {'text': 'threshold how many cool people are', 'start': 333.36, 'duration': 5.64}, {'text': 'related so far Jackie smooth 200 200 oh', 'start': 335.61, 'duration': 5.97}, {'text': ""that's great actually ten thousand"", 'start': 339.0, 'duration': 6.72}, {'text': 'twenty seven no six hundred Oh 93 but', 'start': 341.58, 'duration': 5.67}, {'text': ""frankly I don't know how many we've let"", 'start': 345.72, 'duration': 3.66}, {'text': ""it up I've got no records Oh give me a"", 'start': 347.25, 'duration': 6.42}, {'text': 'rough estimate nope not not where are', 'start': 349.38, 'duration': 6.15}, {'text': 'the guests did they get the invites but', 'start': 353.67, 'duration': 3.24}, {'text': 'of course I gave them to a junior', 'start': 355.53, 'duration': 5.45}, {'text': 'officer the Inland Revenue to post oh', 'start': 356.91, 'duration': 4.07}, {'text': 'darling I have a photographer from heat', 'start': 361.52, 'duration': 4.81}, {'text': 'magazine coming round and we have the', 'start': 364.77, 'duration': 4.43}, {'text': 'rest of guests', 'start': 366.33, 'duration': 2.87}, {'text': ""yoke is big lips no it's Amy White House"", 'start': 371.31, 'duration': 6.12}, {'text': 'and pete doherty there three of the', 'start': 375.66, 'duration': 4.02}, {'text': ""country's kunis pop stars but they'll"", 'start': 377.43, 'duration': 4.98}, {'text': ""drug-taking Lee about Nell do l's we"", 'start': 379.68, 'duration': 4.77}, {'text': ""shouldn't let the bed it's never stopped"", 'start': 382.41, 'duration': 7.26}, {'text': 'this government before I thank you ma', 'start': 384.45, 'duration': 8.42}, {'text': 'are there was a party can we crash oh', 'start': 389.67, 'duration': 11.64}, {'text': ""let's get this party started you got any"", 'start': 392.87, 'duration': 11.38}, {'text': 'booze oh of course help yourself you', 'start': 401.31, 'duration': 11.34}, {'text': 'could settle up meeting say goodbye', 'start': 404.25, 'duration': 11.19}, {'text': 'chili all thanks for coming all this is', 'start': 412.65, 'duration': 6.09}, {'text': 'worth a look at me to eat who Blair had', 'start': 415.44, 'duration': 5.52}, {'text': 'never had a party this cool how many', 'start': 418.74, 'duration': 8.1}, {'text': 'tattoos has he been given done what does', 'start': 420.96, 'duration': 9.59}, {'text': 'mine say it says', 'start': 426.84, 'duration': 3.71}, {'text': 'to deny all rumors of unrest in the', 'start': 443.52, 'duration': 4.959}, {'text': 'England camp fabio capello with help', 'start': 446.409, 'duration': 4.59}, {'text': 'from the FAS translator impossibilities', 'start': 448.479, 'duration': 4.97}, {'text': 'info miracle it all looks very promising', 'start': 450.999, 'duration': 5.76}, {'text': 'England the player crap the squad is', 'start': 453.449, 'duration': 5.951}, {'text': ""shaping up well she'd be dead belong the"", 'start': 456.759, 'duration': 5.551}, {'text': 'ball stupid or some of our play against', 'start': 459.4, 'duration': 5.879}, {'text': 'France was exceptional it stated the', 'start': 462.31, 'duration': 5.699}, {'text': 'James Burton / David James is an', 'start': 465.279, 'duration': 5.91}, {'text': 'excellent goalkeeper Bickham and Beckham', 'start': 468.009, 'duration': 5.671}, {'text': ""well he's the new copier on all the"", 'start': 471.189, 'duration': 5.311}, {'text': 'mcdonald ronaldo when all in all i am', 'start': 473.68, 'duration': 6.06}, {'text': 'confident of qualification for 2010 Liam', 'start': 476.5, 'duration': 8.12}, {'text': 'axle and the FA is doing a brilliant job', 'start': 479.74, 'duration': 4.88}]"
p3yU,pZ7W5sOtrnE,"[17, 19, 129, 639]",
HeyU,3WgtOjLRQcs,"[0, 93, 102, 449]",
