GkEU,6N-HW4nwHM4,[0],
3REU,sSESBDfCxRI,"[0, 1, 139]",
dFEU,sUPwks7FTFk,"[66, 148, 253]",
cpEU,9whrlNcU1AA,"[0, 12]",
rJEU,xc-g821CIcI,"[18, 59]","[{'text': 'well hi again this is a chuck this is', 'start': 1.07, 'duration': 5.7}, {'text': 'our aquaculture home project part two', 'start': 3.51, 'duration': 8.49}, {'text': ""well my last I'll video posting we had"", 'start': 6.77, 'duration': 7.69}, {'text': ""lung we didn't have quite as much gravel"", 'start': 12.0, 'duration': 4.289}, {'text': 'in the grow bed nor do we have any', 'start': 14.46, 'duration': 3.63}, {'text': ""plants in or do we have fish so here's"", 'start': 16.289, 'duration': 6.811}, {'text': ""what I've done I've got to tick marks"", 'start': 18.09, 'duration': 7.71}, {'text': ""down here okay here's a marker right"", 'start': 23.1, 'duration': 4.74}, {'text': ""here I don't know that light is very"", 'start': 25.8, 'duration': 4.979}, {'text': ""good there's a black mark and then"", 'start': 27.84, 'duration': 5.04}, {'text': ""there's a black mark up here that's a"", 'start': 30.779, 'duration': 3.811}, {'text': ""low and high level and I've adjusted"", 'start': 32.88, 'duration': 5.07}, {'text': 'that using this loop siphon and as you', 'start': 34.59, 'duration': 4.71}, {'text': 'can see right here the water is starting', 'start': 37.95, 'duration': 3.75}, {'text': 'to fill up and this is going to kick in', 'start': 39.3, 'duration': 5.189}, {'text': ""and then we'll Gunners we've added a PVC"", 'start': 41.7, 'duration': 5.48}, {'text': 'pipe that takes it down into the water', 'start': 44.489, 'duration': 6.361}, {'text': 'okay so the water levels just about up', 'start': 47.18, 'duration': 5.17}, {'text': 'there going to hear a student a sucking', 'start': 50.85, 'duration': 3.51}, {'text': ""sound here and and then it's going to"", 'start': 52.35, 'duration': 4.02}, {'text': 'take off and works very very well I was', 'start': 54.36, 'duration': 4.109}, {'text': 'really surprised now I wanted to build', 'start': 56.37, 'duration': 4.05}, {'text': ""one of those I'll bail siphons but I"", 'start': 58.469, 'duration': 3.631}, {'text': 'looked a little bit complex for my', 'start': 60.42, 'duration': 4.919}, {'text': 'ability so i discovered the loop siphon', 'start': 62.1, 'duration': 5.46}, {'text': ""i've been very very pleased with the"", 'start': 65.339, 'duration': 6.301}, {'text': 'results as you can see we put a few', 'start': 67.56, 'duration': 6.03}, {'text': 'plants up here these are plants where we', 'start': 71.64, 'duration': 4.019}, {'text': 'started several months ago well probably', 'start': 73.59, 'duration': 4.29}, {'text': 'all six weeks ago using seeds from last', 'start': 75.659, 'duration': 4.551}, {'text': 'year my way through some green beans', 'start': 77.88, 'duration': 5.16}, {'text': ""we've got some lettuce yeah we got it"", 'start': 80.21, 'duration': 4.229}, {'text': 'tomato there and add a couple more', 'start': 83.04, 'duration': 4.53}, {'text': 'plants when we get a little bit of time', 'start': 84.439, 'duration': 9.521}, {'text': 'here ok so the here is the tank and you', 'start': 87.57, 'duration': 8.31}, {'text': 'can see the water flowing down there is', 'start': 93.96, 'duration': 4.56}, {'text': 'some error on agitation of the water', 'start': 95.88, 'duration': 5.21}, {'text': 'draining', 'start': 98.52, 'duration': 2.57}, {'text': 'there we go we can see that the water', 'start': 106.67, 'duration': 6.19}, {'text': 'nails at this particular level okay did', 'start': 109.59, 'duration': 6.51}, {'text': 'I buy a bigger pump to support the 150', 'start': 112.86, 'duration': 6.12}, {'text': 'gallons with the water seating a few air', 'start': 116.1, 'duration': 5.31}, {'text': ""stones I've got a really big one down"", 'start': 118.98, 'duration': 5.52}, {'text': 'there a foot long and then over here we', 'start': 121.41, 'duration': 5.73}, {'text': 'got the smaller air stones I want to see', 'start': 124.5, 'duration': 3.99}, {'text': 'how that does as far as putting out', 'start': 127.14, 'duration': 3.9}, {'text': 'oxygen into the water we brought the', 'start': 128.49, 'duration': 5.46}, {'text': ""home the fish home yesterday the we've"", 'start': 131.04, 'duration': 4.92}, {'text': 'added a 300 watt heater and two days ago', 'start': 133.95, 'duration': 3.9}, {'text': 'we put that in there and the temperature', 'start': 135.96, 'duration': 7.46}, {'text': 'was 55 degrees and we got it up to 65', 'start': 137.85, 'duration': 8.22}, {'text': 'went to the pet store my wife to check', 'start': 143.42, 'duration': 4.48}, {'text': 'the chemistry of the water those basics', 'start': 146.07, 'duration': 5.19}, {'text': 'and we brought bought 20 comment', 'start': 147.9, 'duration': 5.43}, {'text': 'goldfish there about three inches long', 'start': 151.26, 'duration': 5.55}, {'text': 'each on average and you can see there', 'start': 153.33, 'duration': 5.46}, {'text': 'they are in fact the water is a lot', 'start': 156.81, 'duration': 4.08}, {'text': 'clearer now when we put any of the lava', 'start': 158.79, 'duration': 3.81}, {'text': 'rock and that Pete grab will kind of', 'start': 160.89, 'duration': 3.9}, {'text': 'clout it up the water spend about three', 'start': 162.6, 'duration': 3.81}, {'text': ""days it's been getting a lot better and"", 'start': 164.79, 'duration': 4.14}, {'text': 'gone through a couple of filters which I', 'start': 166.41, 'duration': 6.54}, {'text': 'also added since the last time this is', 'start': 168.93, 'duration': 6.12}, {'text': 'really small clearly undersized but it', 'start': 172.95, 'duration': 3.95}, {'text': 'is certainly doing a really good job', 'start': 175.05, 'duration': 5.52}, {'text': 'filtering out the other sediment you can', 'start': 176.9, 'duration': 5.53}, {'text': ""see how that nasty that looks so it's"", 'start': 180.57, 'duration': 5.31}, {'text': 'working so give that a couple days and', 'start': 182.43, 'duration': 6.8}, {'text': ""I'll go ahead and change that out again"", 'start': 185.88, 'duration': 3.35}, {'text': 'okay so with water chemistry set the', 'start': 189.65, 'duration': 4.9}, {'text': 'water temperature is now probably about', 'start': 193.11, 'duration': 3.87}, {'text': '68 degrees these goldfish like it from', 'start': 194.55, 'duration': 5.43}, {'text': '65 to 75 now our goal is to grow catfish', 'start': 196.98, 'duration': 5.82}, {'text': 'tilapia a mix I understand they do very', 'start': 199.98, 'duration': 5.13}, {'text': 'well together however I wanted to', 'start': 202.8, 'duration': 4.14}, {'text': 'experiment with some cheaper fish so I', 'start': 205.11, 'duration': 3.11}, {'text': 'can get these at the local store', 'start': 206.94, 'duration': 5.31}, {'text': 'fighting tilapia and catfish locally', 'start': 208.22, 'duration': 6.43}, {'text': 'another near Charleston South Carolina I', 'start': 212.25, 'duration': 5.13}, {'text': ""haven't found a source yet so the fact"", 'start': 214.65, 'duration': 3.869}, {'text': 'of what are you know shipping is pretty', 'start': 217.38, 'duration': 3.69}, {'text': ""expensive it's almost 150 hundred eighty"", 'start': 218.519, 'duration': 6.091}, {'text': 'dollars just to ship 25 too fishy 50th', 'start': 221.07, 'duration': 6.72}, {'text': 'fingerlings here to South Carolina so', 'start': 224.61, 'duration': 5.34}, {'text': 'still looking for that more practicing', 'start': 227.79, 'duration': 4.29}, {'text': 'with these guys they seem to be pretty', 'start': 229.95, 'duration': 5.909}, {'text': 'happy glad to see that this evening they', 'start': 232.08, 'duration': 5.07}, {'text': 'decided to come up i just got done', 'start': 235.859, 'duration': 3.381}, {'text': 'putting so feed out there', 'start': 237.15, 'duration': 5.09}, {'text': 'and I mix using this little goldfish', 'start': 239.24, 'duration': 6.51}, {'text': 'feed but as a system work so you know', 'start': 242.24, 'duration': 5.55}, {'text': 'the pump takes the water out brings it', 'start': 245.75, 'duration': 4.65}, {'text': 'to the top where filters it pours it', 'start': 247.79, 'duration': 5.37}, {'text': 'into the grow bed and then it fills up', 'start': 250.4, 'duration': 5.16}, {'text': ""it then drains so we're going to see"", 'start': 253.16, 'duration': 4.89}, {'text': 'what happens here and just one thing a', 'start': 255.56, 'duration': 4.92}, {'text': 'reminder we do have a GFCI ground fault', 'start': 258.05, 'duration': 3.689}, {'text': 'circuit interrupter you definitely need', 'start': 260.48, 'duration': 2.25}, {'text': ""those when you're working with"", 'start': 261.739, 'duration': 3.541}, {'text': 'electricity and water and that if', 'start': 262.73, 'duration': 5.39}, {'text': ""there's the lighting"", 'start': 265.28, 'duration': 2.84}]"
kLEU,xsywtTyPDvY,"[5, 2096]",
PeEU,dwqsZ523Sew,"[11, 20, 1772]","[{'text': 'yo guys mr. cool cop turned ray and mr.', 'start': 1.41, 'duration': 6.72}, {'text': 'bang man 100 as you can see and today', 'start': 4.95, 'duration': 4.89}, {'text': ""we're gonna do another milkshake and"", 'start': 8.13, 'duration': 4.26}, {'text': ""today's milkshake is skittles"", 'start': 9.84, 'duration': 5.46}, {'text': ""now there's maybe wondering it is"", 'start': 12.39, 'duration': 6.09}, {'text': 'confused skills when you bought them cuz', 'start': 15.3, 'duration': 4.92}, {'text': ""they're cheaper and it doesn't matter"", 'start': 18.48, 'duration': 3.119}, {'text': ""anyway because we're just gonna put a"", 'start': 20.22, 'duration': 4.049}, {'text': ""load of different ones in so let's stop"", 'start': 21.599, 'duration': 5.25}, {'text': ""got the brand up and let's put the rain"", 'start': 24.269, 'duration': 6.51}, {'text': 'in which is the skills obviously', 'start': 26.849, 'duration': 9.391}, {'text': ""oh no it's mayonnaise what is the main"", 'start': 30.779, 'duration': 7.471}, {'text': 'ingredient in milkshake I like you to', 'start': 36.24, 'duration': 4.17}, {'text': 'tell me is it the flavoring is it or is', 'start': 38.25, 'duration': 10.17}, {'text': 'it the milk me no no those people okay', 'start': 40.41, 'duration': 13.74}, {'text': 'so put half of the bagging for a bit', 'start': 48.42, 'duration': 7.05}, {'text': 'more than that I recommended more than', 'start': 54.15, 'duration': 8.16}, {'text': ""that yes I have oh yeah it's pretty good"", 'start': 55.47, 'duration': 13.17}, {'text': ""that's okay isn't it yeah yeah oh sorry"", 'start': 62.31, 'duration': 15.629}, {'text': ""don't understand that one I'll take half"", 'start': 68.64, 'duration': 11.729}, {'text': ""of that take off VIN long it'll take"", 'start': 77.939, 'duration': 4.591}, {'text': ""about a quarter of it and that's good"", 'start': 80.369, 'duration': 10.89}, {'text': ""enough it's very hard okay we don't need"", 'start': 82.53, 'duration': 9.299}, {'text': 'ice cream', 'start': 91.259, 'duration': 4.29}, {'text': ""as you can see yeah I'm with skip the"", 'start': 91.829, 'duration': 6.81}, {'text': 'ice cream look a little bit took a', 'start': 95.549, 'duration': 5.721}, {'text': 'little bit of sign', 'start': 98.639, 'duration': 2.631}, {'text': ""I'm gonna put for your wife's boobs in"", 'start': 104.14, 'duration': 8.46}, {'text': ""next we've got another really important"", 'start': 107.83, 'duration': 28.6}, {'text': 'that is nope yep whew laughs poor mr.', 'start': 112.6, 'duration': 28.09}, {'text': 'joiner yep right okay right now we put', 'start': 136.43, 'duration': 9.17}, {'text': 'this on yeah remember guys safety first', 'start': 140.69, 'duration': 7.5}, {'text': ""just all this says don't put your hand"", 'start': 145.6, 'duration': 5.71}, {'text': 'in the blender I mean like for any of', 'start': 148.19, 'duration': 4.56}, {'text': 'you new people watching this is like', 'start': 151.31, 'duration': 3.27}, {'text': ""watching this a blenders don't put your"", 'start': 152.75, 'duration': 3.42}, {'text': ""hand in the blender it's not a good idea"", 'start': 154.58, 'duration': 9.92}, {'text': 'is it no okay after a few tries and', 'start': 156.17, 'duration': 10.74}, {'text': 'after a few attempts after a few', 'start': 164.5, 'duration': 3.459}, {'text': 'attempts got it working', 'start': 166.91, 'duration': 3.45}, {'text': ""let's go interesting we thought the"", 'start': 167.959, 'duration': 4.491}, {'text': 'girls might be blocking up but yeah we', 'start': 170.36, 'duration': 4.5}, {'text': ""small they just wouldn't walk and then"", 'start': 172.45, 'duration': 4.68}, {'text': 'eventually', 'start': 174.86, 'duration': 2.27}, {'text': 'but looking nice and red here', 'start': 185.52, 'duration': 5.2}, {'text': 'come on - blender this this is pour into', 'start': 188.29, 'duration': 6.02}, {'text': ""the glass cup right here I'm so excited"", 'start': 190.72, 'duration': 10.41}, {'text': ""wait wait okay so now we're we're"", 'start': 194.31, 'duration': 8.77}, {'text': ""pouring them into the glass don'twe yeah"", 'start': 201.13, 'duration': 11.88}, {'text': 'obviously looks like skills', 'start': 203.08, 'duration': 15.9}, {'text': ""wait fuck skills and now let's drink oh"", 'start': 213.01, 'duration': 9.03}, {'text': 'wait no no no yeah one more ingredient', 'start': 218.98, 'duration': 9.33}, {'text': ""which is this this is not essential it's"", 'start': 222.04, 'duration': 8.37}, {'text': 'not essential guys but we do like to', 'start': 228.31, 'duration': 6.74}, {'text': 'have it just so it looks good yeah oh', 'start': 230.41, 'duration': 7.5}, {'text': 'just to make it even better we can add a', 'start': 235.05, 'duration': 6.48}, {'text': 'piece thick skittles on top of it yeah', 'start': 237.91, 'duration': 3.62}, {'text': 'yo so now we got some scores to go of it', 'start': 241.75, 'duration': 5.64}, {'text': ""haven't we yeah let's taste it we got"", 'start': 244.45, 'duration': 9.3}, {'text': 'some skills on top of cream - oh that is', 'start': 247.39, 'duration': 9.75}, {'text': ""really nice those really sweet that's"", 'start': 253.75, 'duration': 4.77}, {'text': 'really good I would definitely recommend', 'start': 257.14, 'duration': 4.7}, {'text': ""it let's try some cream with some skills"", 'start': 258.52, 'duration': 8.46}, {'text': ""better than Oreo will not think it's"", 'start': 261.84, 'duration': 5.8}, {'text': 'just as good', 'start': 266.98, 'duration': 3.27}, {'text': ""um I'm not sure it's quite as good as"", 'start': 267.64, 'duration': 6.63}, {'text': 'Oreo I still really like my fav well', 'start': 270.25, 'duration': 5.34}, {'text': 'enough one more topping what I probably', 'start': 274.27, 'duration': 3.9}, {'text': 'a video next week is resis yeah or maybe', 'start': 275.59, 'duration': 4.14}, {'text': 'crunchy dependent', 'start': 278.17, 'duration': 3.24}, {'text': ""yeah well crunchy cuz they're both quite"", 'start': 279.73, 'duration': 3.42}, {'text': 'good for mending what we can find in the', 'start': 281.41, 'duration': 6.96}, {'text': 'shops um for the last week fix or maybe', 'start': 283.15, 'duration': 8.28}, {'text': 'if we like do some classical ones like', 'start': 288.37, 'duration': 6.12}, {'text': 'banana yeah there might be but they are', 'start': 291.43, 'duration': 6.3}, {'text': 'a bit simple but oh well I still with', 'start': 294.49, 'duration': 5.75}, {'text': 'love and honor', 'start': 297.73, 'duration': 2.51}, {'text': 'so after the problems with the blender', 'start': 303.52, 'duration': 7.23}, {'text': 'is actually works out really well yeah', 'start': 306.68, 'duration': 4.07}, {'text': ""so I guess that's it all right that"", 'start': 311.8, 'duration': 5.2}, {'text': 'about a nine out of ten mm-hmm', 'start': 314.0, 'duration': 8.94}, {'text': ""same here okay right okay so we'll see"", 'start': 317.0, 'duration': 6.96}, {'text': 'you on the next video', 'start': 322.94, 'duration': 4.97}, {'text': ""oh actually isn't extra parts this video"", 'start': 323.96, 'duration': 3.95}, {'text': ""right okay I know you've probably seen"", 'start': 328.66, 'duration': 4.3}, {'text': ""this a lot of times we're actually gonna"", 'start': 331.16, 'duration': 4.5}, {'text': ""spray in the middle so I've never done"", 'start': 332.96, 'duration': 15.769}, {'text': ""this I'm actually quite excited oh God"", 'start': 335.66, 'duration': 17.67}, {'text': ""there you go practice well it's my turn"", 'start': 348.729, 'duration': 18.94}, {'text': 'now to swallow are you laughing wait job', 'start': 353.33, 'duration': 17.43}, {'text': 'me to do it so yeah head right back', 'start': 367.669, 'duration': 5.701}, {'text': 'really far and then just spray a big', 'start': 370.76, 'duration': 5.24}, {'text': 'blob enough', 'start': 373.37, 'duration': 2.63}]"
C8EU,AAEQWpzjb9U,"[253, 271]","[{'text': 'check 12 as I have a hit a DJ fat', 'start': 0.0, 'duration': 3.87}, {'text': ""fingers and I'm in the 36 chambers of"", 'start': 2.1, 'duration': 4.679}, {'text': ""death yeah i'm at be exports man and"", 'start': 3.87, 'duration': 4.53}, {'text': ""listen I'm going to talk about something"", 'start': 6.779, 'duration': 3.03}, {'text': 'something popping up in Long Island', 'start': 8.4, 'duration': 4.56}, {'text': ""April 26 2014 it's going to be going"", 'start': 9.809, 'duration': 11.341}, {'text': 'down to ultimate sneaker expo check 12', 'start': 12.96, 'duration': 9.87}, {'text': ""is a heavy hitter DJ fat fingers and I'm"", 'start': 21.15, 'duration': 3.75}, {'text': 'here with the legendary DJ Clark Kent in', 'start': 22.83, 'duration': 5.97}, {'text': 'the bx at bx sports legendary is a very', 'start': 24.9, 'duration': 6.779}, {'text': 'very tough word to live up to but it', 'start': 28.8, 'duration': 4.59}, {'text': ""ain't nuttin oakley he lives up to it"", 'start': 31.679, 'duration': 3.15}, {'text': ""we're going to talk about the ultimate"", 'start': 33.39, 'duration': 3.96}, {'text': 'sneaker expo hold on Best sneak a show', 'start': 34.829, 'duration': 11.791}, {'text': 'period best nigga show period at that', 'start': 37.35, 'duration': 12.779}, {'text': ""time jazz is little man we'll just do JV"", 'start': 46.62, 'duration': 5.279}, {'text': ""I'm in the hood when I mean he's like"", 'start': 50.129, 'duration': 4.231}, {'text': 'listen to my man he gets bit once I got', 'start': 51.899, 'duration': 4.351}, {'text': 'to the point where i believe i knew i', 'start': 54.36, 'duration': 4.62}, {'text': 'could pick talent I was the only talent', 'start': 56.25, 'duration': 5.1}, {'text': 'I wanted I just wanted I just wanted to', 'start': 58.98, 'duration': 4.14}, {'text': ""work with him in the midst of that I'm"", 'start': 61.35, 'duration': 4.47}, {'text': 'Matt Damon we became friends instantly', 'start': 63.12, 'duration': 7.429}, {'text': 'and we would be around lung Tao and', 'start': 65.82, 'duration': 8.549}, {'text': 'Mason killer and blood bloodshed always', 'start': 70.549, 'duration': 6.96}, {'text': 'do not always go my man is nice it alia', 'start': 74.369, 'duration': 5.701}, {'text': 'and Jay would be a Dane would be like a', 'start': 77.509, 'duration': 4.15}, {'text': 'loser man we keep talking about to now', 'start': 80.07, 'duration': 3.78}, {'text': ""introduce some swimming and we're having"", 'start': 81.659, 'duration': 3.691}, {'text': 'with them with magic but in the midst of', 'start': 83.85, 'duration': 3.96}, {'text': ""that we're sitting in my office with"", 'start': 85.35, 'duration': 6.479}, {'text': ""knives and I'm like killing us I want to"", 'start': 87.81, 'duration': 6.51}, {'text': 'sign you this is before anybody write', 'start': 91.829, 'duration': 4.5}, {'text': ""anything except the Bobbsey I'm like"", 'start': 94.32, 'duration': 5.4}, {'text': ""where's your demo I don't have a demo so"", 'start': 96.329, 'duration': 8.371}, {'text': ""I couldn't sign and I wanted to but I"", 'start': 99.72, 'duration': 7.62}, {'text': 'think you know throughout the years he', 'start': 104.7, 'duration': 4.349}, {'text': ""might have forgot how I really haven't"", 'start': 107.34, 'duration': 3.93}, {'text': 'because years later he was right general', 'start': 109.049, 'duration': 3.691}, {'text': ""record's Claude didn't find me because"", 'start': 111.27, 'duration': 2.7}, {'text': ""they just found artifacts I'm"", 'start': 112.74, 'duration': 3.269}, {'text': 'motherfucker you talking about like you', 'start': 113.97, 'duration': 3.899}, {'text': ""know I couldn't find you could easily"", 'start': 116.009, 'duration': 3.0}, {'text': ""have a demo why would you say it's"", 'start': 117.869, 'duration': 5.03}, {'text': ""because I signed aspect I'm like"", 'start': 119.009, 'duration': 3.89}, {'text': 'this is a DJ USA production sm event', 'start': 125.509, 'duration': 5.961}, {'text': ""group of course we're here"", 'start': 129.569, 'duration': 6.551}, {'text': 'this nigga pulled out nom April 26 2014', 'start': 131.47, 'duration': 7.14}, {'text': ""and the ultimate single export it's"", 'start': 136.12, 'duration': 4.91}, {'text': 'going', 'start': 138.61, 'duration': 2.42}, {'text': ""I can go to my friend's house pick up"", 'start': 141.04, 'duration': 9.33}, {'text': 'his green easy take a picture and be', 'start': 147.67, 'duration': 5.879}, {'text': 'like easy time and all of a sudden I got', 'start': 150.37, 'duration': 5.91}, {'text': 'it yeah what did that mean it meant your', 'start': 153.549, 'duration': 5.401}, {'text': 'hand held it using it but you never', 'start': 156.28, 'duration': 4.679}, {'text': 'rocked it nobody caught it on your foot', 'start': 158.95, 'duration': 5.58}, {'text': ""nobody neck broke see that's what it was"", 'start': 160.959, 'duration': 6.45}, {'text': ""for us it was I'm fresher than you trust"", 'start': 164.53, 'duration': 5.19}, {'text': 'me and your neck is gonna break trying', 'start': 167.409, 'duration': 4.8}, {'text': 'to figure out where I get green ok yo', 'start': 169.72, 'duration': 4.65}, {'text': 'where did he get the yellow pumas with', 'start': 172.209, 'duration': 3.991}, {'text': 'the black lines on it where did he get', 'start': 174.37, 'duration': 4.5}, {'text': ""that no saying that's really was that's"", 'start': 176.2, 'duration': 5.55}, {'text': 'what it should be all about I happen', 'start': 178.87, 'duration': 4.709}, {'text': ""first and it's on my foot or it's not"", 'start': 181.75, 'duration': 3.48}, {'text': 'even about having it first it was more', 'start': 183.579, 'duration': 4.38}, {'text': 'about having something that made', 'start': 185.23, 'duration': 7.409}, {'text': ""somebody go daddy you don't even say nun"", 'start': 187.959, 'duration': 6.78}, {'text': ""just let me see that neck break ok I'm"", 'start': 192.639, 'duration': 5.52}, {'text': ""good oh yeah ok we cool everybody let's"", 'start': 194.739, 'duration': 5.64}, {'text': 'not forget April 26 the ultimate stinka', 'start': 198.159, 'duration': 4.83}, {'text': 'exponent sighs a Long Island me feeling', 'start': 200.379, 'duration': 4.051}, {'text': ""my friends we're gonna have a good time"", 'start': 202.989, 'duration': 3.271}, {'text': ""we're gonna buy sell trade sneakers"", 'start': 204.43, 'duration': 3.86}, {'text': ""we're just gonna enjoy the stick a game"", 'start': 206.26, 'duration': 5.219}, {'text': 'ultimates nigga expo April 26 if you', 'start': 208.29, 'duration': 5.169}, {'text': 'need info check out ultimate snake expo', 'start': 211.479, 'duration': 5.25}, {'text': 'com please hang out with me man made my', 'start': 213.459, 'duration': 5.011}, {'text': 'quick strike team will be there to come', 'start': 216.729, 'duration': 10.23}, {'text': 'and chill you know what it is my', 'start': 218.47, 'duration': 13.079}, {'text': 'ultimate sneaker expo 2014 hey boo 26', 'start': 226.959, 'duration': 7.74}, {'text': 'Saturday make plans fat fingers Clark', 'start': 231.549, 'duration': 6.69}, {'text': 'Kent chance move on a set fat fingers', 'start': 234.699, 'duration': 5.611}, {'text': 'selling boots is going down there come', 'start': 238.239, 'duration': 3.99}, {'text': 'through you already know pit bulls in', 'start': 240.31, 'duration': 3.899}, {'text': 'the building chap life is in a building', 'start': 242.229, 'duration': 3.66}, {'text': ""that's it that's all you need to know"", 'start': 244.209, 'duration': 4.761}, {'text': 'man fix your face', 'start': 245.889, 'duration': 3.081}]"
toEU,ARhBfjPwe_M,"[11, 20, 22, 29, 32, 120, 221, 444, 680, 1096]","[{'text': 'hello my friends over to Danny here so', 'start': 14.269, 'duration': 5.291}, {'text': 'the other day I was cooking with my good', 'start': 17.49, 'duration': 5.61}, {'text': 'friend Gennaro Contaldo and he has a new', 'start': 19.56, 'duration': 5.1}, {'text': 'book coming out on foodtube which is all', 'start': 23.1, 'duration': 3.99}, {'text': 'about pasta and bless him that lovely', 'start': 24.66, 'duration': 6.26}, {'text': ""man he's given me these beautiful"", 'start': 27.09, 'duration': 6.93}, {'text': 'truffles so that I can try a dish from', 'start': 30.92, 'duration': 4.99}, {'text': 'his past a book that comes out of Lucian', 'start': 34.02, 'duration': 4.35}, {'text': 'so this is a really simple pasta to make', 'start': 35.91, 'duration': 4.98}, {'text': 'all the ingredients are here and today', 'start': 38.37, 'duration': 4.23}, {'text': ""I'm going to serve it with this really"", 'start': 40.89, 'duration': 4.079}, {'text': 'lovely salad so the first thing to do is', 'start': 42.6, 'duration': 3.9}, {'text': 'clean all the dirt off the truffles and', 'start': 44.969, 'duration': 6.5}, {'text': 'then just slice them really thinly', 'start': 46.5, 'duration': 4.969}, {'text': 'okay the next step is to cook your', 'start': 57.489, 'duration': 4.681}, {'text': ""tagliatelle until it's al dente which"", 'start': 59.71, 'duration': 5.45}, {'text': 'means nearly done', 'start': 62.17, 'duration': 2.99}, {'text': 'the stock up vegetable stock place that', 'start': 68.81, 'duration': 7.93}, {'text': 'into a pan and medium heat then add the', 'start': 72.75, 'duration': 7.909}, {'text': 'truffle oil and the butter', 'start': 76.74, 'duration': 3.919}, {'text': 'so the source of quelling away and just', 'start': 90.93, 'duration': 8.2}, {'text': 'take the tiger to drain it and simply', 'start': 93.55, 'duration': 11.01}, {'text': 'add the tacit le to your stop you can', 'start': 99.13, 'duration': 7.02}, {'text': 'add a little bit of the water that the', 'start': 104.56, 'duration': 6.39}, {'text': 'past has been cooking in look off the', 'start': 106.15, 'duration': 7.88}, {'text': 'rest of the tag metallic', 'start': 110.95, 'duration': 3.08}, {'text': 'add that beautiful shaved truffle save a', 'start': 121.32, 'duration': 8.92}, {'text': 'little bit too for the dressing at the', 'start': 128.68, 'duration': 4.74}, {'text': 'ends add your pumps and cheese so stir', 'start': 130.24, 'duration': 5.07}, {'text': ""that all around until it's looking"", 'start': 133.42, 'duration': 14.13}, {'text': ""creamy and delicious just like this I'm"", 'start': 135.31, 'duration': 14.46}, {'text': ""serving this tagliatelle Gennaro's take"", 'start': 147.55, 'duration': 4.5}, {'text': 'Vitaly Travel tacit Ally with a really', 'start': 149.77, 'duration': 5.07}, {'text': 'simple simple green salad so easy to do', 'start': 152.05, 'duration': 7.07}, {'text': ""so it's just three parts oil to one part"", 'start': 154.84, 'duration': 8.19}, {'text': 'lemon juice you can use your hands there', 'start': 159.12, 'duration': 7.05}, {'text': 'as a little sieve to get the tips', 'start': 163.03, 'duration': 7.5}, {'text': 'internet goes lemon juice so pepper give', 'start': 166.17, 'duration': 6.75}, {'text': 'that a good shake', 'start': 170.53, 'duration': 2.39}, {'text': ""it's so lovely it's not all cleanly I"", 'start': 176.09, 'duration': 7.93}, {'text': ""think that's the parmesan mixture shaved"", 'start': 178.95, 'duration': 10.86}, {'text': ""truffles on top I've got some lovely"", 'start': 184.02, 'duration': 8.4}, {'text': 'battle here absolutely love basil and', 'start': 189.81, 'duration': 7.56}, {'text': 'rather than chopping it you whip it you', 'start': 192.42, 'duration': 7.5}, {'text': 'get all those lovely flavors of the', 'start': 197.37, 'duration': 7.02}, {'text': ""basil coming out smell so good it's just"", 'start': 199.92, 'duration': 8.43}, {'text': ""a reversal on top so now I've put my"", 'start': 204.39, 'duration': 7.92}, {'text': ""lemon dressing that's it love we've got"", 'start': 208.35, 'duration': 5.82}, {'text': 'guests over as well you can just let', 'start': 212.31, 'duration': 3.09}, {'text': 'them put the dressing on it', 'start': 214.17, 'duration': 5.01}, {'text': ""everyone's has different tastes so there"", 'start': 215.4, 'duration': 7.26}, {'text': ""you go Gennaro's truffle take the telly"", 'start': 219.18, 'duration': 5.64}, {'text': ""from his new hosta book that's going to"", 'start': 222.66, 'duration': 4.19}, {'text': 'be available on foodtube soon', 'start': 224.82, 'duration': 4.5}, {'text': ""all that's left to do now is to give"", 'start': 226.85, 'duration': 3.94}, {'text': ""this a little bit of a taste I can't"", 'start': 229.32, 'duration': 4.1}, {'text': 'wait to try it', 'start': 230.79, 'duration': 2.63}, {'text': 'Genaro my friend you are my hero', 'start': 236.71, 'duration': 6.88}, {'text': 'so simple so delicious the truffle', 'start': 240.069, 'duration': 6.461}, {'text': 'absolutely love it if you can find some', 'start': 243.59, 'duration': 4.41}, {'text': 'truffles I really would recommend this', 'start': 246.53, 'duration': 1.89}, {'text': 'dish', 'start': 248.0, 'duration': 2.73}, {'text': 'thanks so much dinero and thanks at home', 'start': 248.42, 'duration': 6.08}, {'text': 'for watching and see you soon on future', 'start': 250.73, 'duration': 3.77}]"
WIEU,DPWU1E_B1Zo,[2299],
S7EU,u6KUgo3avyA,"[159, 626, 1504, 1740]",
xKEU,,"[0, 1, 577]",
MOEU,YU6Uqqq18Zk,[3],
WPEU,4IB1O5Ej6Zo,"[0, 1, 242, 1331]",
RiEU,4MSpuljc88w,"[2, 30, 55, 280, 608]",
xlEU,4Uqq0P3fIsI,[2],
6bEU,4Vw-XDUDpf8,"[0, 52, 70, 125]",
JDEU,,"[0, 1, 35, 896, 1249]",
ZOEU,t2SeS19_U_4,[891],
TuEU,QQEHyVhdU_Y,"[3, 28]",
5aEU,-8la31UVTBU,"[9, 585]",
cNEU,-HgrJL4NxtY,"[13, 41, 168]",
