ZlB7,HIBOaMyt6Ec,[8],
a3B7,JaR58Sk16q0,"[0, 1, 27]",
RjB7,,"[5, 80, 1064]",
IuB7,c1aWp1SEVeY,[1019],"[{'text': 'I know Aquarius Aquarius rising Aquarius', 'start': 0.0, 'duration': 8.849}, {'text': 'moon this is your August 2015 general', 'start': 4.08, 'duration': 7.32}, {'text': 'focus ready now this is a general', 'start': 8.849, 'duration': 5.25}, {'text': 'Sunstone reading for all of the Aquarius', 'start': 11.4, 'duration': 4.86}, {'text': 'is out there and if you wanted something', 'start': 14.099, 'duration': 4.621}, {'text': 'specific to you then you would need to', 'start': 16.26, 'duration': 4.47}, {'text': 'book in with me please head to my', 'start': 18.72, 'duration': 7.92}, {'text': 'website at wwlp.com please do watch your', 'start': 20.73, 'duration': 8.549}, {'text': 'son your mood analyzing sign videos as', 'start': 26.64, 'duration': 4.17}, {'text': 'well just so that you get more clarity', 'start': 29.279, 'duration': 3.631}, {'text': 'and really bit more direction in your', 'start': 30.81, 'duration': 4.8}, {'text': ""wedding so I've chosen one card for your"", 'start': 32.91, 'duration': 5.669}, {'text': 'overall theme of the month one for yours', 'start': 35.61, 'duration': 6.03}, {'text': 'virtual well-being the spurt to lessen', 'start': 38.579, 'duration': 6.351}, {'text': 'your career your finances and your', 'start': 41.64, 'duration': 6.5}, {'text': 'education dreams desires and aspirations', 'start': 44.93, 'duration': 6.34}, {'text': 'your home life your home relationships', 'start': 48.14, 'duration': 6.91}, {'text': 'and your home a health your emotional', 'start': 51.27, 'duration': 6.6}, {'text': 'spiritual and physical health and then', 'start': 55.05, 'duration': 5.7}, {'text': 'in your love relationships so the', 'start': 57.87, 'duration': 4.349}, {'text': ""overall tone of the month it's a"", 'start': 60.75, 'duration': 3.6}, {'text': 'magician which is just dating that you', 'start': 62.219, 'duration': 3.9}, {'text': 'can have anything that you want in this', 'start': 64.35, 'duration': 3.36}, {'text': 'world you just have to believe in a', 'start': 66.119, 'duration': 3.271}, {'text': 'believe in the magic that the universe', 'start': 67.71, 'duration': 3.33}, {'text': 'will deliver to you what is that you', 'start': 69.39, 'duration': 4.44}, {'text': ""want it's also about having your dreams"", 'start': 71.04, 'duration': 4.619}, {'text': 'and your fantasy life spreading over', 'start': 73.83, 'duration': 4.829}, {'text': 'into your real life you dream it and', 'start': 75.659, 'duration': 6.091}, {'text': 'then it happens this is about feeling on', 'start': 78.659, 'duration': 5.46}, {'text': 'top of your game feeling strong feeling', 'start': 81.75, 'duration': 4.56}, {'text': ""powerful feeling like you've got a real"", 'start': 84.119, 'duration': 4.32}, {'text': 'connection and real commitment level', 'start': 86.31, 'duration': 4.379}, {'text': 'with certain people in your life whether', 'start': 88.439, 'duration': 5.25}, {'text': 'it be your work your home life or in', 'start': 90.689, 'duration': 5.011}, {'text': ""your relationships you've got a group of"", 'start': 93.689, 'duration': 3.871}, {'text': 'people around you who are supporting you', 'start': 95.7, 'duration': 3.84}, {'text': 'this month in August and it looks like', 'start': 97.56, 'duration': 5.79}, {'text': 'there might be and some opportunities', 'start': 99.54, 'duration': 5.399}, {'text': 'where that support will really come in', 'start': 103.35, 'duration': 3.659}, {'text': ""handy for you so work well we're"", 'start': 104.939, 'duration': 4.531}, {'text': ""standing on a brand new adventure we're"", 'start': 107.009, 'duration': 4.441}, {'text': 'turning away from the how things used to', 'start': 109.47, 'duration': 3.329}, {'text': ""be and we're starting a brand new"", 'start': 111.45, 'duration': 3.66}, {'text': ""adventure and nothing's going to hold"", 'start': 112.799, 'duration': 4.411}, {'text': 'you back now for some of you starting a', 'start': 115.11, 'duration': 5.1}, {'text': ""brand new job for others you're taking"", 'start': 117.21, 'duration': 4.83}, {'text': 'up and doing the reins at home or by', 'start': 120.21, 'duration': 5.03}, {'text': 'yourself and you like the butterfly who', 'start': 122.04, 'duration': 5.03}, {'text': ""is coming out of the crystals and you're"", 'start': 125.24, 'duration': 4.14}, {'text': ""just ready to get going now you've got"", 'start': 127.07, 'duration': 4.529}, {'text': 'all the formalities are already', 'start': 129.38, 'duration': 4.5}, {'text': ""organized you've got the full support of"", 'start': 131.599, 'duration': 5.011}, {'text': 'your family you are all dressed up', 'start': 133.88, 'duration': 4.14}, {'text': 'really go and this is going to be a', 'start': 136.61, 'duration': 3.3}, {'text': 'month or brand new starts brand new', 'start': 138.02, 'duration': 4.98}, {'text': 'journeys and putting in for some of you', 'start': 139.91, 'duration': 6.359}, {'text': ""you've just finished some education and"", 'start': 143.0, 'duration': 4.89}, {'text': ""you're bringing that on board as well"", 'start': 146.269, 'duration': 3.571}, {'text': 'and for those of you looking for a job', 'start': 147.89, 'duration': 3.42}, {'text': ""you're going to get a job brand new"", 'start': 149.84, 'duration': 4.17}, {'text': 'start and August after some of you that', 'start': 151.31, 'duration': 5.039}, {'text': ""means that you've lost a job and July of"", 'start': 154.01, 'duration': 4.77}, {'text': ""some sort and and if you're working from"", 'start': 156.349, 'duration': 4.351}, {'text': 'home and this is your back your finances', 'start': 158.78, 'duration': 4.05}, {'text': ""it's about a brand new journey with your"", 'start': 160.7, 'duration': 3.569}, {'text': ""finances where you're on top of things"", 'start': 162.83, 'duration': 5.73}, {'text': ""and I'll defending habit to go on and"", 'start': 164.269, 'duration': 7.021}, {'text': ""this isn't a work education since then"", 'start': 168.56, 'duration': 5.37}, {'text': 'this is about graduating and going on to', 'start': 171.29, 'duration': 6.27}, {'text': 'the next level this is about you going', 'start': 173.93, 'duration': 6.17}, {'text': 'up into a brand new journey in your', 'start': 177.56, 'duration': 5.37}, {'text': 'university so at home we had the queen', 'start': 180.1, 'duration': 5.46}, {'text': ""of swords know the Queen she's the"", 'start': 182.93, 'duration': 6.21}, {'text': 'nurturer she is the mother she is the', 'start': 185.56, 'duration': 9.13}, {'text': 'powerful ruler all of her people listen', 'start': 189.14, 'duration': 8.04}, {'text': 'to her rules now this is the queen of', 'start': 194.69, 'duration': 6.269}, {'text': 'thoughts and get it coming away that', 'start': 197.18, 'duration': 6.27}, {'text': 'which no longer serves you cutting away', 'start': 200.959, 'duration': 4.921}, {'text': ""things that don't work for you in your"", 'start': 203.45, 'duration': 4.409}, {'text': 'home life there is a resuscitation', 'start': 205.88, 'duration': 4.38}, {'text': 'around this so you get a second life in', 'start': 207.859, 'duration': 4.041}, {'text': 'something to do with your home and', 'start': 210.26, 'duration': 4.68}, {'text': ""whether it's financially on a"", 'start': 211.9, 'duration': 5.669}, {'text': 'relationship since around the home and', 'start': 214.94, 'duration': 5.519}, {'text': ""there's a message coming through August"", 'start': 217.569, 'duration': 4.661}, {'text': 'which will really help you to push', 'start': 220.459, 'duration': 3.511}, {'text': 'through and go forward really really', 'start': 222.23, 'duration': 4.319}, {'text': 'well and this is about nurturing', 'start': 223.97, 'duration': 5.7}, {'text': 'nurturing the home life nurturing what', 'start': 226.549, 'duration': 5.011}, {'text': ""you're passionate about nurturing what"", 'start': 229.67, 'duration': 4.649}, {'text': 'speaks home to you this is about comfort', 'start': 231.56, 'duration': 5.85}, {'text': 'resolution respect and confidence now', 'start': 234.319, 'duration': 6.121}, {'text': ""she's got butterflies all over this only"", 'start': 237.41, 'duration': 5.1}, {'text': ""he just got a crown so you'll be"", 'start': 240.44, 'duration': 4.859}, {'text': 'thinking with clear thoughts renewed', 'start': 242.51, 'duration': 5.309}, {'text': 'thoughts just like the death card just', 'start': 245.299, 'duration': 4.261}, {'text': 'starting on a brand new adventure as', 'start': 247.819, 'duration': 4.101}, {'text': 'variety of thought to go and then', 'start': 249.56, 'duration': 4.06}, {'text': ""and your combination that's got"", 'start': 251.92, 'duration': 4.71}, {'text': ""butterflies on it as well so it's like"", 'start': 253.62, 'duration': 4.78}, {'text': 'your accommodations have a new lease of', 'start': 256.63, 'duration': 3.72}, {'text': ""life around then but there's plenty of"", 'start': 258.4, 'duration': 6.51}, {'text': 'support and around your home okay and', 'start': 260.35, 'duration': 5.85}, {'text': ""making sure that you're all responsible"", 'start': 264.91, 'duration': 3.63}, {'text': 'and being the queen who set an example', 'start': 266.2, 'duration': 4.83}, {'text': ""for everyone you know it's do as I say"", 'start': 268.54, 'duration': 4.71}, {'text': 'not as I do sometimes you want to be', 'start': 271.03, 'duration': 3.6}, {'text': ""careful what you're doing as well in"", 'start': 273.25, 'duration': 3.419}, {'text': ""your whole life well you're just in"", 'start': 274.63, 'duration': 3.72}, {'text': ""denial and you're not going to listen to"", 'start': 276.669, 'duration': 4.101}, {'text': 'anybody else when it comes to your', 'start': 278.35, 'duration': 4.95}, {'text': 'health wise you could be offered a free', 'start': 280.77, 'duration': 4.78}, {'text': 'gym membership it could be offered a a', 'start': 283.3, 'duration': 4.44}, {'text': 'partner to work out with you could be', 'start': 285.55, 'duration': 5.31}, {'text': 'offered free meal replacements you could', 'start': 287.74, 'duration': 4.679}, {'text': 'be offered something to do with you', 'start': 290.86, 'duration': 2.97}, {'text': ""health and you're just not interested"", 'start': 292.419, 'duration': 3.571}, {'text': ""you just don't want even face facts for"", 'start': 293.83, 'duration': 4.53}, {'text': ""some of you you're in denial and others"", 'start': 295.99, 'duration': 5.1}, {'text': 'you know just not interested and but it', 'start': 298.36, 'duration': 4.05}, {'text': 'could be something to do with the', 'start': 301.09, 'duration': 3.45}, {'text': ""stubborn illness that just won't go away"", 'start': 302.41, 'duration': 4.38}, {'text': 'that could also be seen as way as well', 'start': 304.54, 'duration': 4.92}, {'text': ""but it's about shit this is sitting"", 'start': 306.79, 'duration': 4.53}, {'text': 'underneath the tree of life so while', 'start': 309.46, 'duration': 4.32}, {'text': ""you're sitting there refusing to move a"", 'start': 311.32, 'duration': 5.07}, {'text': 'budget you know badge it all and your', 'start': 313.78, 'duration': 5.34}, {'text': 'house life is going past you life is', 'start': 316.39, 'duration': 5.25}, {'text': 'passing you by so this month in August', 'start': 319.12, 'duration': 4.5}, {'text': 'be honest with yourself what can you do', 'start': 321.64, 'duration': 4.68}, {'text': ""in your health wise don't ignore don't"", 'start': 323.62, 'duration': 4.89}, {'text': 'turn away what is offered to you take it', 'start': 326.32, 'duration': 4.89}, {'text': 'up if you are love relationships well', 'start': 328.51, 'duration': 4.5}, {'text': 'first and foremost you could hurt your', 'start': 331.21, 'duration': 3.99}, {'text': 'back in your partner support to you they', 'start': 333.01, 'duration': 4.83}, {'text': 'could be the opposite as well this could', 'start': 335.2, 'duration': 5.49}, {'text': 'also be that someone stabs you in the', 'start': 337.84, 'duration': 4.26}, {'text': 'back over your blood relationship', 'start': 340.69, 'duration': 3.12}, {'text': ""doesn't have to be your partner it could"", 'start': 342.1, 'duration': 5.25}, {'text': 'be your best friend tries to split these', 'start': 343.81, 'duration': 5.85}, {'text': ""two up it could be you've just newly"", 'start': 347.35, 'duration': 4.68}, {'text': 'dated someone and someone is trying to', 'start': 349.66, 'duration': 5.1}, {'text': 'you know go on behind that ruin it for', 'start': 352.03, 'duration': 5.16}, {'text': ""you now this card is an illusion there's"", 'start': 354.76, 'duration': 5.1}, {'text': 'no blood and both swords will drop out', 'start': 357.19, 'duration': 5.07}, {'text': 'if you turn this can upside down so this', 'start': 359.86, 'duration': 4.86}, {'text': 'could also be and security is holding', 'start': 362.26, 'duration': 4.46}, {'text': 'you back in your relationships as well', 'start': 364.72, 'duration': 4.56}, {'text': 'you know being honest with yourself do', 'start': 366.72, 'duration': 6.34}, {'text': 'you hold yourself back do you in love', 'start': 369.28, 'duration': 6.21}, {'text': ""relationships pick people that aren't"", 'start': 373.06, 'duration': 4.079}, {'text': 'available do you and your love', 'start': 375.49, 'duration': 3.51}, {'text': 'relationships continue to do the same', 'start': 377.139, 'duration': 6.301}, {'text': 'and you know love strangling things what', 'start': 379.0, 'duration': 5.43}, {'text': 'is it that you can', 'start': 383.44, 'duration': 3.12}, {'text': 'do you know these are life lessons these', 'start': 384.43, 'duration': 3.93}, {'text': 'are all lessons from the past and', 'start': 386.56, 'duration': 4.5}, {'text': 'securities this could also be that your', 'start': 388.36, 'duration': 4.68}, {'text': ""husband or wife doesn't have your back"", 'start': 391.06, 'duration': 4.32}, {'text': ""this could be that you feel like you've"", 'start': 393.04, 'duration': 3.99}, {'text': 'been stabbed in the back by your partner', 'start': 395.38, 'duration': 4.29}, {'text': 'but this could also be as little as you', 'start': 397.03, 'duration': 4.71}, {'text': ""don't feel like your partner is got your"", 'start': 399.67, 'duration': 5.04}, {'text': 'back this month but with the magician', 'start': 401.74, 'duration': 5.13}, {'text': 'card I feel like this is more', 'start': 404.71, 'duration': 3.93}, {'text': 'insecurities because the magician card', 'start': 406.87, 'duration': 4.77}, {'text': 'is feeling equally yoked the magician', 'start': 408.64, 'duration': 4.74}, {'text': ""card is feeling like you've got someone"", 'start': 411.64, 'duration': 3.57}, {'text': ""exactly on the same page as you there's"", 'start': 413.38, 'duration': 3.66}, {'text': ""a balance thing you're feeling wonderful"", 'start': 415.21, 'duration': 4.56}, {'text': ""so Aquarius I do hope you've enjoyed"", 'start': 417.04, 'duration': 4.35}, {'text': 'that reading an actual see you next', 'start': 419.77, 'duration': 3.86}, {'text': 'month', 'start': 421.39, 'duration': 2.24}]"
9PB7,cNj5PwMgIXQ,"[534, 847]",
OWB7,cO2TtazBnOY,[182],
JUB7,,"[4, 9, 10, 34]",
6cB7,gVhkXSpQDE4,[3],
8BB7,BTf-ZSH-RRo,"[17, 19, 659, 1173]","[{'text': 'the final', 'start': 6.14, 'duration': 16.74}, {'text': 'New Zealand to find out guys all black', 'start': 8.929, 'duration': 19.9}, {'text': 'Petes pens rim that he would take shine', 'start': 22.88, 'duration': 7.839}, {'text': 'been intense ever and the man says a big', 'start': 28.829, 'duration': 4.23}, {'text': ""luck his Hawke's Bay making a good teams"", 'start': 30.719, 'duration': 4.171}, {'text': ""move they've got piles praise agenda"", 'start': 33.059, 'duration': 3.09}, {'text': 'discussing with', 'start': 34.89, 'duration': 3.93}, {'text': 'Ross SP comes in to try and break up the', 'start': 36.149, 'duration': 6.081}, {'text': 'body one that damn only one', 'start': 38.82, 'duration': 6.57}, {'text': 'very closely followed by dementia', 'start': 42.23, 'duration': 6.28}, {'text': 'Rodney one looking strong 2018 problems', 'start': 45.39, 'duration': 5.01}, {'text': 'in the past would be powerful tonight', 'start': 48.51, 'duration': 4.26}, {'text': 'skinny bring it home for his boys shame', 'start': 50.4, 'duration': 4.35}, {'text': 'penis and the season Jack this is not', 'start': 52.77, 'duration': 5.54}, {'text': 'looking good for the team', 'start': 54.75, 'duration': 3.56}, {'text': 'giant banana geisha problem in the', 'start': 60.19, 'duration': 3.84}, {'text': 'museum with James a ghost of daily the', 'start': 62.11, 'duration': 4.61}, {'text': ""type it isn't her thing"", 'start': 64.03, 'duration': 2.69}, {'text': 'be sitting somebody got me a wild', 'start': 67.76, 'duration': 4.67}, {'text': 'put this nickel the line', 'start': 70.74, 'duration': 3.4}, {'text': 'finding one machine full dementia the', 'start': 72.43, 'duration': 3.3}, {'text': ""lead count of the hooked by hawkeye's"", 'start': 74.14, 'duration': 4.54}, {'text': 'has been taken to town', 'start': 75.73, 'duration': 6.22}, {'text': ""Raj stop by HP he comes very long he's"", 'start': 78.68, 'duration': 6.08}, {'text': 'gonna finish you off', 'start': 81.95, 'duration': 2.81}, {'text': 'taking a swipe in the hole guys', 'start': 85.17, 'duration': 5.33}, {'text': 'he is still the lead car for the busters', 'start': 88.07, 'duration': 4.32}, {'text': 'and going', 'start': 90.5, 'duration': 4.29}, {'text': 'nicely what read numbers pastor team is', 'start': 92.39, 'duration': 5.39}, {'text': 'looking good jack', 'start': 94.79, 'duration': 2.99}, {'text': 'to be loving this brownie would have a', 'start': 99.58, 'duration': 3.99}, {'text': 'clean run to the line this is what', 'start': 101.98, 'duration': 4.46}, {'text': 'waiting to say', 'start': 103.57, 'duration': 2.87}, {'text': ""Bigfoot's a lint roller here looks like"", 'start': 107.25, 'duration': 5.84}, {'text': 'Anastasia properly DJ', 'start': 109.38, 'duration': 3.71}, {'text': ""Busta's 182 bank out for protection for"", 'start': 115.0, 'duration': 5.43}, {'text': 'what he would the lead car but he', 'start': 119.05, 'duration': 3.96}, {'text': ""doesn't seem to be meaning at all"", 'start': 120.43, 'duration': 5.39}, {'text': ""they're cleaning out"", 'start': 123.01, 'duration': 2.81}, {'text': 'landing in this bottle rice', 'start': 132.55, 'duration': 3.62}, {'text': 'down there looking really good here', 'start': 140.5, 'duration': 5.9}, {'text': 'Rodney would and first name', 'start': 142.18, 'duration': 4.22}, {'text': 'come on they smack themself into the', 'start': 147.959, 'duration': 4.911}, {'text': 'pins', 'start': 150.629, 'duration': 2.241}, {'text': 'now a new race later it scary agreement', 'start': 155.08, 'duration': 5.54}, {'text': ""just had a wholesome winking jakey's"", 'start': 164.38, 'duration': 5.3}, {'text': 'disprove annoyed', 'start': 166.87, 'duration': 2.81}, {'text': 'vodka for the whole Kies take a swipe at', 'start': 171.319, 'duration': 4.98}, {'text': 'the last', 'start': 174.0, 'duration': 2.299}, {'text': ""it's carry ribbon he's won a couple of"", 'start': 176.53, 'duration': 4.35}, {'text': ""prices already this weekend he's got the"", 'start': 178.75, 'duration': 4.239}, {'text': 'buses into the vinyl', 'start': 180.88, 'duration': 4.059}, {'text': 'rice butter dine Jemaine Mary long but a', 'start': 182.989, 'duration': 3.631}, {'text': 'big puff of smoke get along scarlet', 'start': 184.939, 'duration': 3.75}, {'text': ""doesn't look good another bubble smog"", 'start': 186.62, 'duration': 5.06}, {'text': ""it looks like he's acting"", 'start': 188.689, 'duration': 2.991}, {'text': 'cause', 'start': 197.45, 'duration': 3.18}, {'text': ""at the end field he's a very dangerous"", 'start': 199.25, 'duration': 3.95}, {'text': 'competitor', 'start': 200.63, 'duration': 2.57}, {'text': 'what he has to do for the Bay Packers is', 'start': 207.849, 'duration': 4.681}, {'text': 'to get their little truck', 'start': 209.98, 'duration': 4.86}, {'text': 'and he managed to bring it home so', 'start': 212.53, 'duration': 5.75}, {'text': 'plenty of legs to go', 'start': 214.84, 'duration': 3.44}, {'text': ""lastly Alice's in the situation buying"", 'start': 220.19, 'duration': 5.67}, {'text': 'up his options', 'start': 224.37, 'duration': 3.59}, {'text': ""that's all two men to the 31 power"", 'start': 225.86, 'duration': 4.47}, {'text': ""whoops baker's shame pin is he gonna get"", 'start': 227.96, 'duration': 6.63}, {'text': 'mobile look at deco here it goes Jane', 'start': 230.33, 'duration': 5.94}, {'text': 'Finn will do whatever he can to get this', 'start': 234.59, 'duration': 5.37}, {'text': 'job done for the whole painting pops his', 'start': 236.27, 'duration': 6.29}, {'text': 'goggles on', 'start': 239.96, 'duration': 2.6}, {'text': 'just get on', 'start': 245.25, 'duration': 6.14}, {'text': 'watch and chain pins burrow here this is', 'start': 248.45, 'duration': 4.23}, {'text': ""what he's looking at this is the view"", 'start': 251.39, 'duration': 2.73}, {'text': 'there goes the mentor in the outside', 'start': 252.68, 'duration': 3.15}, {'text': 'there he knows the next go-round is', 'start': 254.12, 'duration': 4.64}, {'text': 'gonna be written up', 'start': 255.83, 'duration': 2.93}, {'text': ""- tennis hyponym unsuccessful that's"", 'start': 260.109, 'duration': 6.65}, {'text': ""brave stuff I'll tell you"", 'start': 263.439, 'duration': 3.32}, {'text': 'it will do anything he can the legal eat', 'start': 267.3, 'duration': 5.299}, {'text': 'ramen miss rice', 'start': 269.699, 'duration': 2.9}, {'text': 'is to be taken out', 'start': 272.84, 'duration': 3.38}, {'text': 'same thing just waiting waiting', 'start': 276.8, 'duration': 4.13}, {'text': 'perspective', 'start': 284.83, 'duration': 2.839}, {'text': 'getting within striking distance', 'start': 294.429, 'duration': 3.78}, {'text': 'gettin waxing', 'start': 299.06, 'duration': 3.92}, {'text': 'shame pin tried to do it', 'start': 307.08, 'duration': 6.489}, {'text': 'the Gypsy but no way he rear-ended kids', 'start': 310.27, 'duration': 5.81}, {'text': 'my mom', 'start': 313.569, 'duration': 2.511}, {'text': ""like the bipod Buster's man just about"", 'start': 316.289, 'duration': 4.201}, {'text': ""cleaned out all the hawk eyes as we've"", 'start': 318.18, 'duration': 4.59}, {'text': 'seen this weekend Jake the last village', 'start': 320.49, 'duration': 5.12}, {'text': 'gave me personally', 'start': 322.77, 'duration': 2.84}, {'text': 'waiting growling on that corner takes', 'start': 327.639, 'duration': 5.041}, {'text': 'another Swiper carry rabies who gets the', 'start': 330.37, 'duration': 4.109}, {'text': 'white blade manages to a motor for the', 'start': 332.68, 'duration': 4.12}, {'text': 'third time', 'start': 334.479, 'duration': 5.101}, {'text': 'shown by Carrie', 'start': 336.8, 'duration': 2.78}, {'text': 'ninety-two - is Kyle Fraser filibusters', 'start': 344.169, 'duration': 4.43}, {'text': 'five Busters and', 'start': 359.7, 'duration': 3.2}, {'text': '9200 Fraser once again ollie ancient', 'start': 363.719, 'duration': 5.571}, {'text': 'heping in the closing laps', 'start': 367.3, 'duration': 4.21}, {'text': 'the main succumb Stan here Jack and just', 'start': 369.29, 'duration': 4.29}, {'text': 'watch them turns the wheels graves again', 'start': 371.51, 'duration': 4.35}, {'text': ""and he's bakin a business against right"", 'start': 373.58, 'duration': 3.08}, {'text': 'away', 'start': 375.86, 'duration': 3.93}, {'text': 'what an amazing weekend of action and', 'start': 376.66, 'duration': 6.69}, {'text': 'huge commitment from the', 'start': 379.79, 'duration': 3.56}, {'text': ""it doesn't get much sweeter than that"", 'start': 385.36, 'duration': 4.24}, {'text': 'water race water performance how are you', 'start': 387.68, 'duration': 5.12}, {'text': 'feeling just over the moon just the boys', 'start': 389.6, 'duration': 5.52}, {'text': ""wicked working so quits words can't"", 'start': 392.8, 'duration': 4.96}, {'text': 'describe teams racing all we give you', 'start': 395.12, 'duration': 5.54}, {'text': 'guys tactics all weekend unbelievable', 'start': 397.76, 'duration': 5.49}, {'text': 'check this want to come down to the boys', 'start': 400.66, 'duration': 5.23}, {'text': 'this wig roll and block this call and', 'start': 403.25, 'duration': 5.43}, {'text': 'they Ross working me and Ronnie hit so', 'start': 405.89, 'duration': 4.86}, {'text': 'good luck running so wicked I started', 'start': 408.68, 'duration': 3.39}, {'text': 'gonna bleed the frightened when I saw', 'start': 410.75, 'duration': 2.58}, {'text': 'Pam come out and he looked like he', 'start': 412.07, 'duration': 2.67}, {'text': 'wanted to do some damage were you', 'start': 413.33, 'duration': 5.4}, {'text': 'avoided it with these books but um they', 'start': 414.74, 'duration': 5.58}, {'text': ""else he had a problem and you couldn't"", 'start': 418.73, 'duration': 5.96}, {'text': 'chase me luckily enough so good', 'start': 420.32, 'duration': 4.37}]"
8cB7,LbaGnkHtZ3c,"[179, 667]",
4xB7,FR2dmuiQ-3Q,"[4, 9, 10, 37]",
Q1B7,_1zaZEkNK7E,"[0, 25, 241]",
BFB7,XZI2o3KdMso,"[2, 7]","[{'text': '1980 AMC eagle finally got this car out', 'start': 0.589, 'duration': 17.55}, {'text': 'of storage', 'start': 15.719, 'duration': 2.42}, {'text': ""there's the effects I've been telling"", 'start': 19.52, 'duration': 5.05}, {'text': 'you some about on the fenders front and', 'start': 21.6, 'duration': 5.79}, {'text': 'rear so I show up on the sunlight system', 'start': 24.57, 'duration': 7.68}, {'text': 'at a certain angle those are painted on', 'start': 27.39, 'duration': 9.09}, {'text': 'by myself not stenciled or anything like', 'start': 32.25, 'duration': 8.43}, {'text': ""that under the car view I'm not too sure"", 'start': 36.48, 'duration': 7.5}, {'text': 'what we could see we can actually really', 'start': 40.68, 'duration': 6.74}, {'text': 'just call underneath this car', 'start': 43.98, 'duration': 3.44}, {'text': ""I'm too bad condition mom's the doors"", 'start': 54.609, 'duration': 8.09}, {'text': 'certainly come apply enough', 'start': 60.25, 'duration': 9.39}, {'text': ""Tiny's interior Sara's ready to go for a"", 'start': 62.699, 'duration': 9.611}, {'text': ""run at the dog run we're going to go for"", 'start': 69.64, 'duration': 3.5}, {'text': 'a drive', 'start': 72.31, 'duration': 5.669}, {'text': ""aren't we Sara I'll get the air"", 'start': 73.14, 'duration': 17.729}, {'text': 'conditioning going in a second and', 'start': 77.979, 'duration': 19.651}, {'text': 'inline 258 AMC six only has a few', 'start': 90.869, 'duration': 8.711}, {'text': 'options on at the car close apart being', 'start': 97.63, 'duration': 3.51}, {'text': 'the air conditioning thank goodness and', 'start': 99.58, 'duration': 5.66}, {'text': 'something else that I put on myself', 'start': 101.14, 'duration': 4.1}, {'text': 'extra thick anti-sway bars this car', 'start': 105.84, 'duration': 7.51}, {'text': 'really really goes around corners it', 'start': 110.56, 'duration': 6.809}, {'text': 'really corner as well nice heavy-duty', 'start': 113.35, 'duration': 5.79}, {'text': 'three-quarter ad it is the biggest one', 'start': 117.369, 'duration': 3.291}, {'text': 'we could fit in here', 'start': 119.14, 'duration': 4.649}, {'text': 'extra transmission oil cooler and extra', 'start': 120.66, 'duration': 6.599}, {'text': 'electric cooling fan as well too', 'start': 123.789, 'duration': 3.47}, {'text': ""rear anti-sway bar - you can see it's"", 'start': 133.02, 'duration': 4.59}, {'text': ""above the axle in this one it's"", 'start': 135.69, 'duration': 4.32}, {'text': 'particularly design exhaust is about', 'start': 137.61, 'duration': 3.93}, {'text': 'thirteen fourteen years old', 'start': 140.01, 'duration': 5.31}, {'text': ""I've seen very little if any winter"", 'start': 141.54, 'duration': 6.21}, {'text': ""driving and that particular period it's"", 'start': 145.32, 'duration': 4.35}, {'text': 'so great to work on this car so high up', 'start': 147.75, 'duration': 6.63}, {'text': 'off of the ground shot at the other side', 'start': 149.67, 'duration': 6.6}, {'text': ""- if we can really can't see much it's a"", 'start': 154.38, 'duration': 18.74}, {'text': 'lot of shadow all ready to go Sarah', 'start': 156.27, 'duration': 20.24}, {'text': 'see you folks later', 'start': 173.12, 'duration': 3.39}]"
