siBe,4rn0t6RvCa8,"[730, 2415]",
0dCZ,F2K3IM_eYMU,[290],
sTCZ,,[3],
gTCZ,NiccYuiYIM8,"[0, 1]",
hECZ,Noxp6sckLCE,[3],
SXCZ,NqQ1a1n4wnk,"[2, 76, 184, 227, 474, 1807]","[{'text': ""greetings from the Bahamas let's check"", 'start': 2.149, 'duration': 3.75}, {'text': 'in with Teresa on the Carnival Splendor', 'start': 4.29, 'duration': 4.05}, {'text': 'well this is what we believe in for the', 'start': 5.899, 'duration': 5.141}, {'text': 'last eight days this is our entrance I', 'start': 8.34, 'duration': 4.379}, {'text': ""don't know if is to tell people who we"", 'start': 11.04, 'duration': 2.16}, {'text': 'are', 'start': 12.719, 'duration': 3.031}, {'text': 'what to show Mom with what cabin to go', 'start': 13.2, 'duration': 5.28}, {'text': ""into but even if it works and it's"", 'start': 15.75, 'duration': 5.4}, {'text': 'decorated for the Bahamas and for Grand', 'start': 18.48, 'duration': 3.69}, {'text': 'Turk', 'start': 21.15, 'duration': 2.31}, {'text': ""won't you take us inside and show us"", 'start': 22.17, 'duration': 3.96}, {'text': 'your okay this is not a ski this is a', 'start': 23.46, 'duration': 5.149}, {'text': 'bookie', 'start': 26.13, 'duration': 2.479}, {'text': ""very festive isn't this pretty"", 'start': 36.19, 'duration': 8.56}, {'text': 'I mean really once you come home this is', 'start': 39.98, 'duration': 8.25}, {'text': ""above the room it's adequate it's more"", 'start': 44.75, 'duration': 6.86}, {'text': 'than adequate this room for everything', 'start': 48.23, 'duration': 5.82}, {'text': ""then I see again you're all decorated"", 'start': 51.61, 'duration': 5.29}, {'text': 'with some of your favorite photos from', 'start': 54.05, 'duration': 10.44}, {'text': ""Grand Turk and the botanist and it's"", 'start': 56.9, 'duration': 10.41}, {'text': ""Ryan at Margaritaville I'm back in the"", 'start': 64.49, 'duration': 5.43}, {'text': ""rear view and we've got a map to show us"", 'start': 67.31, 'duration': 4.26}, {'text': 'where we are which is in Nassau Bahamas', 'start': 69.92, 'duration': 2.75}, {'text': 'today', 'start': 71.57, 'duration': 4.549}, {'text': 'do you have a refrigerator down here', 'start': 72.67, 'duration': 7.33}, {'text': 'even even equipment put in the safe why', 'start': 76.119, 'duration': 5.741}, {'text': ""don't you show us the bathroom back here"", 'start': 80.0, 'duration': 8.4}, {'text': 'as well small stair for you to step up -', 'start': 81.86, 'duration': 8.19}, {'text': 'how is that getting in the bathroom for', 'start': 88.4, 'duration': 2.31}, {'text': 'you in the morning', 'start': 90.05, 'duration': 3.66}, {'text': ""it's fine it's fine we've got a wall"", 'start': 90.71, 'duration': 8.85}, {'text': 'full of closets and over here is the I', 'start': 93.71, 'duration': 8.13}, {'text': 'guess you could make this holiday bar', 'start': 99.56, 'duration': 4.559}, {'text': ""because we've got the lights up and the"", 'start': 101.84, 'duration': 4.139}, {'text': 'flags in this way about all of your', 'start': 104.119, 'duration': 4.951}, {'text': 'ports of starting in the United States', 'start': 105.979, 'duration': 4.771}, {'text': 'in the state of New York', 'start': 109.07, 'duration': 4.92}, {'text': 'in the city of New York for the United', 'start': 110.75, 'duration': 6.33}, {'text': 'Kingdom Turks and Caicos Islands and to', 'start': 113.99, 'duration': 5.04}, {'text': ""the Bahamas now what's the price like"", 'start': 117.08, 'duration': 4.5}, {'text': 'for this trip for you Theresa I just', 'start': 119.03, 'duration': 6.39}, {'text': 'read off it comes out - let me see eight', 'start': 121.58, 'duration': 7.11}, {'text': 'days five hundred and seventy three', 'start': 125.42, 'duration': 5.85}, {'text': 'dollars and fifty five cents which boils', 'start': 128.69, 'duration': 5.34}, {'text': ""down to seventy one dollars a day that's"", 'start': 131.27, 'duration': 4.56}, {'text': ""all you're sleeping all your"", 'start': 134.03, 'duration': 4.289}, {'text': 'accommodations your trips are various', 'start': 135.83, 'duration': 5.52}, {'text': 'islands all your food if you can eat you', 'start': 138.319, 'duration': 4.531}, {'text': 'can do it for twenty three and a half', 'start': 141.35, 'duration': 3.87}, {'text': 'hours have been done and also your tax', 'start': 142.85, 'duration': 6.0}, {'text': 'and tip which comes out to five hundred', 'start': 145.22, 'duration': 5.76}, {'text': 'and seventy three dollars and fifty five', 'start': 148.85, 'duration': 5.24}, {'text': 'cents which comes out to with everything', 'start': 150.98, 'duration': 5.79}, {'text': 'seventy one dollars a day if you could', 'start': 154.09, 'duration': 4.36}, {'text': ""beat this full up you know I'll commit"", 'start': 156.77, 'duration': 4.08}, {'text': ""to it and that's for an eight-day trip"", 'start': 158.45, 'duration': 5.4}, {'text': 'that price is per person seeing three', 'start': 160.85, 'duration': 5.31}, {'text': 'ports and two different countries and', 'start': 163.85, 'duration': 3.99}, {'text': 'step over to the mirror I see that you', 'start': 166.16, 'duration': 2.4}, {'text': 'are all deck', 'start': 167.84, 'duration': 3.18}, {'text': 'in blue and white ready for the Bahamas', 'start': 168.56, 'duration': 4.77}, {'text': ""looking good it wasn't right"", 'start': 171.02, 'duration': 4.799}, {'text': 'it was great where Bahaman color right', 'start': 173.33, 'duration': 4.62}, {'text': 'everybody till next time', 'start': 175.819, 'duration': 4.351}, {'text': ""it's the story from the Bahamas I hope"", 'start': 177.95, 'duration': 5.06}, {'text': 'you get the same right', 'start': 180.17, 'duration': 2.84}]"
qmCZ,n8ROAxR3DzQ,"[5, 15, 16]",
TYCZ,Sju9e2e6ZSc,"[21, 23, 24, 115]",
YqCZ,SoEYCrsWqNs,"[11, 176, 1291]",
hICZ,SpLYd3hWp60,"[0, 1, 5]",
Q2CZ,StULKDUDdrk,"[2, 44, 186]",
qVCZ,,[3],
XdCZ,6IviwC1WKN4,"[2, 44, 46, 109, 631, 2221]",
CTCZ,6IDXCn9dseI,[525],"[{'text': 'the birthday boy with an unusual present', 'start': 0.0, 'duration': 5.94}, {'text': 'what if 92 year old Len maketh his', 'start': 2.73, 'duration': 10.739}, {'text': 'daredevil treat hello from david and', 'start': 5.94, 'duration': 10.32}, {'text': 'from me welcome to the program first', 'start': 13.469, 'duration': 4.831}, {'text': 'tonight 11 people have been injured one', 'start': 16.26, 'duration': 3.96}, {'text': 'of them seriously after a fire engine', 'start': 18.3, 'duration': 5.19}, {'text': 'responding to a 999 call was involved in', 'start': 20.22, 'duration': 5.67}, {'text': 'a three vehicle pileup in Luton the', 'start': 23.49, 'duration': 4.35}, {'text': 'crash happened at the junction of Chapel', 'start': 25.89, 'duration': 3.93}, {'text': 'Street and Farley Hill during this', 'start': 27.84, 'duration': 4.439}, {'text': ""morning's of rush hour a car and a taxi"", 'start': 29.82, 'duration': 3.87}, {'text': 'were the other two vehicles involved', 'start': 32.279, 'duration': 3.631}, {'text': 'five firefighters were among those who', 'start': 33.69, 'duration': 4.35}, {'text': 'needed hospital treatment as Emma Baker', 'start': 35.91, 'duration': 8.1}, {'text': 'reports one emergency service responding', 'start': 38.04, 'duration': 8.55}, {'text': 'to the call of another this was the', 'start': 44.01, 'duration': 4.68}, {'text': 'result of a fire service response that', 'start': 46.59, 'duration': 4.71}, {'text': 'went very wrong when a fire engine and', 'start': 48.69, 'duration': 5.549}, {'text': 'two cars collided in the centre of Luton', 'start': 51.3, 'duration': 5.849}, {'text': 'leaving eleven people injured one', 'start': 54.239, 'duration': 5.91}, {'text': 'seriously it was pretty pretty dramatic', 'start': 57.149, 'duration': 5.701}, {'text': 'the fire engine hit the near side of the', 'start': 60.149, 'duration': 3.87}, {'text': 'car fair and square', 'start': 62.85, 'duration': 3.66}, {'text': ""of five people in the car there's one"", 'start': 64.019, 'duration': 5.041}, {'text': 'driver in the taxi and there was five', 'start': 66.51, 'duration': 4.859}, {'text': 'firefighters the five people in the car', 'start': 69.06, 'duration': 4.739}, {'text': 'the most seriously injured with a range', 'start': 71.369, 'duration': 4.831}, {'text': 'of pelvic injuries but none of Alif life', 'start': 73.799, 'duration': 4.11}, {'text': 'and in this time and the fire service', 'start': 76.2, 'duration': 4.2}, {'text': 'said walking wounded the accident', 'start': 77.909, 'duration': 4.051}, {'text': ""happened just before 9 o'clock this"", 'start': 80.4, 'duration': 3.21}, {'text': 'morning the fire engine had been coming', 'start': 81.96, 'duration': 4.26}, {'text': 'up this hill towards it call the car was', 'start': 83.61, 'duration': 4.17}, {'text': ""coming from this direction and it's"", 'start': 86.22, 'duration': 3.45}, {'text': 'thought they collided on this crossroads', 'start': 87.78, 'duration': 4.89}, {'text': 'the car then possibly spun around to end', 'start': 89.67, 'duration': 5.129}, {'text': 'up on its side against the wall of this', 'start': 92.67, 'duration': 5.55}, {'text': 'old pub inside the Vauxhall Astra a man', 'start': 94.799, 'duration': 6.03}, {'text': 'and a woman with two teenage girls and a', 'start': 98.22, 'duration': 5.219}, {'text': '20 year old woman in the back the woman', 'start': 100.829, 'duration': 4.891}, {'text': 'in the front was seriously injured', 'start': 103.439, 'duration': 4.381}, {'text': 'the fire engine was one of two', 'start': 105.72, 'duration': 3.929}, {'text': 'travelling away from the town centre', 'start': 107.82, 'duration': 4.68}, {'text': 'both had their lights and sirens on and', 'start': 109.649, 'duration': 4.86}, {'text': 'were heading to a house fire in slip end', 'start': 112.5, 'duration': 4.71}, {'text': 'Nick Addington the fire service has now', 'start': 114.509, 'duration': 4.71}, {'text': 'launched its own internal inquiry about', 'start': 117.21, 'duration': 4.65}, {'text': 'this incident which left the crew very', 'start': 119.219, 'duration': 4.621}, {'text': 'shaken luckily they managed to get', 'start': 121.86, 'duration': 5.009}, {'text': 'themselves together quite quickly to be', 'start': 123.84, 'duration': 6.33}, {'text': 'able to then extricate the five people', 'start': 126.869, 'duration': 4.531}, {'text': 'that were involved in the incident it', 'start': 130.17, 'duration': 2.34}, {'text': 'sells', 'start': 131.4, 'duration': 2.19}, {'text': ""you know when I've spoken to them"", 'start': 132.51, 'duration': 3.36}, {'text': 'directly after the incident that all', 'start': 133.59, 'duration': 5.1}, {'text': 'burly quite strong guys and girls that', 'start': 135.87, 'duration': 4.71}, {'text': 'can deal with most things and most of', 'start': 138.69, 'duration': 4.71}, {'text': 'them are extremely upset and in tears it', 'start': 140.58, 'duration': 4.86}, {'text': 'was a shocking sight for people living', 'start': 143.4, 'duration': 5.16}, {'text': ""nearby I'll go inside and they began to"", 'start': 145.44, 'duration': 6.15}, {'text': 'come outside I saw the the fire engine', 'start': 148.56, 'duration': 5.28}, {'text': ""stopped and they and the car wasn't like"", 'start': 151.59, 'duration': 4.2}, {'text': ""this I didn't actually see the accident"", 'start': 153.84, 'duration': 3.57}, {'text': 'I came down afterwards and it was bad', 'start': 155.79, 'duration': 4.289}, {'text': 'the road was closed for several hours a', 'start': 157.41, 'duration': 5.4}, {'text': 'police investigation is now looking into', 'start': 160.079, 'duration': 5.25}, {'text': 'exactly how such an accident could have', 'start': 162.81, 'duration': 8.299}, {'text': 'happened Emma Baker Anglia News Luton', 'start': 165.329, 'duration': 8.19}, {'text': 'parents who transport children on behalf', 'start': 171.109, 'duration': 4.6}, {'text': 'of sports and social clubs could face', 'start': 173.519, 'duration': 3.991}, {'text': 'heavy fines and less they undergo', 'start': 175.709, 'duration': 3.78}, {'text': 'criminal record checks better be', 'start': 177.51, 'duration': 3.72}, {'text': ""included in the government's new vetting"", 'start': 179.489, 'duration': 3.961}, {'text': 'and barring scheme set up following four', 'start': 181.23, 'duration': 4.229}, {'text': 'so ax murders but there are fears that', 'start': 183.45, 'duration': 4.74}, {'text': 'volunteers will dwindle forcing clubs to', 'start': 185.459, 'duration': 3.571}, {'text': 'close down', 'start': 188.19, 'duration': 4.65}, {'text': 'Malcolm Robertson reports from next', 'start': 189.03, 'duration': 5.789}, {'text': 'month there to be more checks on parents', 'start': 192.84, 'duration': 4.2}, {'text': 'ferrying children to social or sporting', 'start': 194.819, 'duration': 4.98}, {'text': 'clubs anyone doing that on behalf of the', 'start': 197.04, 'duration': 4.41}, {'text': 'club and not getting the appropriate', 'start': 199.799, 'duration': 4.41}, {'text': 'criminal record check faces very hefty', 'start': 201.45, 'duration': 3.48}, {'text': 'fines', 'start': 204.209, 'duration': 3.271}, {'text': 'it was the bechard report following the', 'start': 204.93, 'duration': 4.76}, {'text': 'Sir', 'start': 207.48, 'duration': 2.21}, {'text': 'you', 'start': 215.27, 'duration': 2.06}]"
mkCZ,6WZlkqxQVm0,"[2, 30, 55, 196, 1083, 1808]",
qICZ,M-TFvW_WMqc,"[4, 9, 10, 34]",
mbCZ,4qrr3lNunz0,"[0, 1, 1327, 2377]","[{'text': 'for years Dinah was my sole handler at', 'start': 9.23, 'duration': 5.67}, {'text': 'the agency', 'start': 13.019, 'duration': 6.291}, {'text': 'she supplied information and secrecy and', 'start': 14.9, 'duration': 7.73}, {'text': 'I sold the faction', 'start': 19.31, 'duration': 3.32}, {'text': ""I'm sorry"", 'start': 38.72, 'duration': 2.96}, {'text': 'maybe someday', 'start': 54.91, 'duration': 5.399}, {'text': 'you will understand', 'start': 57.079, 'duration': 3.23}, {'text': ""sir yeah it's an ice cream truck yeah I"", 'start': 70.94, 'duration': 7.82}, {'text': ""know I'll get rid of"", 'start': 75.62, 'duration': 3.14}, {'text': 'hey daddy you want what about your', 'start': 79.079, 'duration': 6.9}, {'text': 'partner what partner', 'start': 82.81, 'duration': 3.169}, {'text': 'during this assignment key game elements', 'start': 87.979, 'duration': 5.641}, {'text': 'will be highlighted', 'start': 90.63, 'duration': 2.99}, {'text': 'so do or kill the choice is yours either', 'start': 114.01, 'duration': 11.82}, {'text': ""way he won't be waking up any time soon"", 'start': 121.25, 'duration': 4.58}, {'text': 'holster your weapon', 'start': 126.58, 'duration': 3.48}, {'text': 'you', 'start': 133.77, 'duration': 5.1}, {'text': ""you can think about it I'm serious his"", 'start': 135.78, 'duration': 4.47}, {'text': 'job is probably the only thing holding', 'start': 138.87, 'duration': 3.77}, {'text': 'them together', 'start': 140.25, 'duration': 2.39}, {'text': ""and you're being arrested do not run"", 'start': 156.4, 'duration': 5.169}, {'text': 'instead fix surrender or call me walk to', 'start': 159.11, 'duration': 6.08}, {'text': 'a secluded area then deal', 'start': 161.569, 'duration': 3.621}, {'text': 'I had a security hosting a weapon does', 'start': 165.84, 'duration': 8.88}, {'text': 'fuck she wants to play it close to the', 'start': 171.709, 'duration': 11.071}, {'text': 'chest that easier if ghosts alert', 'start': 174.72, 'duration': 8.06}, {'text': 'running allows you to leave okay', 'start': 184.91, 'duration': 4.689}, {'text': 'Oh', 'start': 187.569, 'duration': 2.03}, {'text': 'using sting to anticipate enemy movement', 'start': 193.87, 'duration': 7.39}, {'text': 'the chefs cook understand mmm I tell you', 'start': 196.7, 'duration': 7.17}, {'text': 'this gig is like what you are being', 'start': 201.26, 'duration': 5.04}, {'text': 'arrested do not run instead fake', 'start': 203.87, 'duration': 4.11}, {'text': 'surrender or call me walk to a secluded', 'start': 206.3, 'duration': 8.159}, {'text': 'area than deal with her cover to protect', 'start': 207.98, 'duration': 8.729}, {'text': 'yourself with enemy fire or try to slip', 'start': 214.459, 'duration': 4.821}, {'text': 'away and hide', 'start': 216.709, 'duration': 2.571}, {'text': 'a body has been found the guards will be', 'start': 238.78, 'duration': 8.48}, {'text': 'more alert body down', 'start': 241.27, 'duration': 5.99}, {'text': 'use instinct to anticipate enemy', 'start': 256.799, 'duration': 4.84}, {'text': ""movement looks like the chef's cook so"", 'start': 259.419, 'duration': 5.28}, {'text': 'much about you are being arrested run', 'start': 261.639, 'duration': 5.521}, {'text': 'instead fake surrender or calmly walk to', 'start': 264.699, 'duration': 4.5}, {'text': 'a secluded area then deal with your', 'start': 267.16, 'duration': 6.74}, {'text': 'enemy or that quarter', 'start': 269.199, 'duration': 4.701}, {'text': 'keep using instinct until your enemy is', 'start': 293.43, 'duration': 7.98}, {'text': 'already suspicious of you disguise using', 'start': 297.04, 'duration': 4.37}, {'text': 'the target but you were seen entering', 'start': 304.08, 'duration': 7.26}, {'text': 'which means you cannot effectively hide', 'start': 307.12, 'duration': 4.22}, {'text': 'man fucking permission to open some', 'start': 311.969, 'duration': 6.77}, {'text': 'breathing', 'start': 316.259, 'duration': 2.48}]"
RlCZ,sRUv-x0Y770,"[4, 9, 10, 34, 37]","[{'text': ""hi I'm going to look at Echo beach by"", 'start': 0.23, 'duration': 5.649}, {'text': 'Martha and the muffins which is a great', 'start': 3.959, 'duration': 3.96}, {'text': 'song everyone wants to be a play this', 'start': 5.879, 'duration': 6.501}, {'text': ""year that's simple once you've got a few"", 'start': 7.919, 'duration': 8.911}, {'text': 'little thing going where you play the', 'start': 12.38, 'duration': 9.34}, {'text': 'song and needs to rain so be like with', 'start': 16.83, 'duration': 5.65}, {'text': 'your fingers', 'start': 21.72, 'duration': 6.679}, {'text': '[Music]', 'start': 22.48, 'duration': 5.919}, {'text': ""he's way"", 'start': 28.88, 'duration': 9.179}, {'text': '[Music]', 'start': 31.88, 'duration': 10.39}, {'text': 'okay motorcycle motorcycle start on the', 'start': 38.059, 'duration': 10.151}, {'text': 'open a string first fret of the G for', 'start': 42.27, 'duration': 21.499}, {'text': 'strategy first fret of the D by the open', 'start': 48.21, 'duration': 15.559}, {'text': '[Music]', 'start': 68.96, 'duration': 8.24}, {'text': 'and then seventh fret of the G and then', 'start': 72.51, 'duration': 7.09}, {'text': 'you immediately want to play the fifth', 'start': 77.2, 'duration': 5.99}, {'text': 'fret on the a so we get this effect', 'start': 79.6, 'duration': 3.59}, {'text': '[Music]', 'start': 83.58, 'duration': 9.019}, {'text': ""let's play open D seventh fret G and"", 'start': 95.22, 'duration': 19.8}, {'text': 'then first fret on the a slide it down', 'start': 111.13, 'duration': 6.84}, {'text': 'to two frets', 'start': 115.02, 'duration': 13.969}, {'text': '[Music]', 'start': 117.97, 'duration': 18.739}, {'text': 'the g string the B string open back to', 'start': 128.989, 'duration': 19.181}, {'text': 'start just for the g string twice for', 'start': 136.709, 'duration': 15.291}, {'text': 'your rhythm you want to get your bass', 'start': 148.17, 'duration': 3.83}, {'text': 'drink it this out I try to forget about', 'start': 154.489, 'duration': 4.901}, {'text': 'the high notes for a second because you', 'start': 157.14, 'duration': 4.52}, {'text': 'should I get', 'start': 159.39, 'duration': 2.27}, {'text': '[Music]', 'start': 163.85, 'duration': 12.27}, {'text': 'you', 'start': 181.48, 'duration': 12.28}, {'text': '[Music]', 'start': 182.17, 'duration': 11.59}, {'text': '[Music]', 'start': 196.74, 'duration': 3.179}, {'text': ""okay I don't think you need me to go"", 'start': 201.39, 'duration': 4.18}, {'text': 'through our very very quickly go through', 'start': 203.74, 'duration': 4.86}, {'text': ""the cards that you'll use in the main"", 'start': 205.57, 'duration': 5.6}, {'text': 'part of song', 'start': 208.6, 'duration': 2.57}, {'text': '[Music]', 'start': 211.84, 'duration': 19.24}, {'text': '[Music]', 'start': 233.26, 'duration': 3.36}, {'text': 'for the chorus that goes a minor', 'start': 239.51, 'duration': 5.309}, {'text': '[Music]', 'start': 245.33, 'duration': 10.699}, {'text': 'a minor D D minor', 'start': 256.41, 'duration': 4.44}, {'text': '[Music]', 'start': 263.0, 'duration': 6.35}, {'text': 'gee and to upstrokes', 'start': 273.23, 'duration': 5.56}, {'text': 'on D', 'start': 276.93, 'duration': 16.569}, {'text': '[Music]', 'start': 278.79, 'duration': 14.709}, {'text': '[Music]', 'start': 304.18, 'duration': 15.93}, {'text': 'okay easier enjoy', 'start': 315.01, 'duration': 5.1}]"
koCZ,9yje6KnGUS8,[39],"[{'text': 'then it was my idea', 'start': 21.89, 'duration': 3.51}, {'text': 'alright', 'start': 25.46, 'duration': 2.69}, {'text': 'I wonder if you sort of like it', 'start': 28.289, 'duration': 5.501}, {'text': ""no it's all your viewers they thought he"", 'start': 30.94, 'duration': 5.66}, {'text': 'was so hot', 'start': 33.79, 'duration': 2.81}, {'text': 'here we go I shall turn', 'start': 37.57, 'duration': 7.05}, {'text': 'before do these guys', 'start': 41.66, 'duration': 2.96}, {'text': ""tell us what kind you're using satira"", 'start': 46.37, 'duration': 4.59}, {'text': 'Oh', 'start': 51.329, 'duration': 2.0}, {'text': 'ok', 'start': 56.51, 'duration': 2.63}, {'text': 'Wow people are staring Arabs gonna get', 'start': 61.89, 'duration': 5.72}, {'text': 'on this', 'start': 65.339, 'duration': 2.271}, {'text': ""oh it's sprinkling no they're not"", 'start': 75.08, 'duration': 11.85}, {'text': ""staring yet don't worry I please just"", 'start': 83.33, 'duration': 6.27}, {'text': 'every', 'start': 86.93, 'duration': 6.1}, {'text': ""well we haven't even gone to the fat"", 'start': 89.6, 'duration': 10.36}, {'text': 'part yet wait for the mascara myself', 'start': 93.03, 'duration': 17.269}, {'text': 'into ooh sexy', 'start': 99.96, 'duration': 10.339}, {'text': 'so what kind of look are we going for', 'start': 112.96, 'duration': 4.909}, {'text': 'users', 'start': 115.33, 'duration': 2.539}, {'text': 'was the crosswalks', 'start': 118.93, 'duration': 3.44}, {'text': 'those are', 'start': 123.99, 'duration': 2.809}, {'text': 'green time', 'start': 133.0, 'duration': 3.3}, {'text': 'mom his eyes are watering', 'start': 144.97, 'duration': 4.53}, {'text': 'Oh', 'start': 150.56, 'duration': 2.06}, {'text': 'my', 'start': 153.99, 'duration': 2.24}, {'text': 'alright', 'start': 158.75, 'duration': 2.21}, {'text': 'Oh', 'start': 162.83, 'duration': 2.0}, {'text': 'oh god michael has good eyebrows fair', 'start': 174.09, 'duration': 8.63}, {'text': 'boy I know right thank you I guess yeah', 'start': 177.03, 'duration': 5.69}, {'text': 'no no and what are you using oh this is', 'start': 189.62, 'duration': 8.619}, {'text': 'the one wild color icon blush and others', 'start': 194.849, 'duration': 5.461}, {'text': 'built', 'start': 198.239, 'duration': 4.341}, {'text': 'bad guy', 'start': 200.31, 'duration': 4.93}, {'text': 'where is this going', 'start': 202.58, 'duration': 2.66}, {'text': ""okay people aren't staring at Michael"", 'start': 208.13, 'duration': 3.98}, {'text': 'Oh', 'start': 218.72, 'duration': 2.0}, {'text': 'I', 'start': 221.69, 'duration': 2.0}, {'text': 'hi', 'start': 229.28, 'duration': 2.99}, {'text': 'good look cute hey go', 'start': 233.59, 'duration': 4.02}, {'text': 'yeah yeah kinda I would be the hottest', 'start': 241.35, 'duration': 7.19}, {'text': 'good', 'start': 246.21, 'duration': 2.33}, {'text': ""that's going out to you"", 'start': 249.43, 'duration': 6.36}, {'text': 'wait no this is not my eyebrows baby', 'start': 251.95, 'duration': 5.129}, {'text': 'yeah', 'start': 255.79, 'duration': 4.249}, {'text': 'freshers', 'start': 257.079, 'duration': 2.96}, {'text': ""Michael we've already gotten this far"", 'start': 265.21, 'duration': 7.179}, {'text': ""it's like you don't know that you've"", 'start': 267.5, 'duration': 9.08}, {'text': 'never put it on okay this looks like it', 'start': 272.389, 'duration': 4.191}, {'text': ""is that for so no I can't"", 'start': 280.23, 'duration': 10.4}, {'text': 'oh yeah yes I regularly put on make the', 'start': 297.49, 'duration': 9.079}, {'text': 'obama one to go back no', 'start': 303.069, 'duration': 3.5}, {'text': 'fun', 'start': 307.19, 'duration': 3.0}, {'text': ""it's all the food"", 'start': 318.95, 'duration': 5.47}, {'text': 'good like my god Michael looks so much', 'start': 321.51, 'duration': 5.63}, {'text': 'taller than you', 'start': 324.42, 'duration': 2.72}, {'text': ""can't see anything Oh going wait wait"", 'start': 327.83, 'duration': 10.11}, {'text': 'wait for the tokens look closer eyes are', 'start': 335.12, 'duration': 10.14}, {'text': ""closed 10 raise your eyebrows I'm not"", 'start': 337.94, 'duration': 15.47}, {'text': ""kidding you look he doesn't like it"", 'start': 345.26, 'duration': 8.15}, {'text': 'hommerson thanks to Stephanie for', 'start': 363.349, 'duration': 9.43}, {'text': 'filming thanks to Michael for being our', 'start': 370.11, 'duration': 7.139}, {'text': 'cross dresser model you know um thanks', 'start': 372.779, 'duration': 7.1}, {'text': 'to me for doing really nice sneak up', 'start': 377.249, 'duration': 5.491}, {'text': ""thanks to her oh btdubs there's like"", 'start': 379.879, 'duration': 7.951}, {'text': 'liddie staring at us know love you bye', 'start': 382.74, 'duration': 5.09}]"
BYCZ,m7170D0fcVw,[8],
e7CZ,dpEkBLRCznY,"[106, 200]",
TkCZ,dwDXmJph2CQ,"[5, 577]",
YDCZ,dyvas2dt5B8,"[3, 6]",
whCZ,e2gXEeyO3O4,"[0, 1, 2137]",
DTCZ,AI-hdgqtqS0,"[0, 1, 5, 69, 649]",
xfCZ,AMyheJqkHFs,"[2, 44, 155, 162, 264, 377]",
4ACZ,ANodNRdSJcI,"[0, 1, 349]",
