eEhu,tZ-IrAHKPw4,[25],
yNhu,WNZE1Y5_CYI,"[1, 189, 741, 831]","[{'text': 'so many lost for my freedom', 'start': 0.829, 'duration': 6.971}, {'text': 'I met master Oh tank he left to inform', 'start': 4.98, 'duration': 4.319}, {'text': 'Republic high command of the casualties', 'start': 7.8, 'duration': 5.37}, {'text': 'a devastating my only consolation is to', 'start': 9.299, 'duration': 5.431}, {'text': 'see the Jedi still produce great', 'start': 13.17, 'duration': 4.199}, {'text': ""warriors wish I'd had you on my side"", 'start': 14.73, 'duration': 4.77}, {'text': ""when I faced the Emperor we'll get our"", 'start': 17.369, 'duration': 5.64}, {'text': ""chance at him someday when we do I won't"", 'start': 19.5, 'duration': 5.849}, {'text': ""let you down owing you're the vanguard"", 'start': 23.009, 'duration': 4.951}, {'text': 'of our order gives me hope my link to', 'start': 25.349, 'duration': 4.801}, {'text': 'the Emperor is broken but I learned a', 'start': 27.96, 'duration': 4.59}, {'text': 'lot as his prisoner centuries of', 'start': 30.15, 'duration': 4.74}, {'text': ""knowledge I'll share everything with the"", 'start': 32.55, 'duration': 5.939}, {'text': ""Jedi Council then I'll end this blasted"", 'start': 34.89, 'duration': 7.559}, {'text': 'war and the Sith Empire forever if you', 'start': 38.489, 'duration': 6.21}, {'text': 'need allies you can always come on me', 'start': 42.449, 'duration': 5.401}, {'text': ""you gave me freedom that's more than"", 'start': 44.699, 'duration': 5.7}, {'text': ""enough there's one secret the Emperor"", 'start': 47.85, 'duration': 5.13}, {'text': 'never pried from me a place called the', 'start': 50.399, 'duration': 5.011}, {'text': 'foundry in the wrong hands it can', 'start': 52.98, 'duration': 5.94}, {'text': 'exterminate civilizations my hands it', 'start': 55.41, 'duration': 6.51}, {'text': 'will save the galaxy you should return', 'start': 58.92, 'duration': 5.75}, {'text': 'to the fight for as long as it lasts', 'start': 61.92, 'duration': 6.45}, {'text': 'before I go who was that woman who led', 'start': 64.67, 'duration': 7.15}, {'text': 'us to you she was a great Jedi my most', 'start': 68.37, 'duration': 6.3}, {'text': 'trusted Ally history remembers her as', 'start': 71.82, 'duration': 9.2}, {'text': 'the Exile to me she was more', 'start': 74.67, 'duration': 6.35}, {'text': 'nor shuffle to python is fueled and', 'start': 82.57, 'duration': 6.67}, {'text': ""ready my friend it's gon be my I won't"", 'start': 85.28, 'duration': 7.129}, {'text': 'forget what you did today', 'start': 89.24, 'duration': 3.169}, {'text': 'neither were I you not only saved you', 'start': 93.88, 'duration': 5.19}, {'text': 'but no help spare that a traditional', 'start': 96.909, 'duration': 4.771}, {'text': 'losses the Republic needs all the fleet', 'start': 99.07, 'duration': 4.88}, {'text': 'Admirals and Jen eyemasters it can get', 'start': 101.68, 'duration': 5.759}, {'text': ""stay safe all right there's nothing safe"", 'start': 103.95, 'duration': 7.169}, {'text': ""about the path I walk I'll do my best"", 'start': 107.439, 'duration': 6.6}, {'text': ""thanks to you we've taken a great step"", 'start': 111.119, 'duration': 5.07}, {'text': 'toward final victory over the entire', 'start': 114.039, 'duration': 6.11}, {'text': 'with a force be with you', 'start': 116.189, 'duration': 3.96}, {'text': 'so many lost for my freedom I met master', 'start': 127.289, 'duration': 7.601}, {'text': 'Oh tag he left to inform Republic high', 'start': 132.25, 'duration': 4.709}, {'text': 'command of the casualties and', 'start': 134.89, 'duration': 4.739}, {'text': 'devastating my only consolation is to', 'start': 136.959, 'duration': 4.201}, {'text': 'see the Jedi still produce great', 'start': 139.629, 'duration': 4.17}, {'text': ""warriors wish I'd had you on my side"", 'start': 141.16, 'duration': 4.98}, {'text': ""when I faced the Emperor there's room on"", 'start': 143.799, 'duration': 4.291}, {'text': 'my ship for you will defeat the Empire', 'start': 146.14, 'duration': 4.77}, {'text': ""together it isn't my place to follow a"", 'start': 148.09, 'duration': 6.14}, {'text': ""lead I'll travel my own path like always"", 'start': 150.91, 'duration': 6.48}, {'text': 'my link to the Emperor is broken but I', 'start': 154.23, 'duration': 5.77}, {'text': 'learned a lot as his prisoner centuries', 'start': 157.39, 'duration': 5.01}, {'text': ""of knowledge I'll share everything with"", 'start': 160.0, 'duration': 5.549}, {'text': ""the Jedi Council then I'll end this"", 'start': 162.4, 'duration': 6.69}, {'text': 'blasted war and the Sith Empire forever', 'start': 165.549, 'duration': 6.72}, {'text': ""how do you plan to achieve this there's"", 'start': 169.09, 'duration': 5.13}, {'text': 'one secret the Emperor never pried from', 'start': 172.269, 'duration': 5.401}, {'text': 'me a place called the foundry in the', 'start': 174.22, 'duration': 4.769}, {'text': 'wrong hands it can exterminate', 'start': 177.67, 'duration': 5.099}, {'text': 'civilizations my hands it will save the', 'start': 178.989, 'duration': 6.75}, {'text': 'galaxy you should return to the fight', 'start': 182.769, 'duration': 6.601}, {'text': 'for as long as it lasts we were never', 'start': 185.739, 'duration': 5.131}, {'text': 'properly introduced in all the', 'start': 189.37, 'duration': 5.91}, {'text': 'excitement which I call you reven it', 'start': 190.87, 'duration': 7.619}, {'text': ""isn't my real name ever was but it will"", 'start': 195.28, 'duration': 5.359}, {'text': 'do', 'start': 198.489, 'duration': 2.15}, {'text': 'nor shuttle to python is fueled and', 'start': 201.59, 'duration': 5.67}, {'text': ""ready my friend it's gone goodbye I"", 'start': 204.269, 'duration': 7.161}, {'text': ""won't forget what you did today"", 'start': 207.26, 'duration': 4.17}, {'text': 'neither were I you not only saved you', 'start': 212.95, 'duration': 5.1}, {'text': 'but you have spare that link additional', 'start': 215.92, 'duration': 4.789}, {'text': 'losses I was only doing what was right', 'start': 218.05, 'duration': 7.68}, {'text': 'humility is good in moderation sometimes', 'start': 220.709, 'duration': 8.441}, {'text': 'just have to accept your hero thanks to', 'start': 225.73, 'duration': 5.52}, {'text': ""you we've taken a great step toward"", 'start': 229.15, 'duration': 4.949}, {'text': 'final victory over the Empire with a', 'start': 231.25, 'duration': 10.709}, {'text': 'force be with you so many lost for my', 'start': 234.099, 'duration': 9.481}, {'text': 'freedom', 'start': 241.959, 'duration': 4.471}, {'text': 'I met master Rohtang he left to inform', 'start': 243.58, 'duration': 4.64}, {'text': 'Republic high command of the casualties', 'start': 246.43, 'duration': 5.19}, {'text': 'their devastating my only consolation is', 'start': 248.22, 'duration': 5.11}, {'text': 'to see the Jedi still produce great', 'start': 251.62, 'duration': 4.35}, {'text': ""warriors wish I'd had you on my side"", 'start': 253.33, 'duration': 5.189}, {'text': 'when I faced the Emperor having a 300', 'start': 255.97, 'duration': 4.32}, {'text': 'year old Jedi Master my debt will be', 'start': 258.519, 'duration': 4.351}, {'text': 'useful the only payment I can offer is', 'start': 260.29, 'duration': 5.64}, {'text': ""peace I won't stop until the Sith are"", 'start': 262.87, 'duration': 5.55}, {'text': 'only a memory my link to the Emperor is', 'start': 265.93, 'duration': 4.77}, {'text': 'broken but I learned a lot as his', 'start': 268.42, 'duration': 5.31}, {'text': ""prisoner centuries of knowledge I'll"", 'start': 270.7, 'duration': 4.79}, {'text': 'share everything with the Jedi Council', 'start': 273.73, 'duration': 5.61}, {'text': ""then I'll end this blasted war and the"", 'start': 275.49, 'duration': 7.75}, {'text': ""Sith Empire forever the galaxy won't be"", 'start': 279.34, 'duration': 6.3}, {'text': 'safe until every sit and imperial is', 'start': 283.24, 'duration': 5.58}, {'text': 'dead the Sith of the true enemy remove', 'start': 285.64, 'duration': 5.31}, {'text': 'them completely an only imperial slave', 'start': 288.82, 'duration': 6.18}, {'text': ""from a they'll surrender there's one"", 'start': 290.95, 'duration': 6.48}, {'text': 'secret the Emperor never pried from me a', 'start': 295.0, 'duration': 5.46}, {'text': 'place called the foundry in the wrong', 'start': 297.43, 'duration': 5.39}, {'text': 'hands it can exterminate civilizations', 'start': 300.46, 'duration': 6.38}, {'text': 'my hands it will save the galaxy', 'start': 302.82, 'duration': 5.91}, {'text': 'you should return to the fight for as', 'start': 306.84, 'duration': 4.98}, {'text': 'long as it lasts try to stay out of', 'start': 308.73, 'duration': 9.18}, {'text': 'Imperial prisons this time all right nor', 'start': 311.82, 'duration': 8.25}, {'text': 'shuffle to python is fueled and ready my', 'start': 317.91, 'duration': 6.12}, {'text': ""friend it's time goodbye I won't forget"", 'start': 320.07, 'duration': 6.68}, {'text': 'what you did today', 'start': 324.03, 'duration': 2.72}, {'text': 'neither where are you not only sent to', 'start': 328.27, 'duration': 4.5}, {'text': 'you but you have expelled up in', 'start': 331.12, 'duration': 4.32}, {'text': 'condition your losses just make sure to', 'start': 332.77, 'duration': 5.81}, {'text': ""give credit where it's due cause know"", 'start': 335.44, 'duration': 5.49}, {'text': ""you'll never have to buy yourself a"", 'start': 338.58, 'duration': 5.47}, {'text': 'drink on any ship in this fleet thanks', 'start': 340.93, 'duration': 5.37}, {'text': ""to you we've taken a great step toward"", 'start': 344.05, 'duration': 5.1}, {'text': 'final victory over the Empire with a', 'start': 346.3, 'duration': 5.75}, {'text': 'force be with you', 'start': 349.15, 'duration': 2.9}]"
z5hu,U9FNyKLVXWI,"[261, 1292]",
Jchu,UFyU1jDMVIc,[381],
Xghu,wVSy-3ylxMs,"[3, 4, 10]",
A8hu,r3amLbKNrVo,"[46, 2032]",
vHhu,ez0j4UfUo38,[5],
jhhu,mcfBjhCkTaU,"[43, 101]",
nYhu,7_wC5H2TViA,"[18, 43, 59, 604]",
BLhu,7auXDSpvRzo,"[3, 6, 54]",
zYhu,flMMtZ09Ojw,"[0, 79]",
tYhu,fpgcp3aJeUM,"[0, 1, 223]",
Lkhu,xLXV7_DEqsw,"[2, 44, 46, 64, 113, 119, 155, 162]",
hbhu,Z1S796fXtl4,[1],"[{'text': 'this is a story of a man named Stanley', 'start': 10.519, 'duration': 6.191}, {'text': 'Stanley work for a company in a big', 'start': 14.24, 'duration': 4.57}, {'text': 'building where he was employee number', 'start': 16.71, 'duration': 5.819}, {'text': 'four to seven employ e number four two', 'start': 18.81, 'duration': 6.78}, {'text': 'sevens job was simple he sat at his desk', 'start': 22.529, 'duration': 5.55}, {'text': 'in room four to seven and he pushed', 'start': 25.59, 'duration': 5.34}, {'text': 'buttons on a keyboard orders came to him', 'start': 28.079, 'duration': 5.011}, {'text': 'through a monitor on his desk telling', 'start': 30.93, 'duration': 3.87}, {'text': 'him what buttons to push', 'start': 33.09, 'duration': 4.28}, {'text': 'how long to push them and in what order', 'start': 34.8, 'duration': 6.629}, {'text': 'this is what employee 47 did every day', 'start': 37.37, 'duration': 7.18}, {'text': 'of every month of every year and', 'start': 41.429, 'duration': 5.461}, {'text': 'although others might have considered it', 'start': 44.55, 'duration': 5.399}, {'text': 'so linking Stanley relished every moment', 'start': 46.89, 'duration': 5.399}, {'text': 'that the orders came in as though he', 'start': 49.949, 'duration': 6.531}, {'text': 'have been made exactly for this job', 'start': 52.289, 'duration': 4.191}, {'text': 'something he would never quite forget he', 'start': 66.74, 'duration': 5.38}, {'text': 'had been at his desk for nearly an hour', 'start': 70.409, 'duration': 5.731}, {'text': 'when he realized he four to seven did', 'start': 72.12, 'duration': 6.779}, {'text': 'tezcan a fortune Stanley work for dally', 'start': 76.14, 'duration': 4.439}, {'text': 'went around Stanley stabbed ended up', 'start': 78.899, 'duration': 3.481}, {'text': 'Stanley just settled Stanley walked', 'start': 80.579, 'duration': 4.021}, {'text': 'upstairs that meters in such a stand he', 'start': 82.38, 'duration': 4.409}, {'text': 'is quite an e for the first time in real', 'start': 84.6, 'duration': 4.53}, {'text': 'Stanley have never seen at least an edge', 'start': 86.789, 'duration': 4.361}, {'text': 'every custom it just', 'start': 89.13, 'duration': 3.58}, {'text': 'and is to standing waiting stance that', 'start': 91.15, 'duration': 3.03}, {'text': 'is', 'start': 92.71, 'duration': 5.74}, {'text': ""ha oh come now you don't want it to end"", 'start': 94.18, 'duration': 8.91}, {'text': ""already do you why don't we begin again"", 'start': 98.45, 'duration': 4.64}, {'text': 'wait you how did you do that', 'start': 111.1, 'duration': 4.74}]"
14hu,Z9SQPjiUyiI,[14],"[{'text': 'now cause you get you know you owe me', 'start': 30.5, 'duration': 12.559}, {'text': 'he gets us moving I a psycho gotcha', 'start': 37.42, 'duration': 5.639}, {'text': 'Bonita', 'start': 44.95, 'duration': 4.47}, {'text': 'miss Mitaka', 'start': 46.73, 'duration': 2.69}, {'text': 'my god', 'start': 50.54, 'duration': 2.57}, {'text': 'shit roll out', 'start': 54.77, 'duration': 3.26}, {'text': 'no Jackie okay girls go gaga novi pazar', 'start': 87.31, 'duration': 9.4}, {'text': 'pinky Naja gaga mommy finger pick this', 'start': 92.509, 'duration': 6.411}, {'text': 'up', 'start': 96.71, 'duration': 2.21}, {'text': 'sweet wicked pod', 'start': 105.79, 'duration': 3.9}, {'text': ""oh shit y'all"", 'start': 110.58, 'duration': 4.11}, {'text': 'bullshit gotcha', 'start': 126.25, 'duration': 2.93}, {'text': 'I', 'start': 138.27, 'duration': 2.03}, {'text': 'you', 'start': 174.87, 'duration': 2.06}]"
0Shu,Ae-Bpj4AAfU,"[11, 18, 20, 22, 29, 32, 59, 604, 624]",
aehu,Ah2L-o03L6g,"[0, 12]",
PEhu,Ak3e8wGykug,"[0, 1, 36, 142]","[{'text': 'hey why you do okay guys yes me ask the', 'start': 5.92, 'duration': 7.51}, {'text': 'real crucial to SW at today we got a', 'start': 10.58, 'duration': 5.16}, {'text': 'brand new glitch on the multiplayer map', 'start': 13.43, 'duration': 4.26}, {'text': 'with the new DLC that came out 2day way', 'start': 15.74, 'duration': 4.53}, {'text': ""so it's just a knife wrench on top of"", 'start': 17.69, 'duration': 4.59}, {'text': 'the big barrier and you can just explore', 'start': 20.27, 'duration': 3.96}, {'text': ""around it's a really fun bitch to do"", 'start': 22.28, 'duration': 5.25}, {'text': ""it's really easy we found this so I hope"", 'start': 24.23, 'duration': 6.48}, {'text': 'because do enjoy this please give it a', 'start': 27.53, 'duration': 4.77}, {'text': 'thumbs up and subscribe and tell your', 'start': 30.71, 'duration': 3.419}, {'text': 'friends to do the same we will post a', 'start': 32.3, 'duration': 3.509}, {'text': 'lot of more glitches like this every', 'start': 34.129, 'duration': 4.171}, {'text': 'single day my name is SJ I hope you guys', 'start': 35.809, 'duration': 4.68}, {'text': 'enjoy this video and I say take it easy', 'start': 38.3, 'duration': 13.23}, {'text': 'breath take home a lot of eyes on the', 'start': 40.489, 'duration': 13.23}, {'text': 'fame painter starfuckers one light', 'start': 51.53, 'duration': 4.439}, {'text': ""cheeks on us for this shine hey y'all"", 'start': 53.719, 'duration': 4.11}, {'text': 'die scum okay you see that you are going', 'start': 55.969, 'duration': 3.51}, {'text': 'with the boys do you do the boys demon', 'start': 57.829, 'duration': 5.341}, {'text': 'knows Marcus a hoe if I think applies', 'start': 59.479, 'duration': 5.281}, {'text': ""both of us a winter's for pool hey a"", 'start': 63.17, 'duration': 4.5}, {'text': 'rainy day navona telophase XP Giovanni', 'start': 64.76, 'duration': 5.7}, {'text': 'vjl Hamid win again goes neato cigna', 'start': 67.67, 'duration': 4.71}, {'text': ""cool adama's et fils a freak show mr."", 'start': 70.46, 'duration': 3.96}, {'text': 'digitize Miskito belies many greater', 'start': 72.38, 'duration': 4.74}, {'text': 'doom was equal 95 GDP did you continue', 'start': 74.42, 'duration': 3.99}, {'text': 'to hope for your poops on your booty', 'start': 77.12, 'duration': 3.36}, {'text': 'Maggie pussy you want just watch any', 'start': 78.41, 'duration': 4.7}, {'text': 'bones in front', 'start': 80.48, 'duration': 2.63}, {'text': 'blip blop blip on my Vespa scooter', 'start': 101.32, 'duration': 4.48}, {'text': 'pinning the clippings on the Sultan see', 'start': 103.79, 'duration': 3.63}, {'text': 'the pitch black cackles available to the', 'start': 105.8, 'duration': 3.06}, {'text': 'daddy bitch above agog over sevilla', 'start': 107.42, 'duration': 4.47}, {'text': ""matute a duck yeah I'm fish they won in"", 'start': 108.86, 'duration': 5.19}, {'text': 'summer Alan Fitch come and shallower', 'start': 111.89, 'duration': 5.43}, {'text': 'Jack come dry almost my back itchy first', 'start': 114.05, 'duration': 5.22}, {'text': 'take an eight hits take an egg niggas', 'start': 117.32, 'duration': 4.2}, {'text': 'got cut for your chick give it money and', 'start': 119.27, 'duration': 4.379}, {'text': 'money on to the second go put the', 'start': 121.52, 'duration': 4.65}, {'text': 'difference campaign for the pace really', 'start': 123.649, 'duration': 4.411}, {'text': 'just 34 your nigga selfie for your pitch', 'start': 126.17, 'duration': 4.17}, {'text': 'maybe did this morning business it', 'start': 128.06, 'duration': 3.89}, {'text': 'official to beat the SH aveda today', 'start': 130.34, 'duration': 4.74}, {'text': 'baybay yeah hey Bill chillin like I cosa', 'start': 131.95, 'duration': 5.68}, {'text': 'hai stuff on his evenings for my to my', 'start': 135.08, 'duration': 5.43}, {'text': 'boss wanna get paid I would you really', 'start': 137.63, 'duration': 6.3}, {'text': 'let you be really that you be feeling', 'start': 140.51, 'duration': 5.8}, {'text': 'evilly dungeon', 'start': 143.93, 'duration': 5.72}, {'text': ""booming be like I'll see your fee staff"", 'start': 146.31, 'duration': 5.68}, {'text': 'does this be black icing on the top star', 'start': 149.65, 'duration': 3.9}, {'text': 'made little star next on the top big', 'start': 151.99, 'duration': 3.45}, {'text': 'annoyed make up work on my penis with', 'start': 153.55, 'duration': 5.9}, {'text': 'the air deep on the link and informal', 'start': 155.44, 'duration': 4.01}]"
kkhu,UxXTKpx64us,"[5, 1377, 2737]",
1Chu,V0QqopMinR0,"[31, 47]",
2zhu,V1TjnN5oSxI,"[13, 970]",
z0hu,VDgiA-yPa9o,"[4, 13, 168, 752, 1001]",
YVhu,OAlaVuX-yVo,"[60, 210, 685]",
aYhu,OJXbP0sX4HI,[8],
fChu,WrrKfvPhCVA,"[0, 226]","[{'text': 'the BMP Perry bar open final saw a', 'start': 1.07, 'duration': 5.289}, {'text': ""rematch of January's Australian Open"", 'start': 4.2, 'duration': 4.38}, {'text': 'title match with Victoria Azarenka met', 'start': 6.359, 'duration': 4.291}, {'text': 'Maria Sharapova and just like in', 'start': 8.58, 'duration': 5.28}, {'text': 'Melbourne Azarenka made a fast start but', 'start': 10.65, 'duration': 4.859}, {'text': 'not voting well is this opening service', 'start': 13.86, 'duration': 3.66}, {'text': 'being broken if she tried to fight back', 'start': 15.509, 'duration': 6.301}, {'text': 'unable to do so this was the first time', 'start': 17.52, 'duration': 6.269}, {'text': ""the world's top two had met in a WTA"", 'start': 21.81, 'duration': 4.44}, {'text': 'singles final in more than four years as', 'start': 23.789, 'duration': 8.31}, {'text': 'a renter in complete control this would', 'start': 26.25, 'duration': 7.8}, {'text': ""be devastating for Sharapova's hopes in"", 'start': 32.099, 'duration': 4.261}, {'text': 'this opening set Sharapova seemed', 'start': 34.05, 'duration': 4.8}, {'text': 'flustered unable to dictate flight and', 'start': 36.36, 'duration': 4.26}, {'text': 'says a rank is consistency brought a', 'start': 38.85, 'duration': 10.139}, {'text': ""reward time in accounting there's the"", 'start': 40.62, 'duration': 10.8}, {'text': 'perfect recipe solid consistent play', 'start': 48.989, 'duration': 5.46}, {'text': 'from the world number one the Belarusian', 'start': 51.42, 'duration': 5.1}, {'text': 'appearing in a six straight WTA singles', 'start': 54.449, 'duration': 6.081}, {'text': ""final wasn't in the mood to letter"", 'start': 56.52, 'duration': 4.01}, {'text': 'Azarenka easily closed out the opening', 'start': 65.96, 'duration': 8.35}, {'text': 'sex big forehand return sales long and', 'start': 68.909, 'duration': 13.861}, {'text': 'Victoria Azarenka things looked even', 'start': 74.31, 'duration': 10.14}, {'text': 'more bleak for Sharapova as she was', 'start': 82.77, 'duration': 3.48}, {'text': 'broken yet again at the start of the', 'start': 84.45, 'duration': 4.25}, {'text': 'second', 'start': 86.25, 'duration': 2.45}, {'text': 'Bowser Anka pumped you can understand', 'start': 94.08, 'duration': 6.13}, {'text': 'why match looked as good as over when', 'start': 97.06, 'duration': 5.28}, {'text': 'Azarenka quickly extended her lead to', 'start': 100.21, 'duration': 13.23}, {'text': 'three love makes a garden bad to worse', 'start': 102.34, 'duration': 13.85}, {'text': 'for share :', 'start': 113.44, 'duration': 2.75}, {'text': 'indeed she had points for all love', 'start': 116.57, 'duration': 12.43}, {'text': 'before Sharapova only responded it was', 'start': 118.98, 'duration': 12.27}, {'text': 'some belated resistance from Russian but', 'start': 129.0, 'duration': 6.62}, {'text': 'definitely a case of too little too late', 'start': 131.25, 'duration': 4.37}, {'text': 'three consecutive race and Azarenka put', 'start': 136.67, 'duration': 6.07}, {'text': 'yourself fit for our position as a', 'start': 140.19, 'duration': 4.44}, {'text': 'rancor easily won the set and the match', 'start': 142.74, 'duration': 3.93}, {'text': 'to seal another crushing victory over', 'start': 144.63, 'duration': 4.079}, {'text': 'Sharapova and take the Indian Wells', 'start': 146.67, 'duration': 6.319}, {'text': 'crown for the first time in her career', 'start': 148.709, 'duration': 4.28}, {'text': ""she's perfect in 2012 then beat me and"", 'start': 167.72, 'duration': 7.2}, {'text': 'it paid off', 'start': 173.72, 'duration': 3.24}, {'text': 'look at that beautiful trophy everybody', 'start': 174.92, 'duration': 5.81}, {'text': 'your champion Victoria hustling yeah', 'start': 176.96, 'duration': 3.77}, {'text': 'you want an incredible couple weeks here', 'start': 183.26, 'duration': 5.52}, {'text': 'in Indian Wells thank you well first big', 'start': 185.239, 'duration': 5.551}, {'text': 'congratulations to victorious that a', 'start': 188.78, 'duration': 3.36}, {'text': 'wonderful start to the year and been', 'start': 190.79, 'duration': 3.509}, {'text': 'playing such a phenomenal tennis that', 'start': 192.14, 'duration': 4.98}, {'text': 'she showed today but yeah many thanks to', 'start': 194.299, 'duration': 5.16}, {'text': 'all of you this is one of the warmest', 'start': 197.12, 'duration': 3.42}, {'text': 'tournaments of the year unfortunately', 'start': 199.459, 'duration': 3.181}, {'text': 'today was in so warm today but you guys', 'start': 200.54, 'duration': 4.05}, {'text': ""don't make it so special every single"", 'start': 202.64, 'duration': 4.439}, {'text': 'year we love coming back to my great', 'start': 204.59, 'duration': 5.069}, {'text': ""team and everyone I'm so happy to be"", 'start': 207.079, 'duration': 4.38}, {'text': ""back in the finals here and there's"", 'start': 209.659, 'duration': 3.241}, {'text': 'always many more years to come and I', 'start': 211.459, 'duration': 3.331}, {'text': ""can't wait to be back congratulations"", 'start': 212.9, 'duration': 3.66}, {'text': 'Maria well said Maria Sharapova', 'start': 214.79, 'duration': 3.509}, {'text': 'everybody first of all your fourth', 'start': 216.56, 'duration': 3.569}, {'text': 'tournament this year your 12th career', 'start': 218.299, 'duration': 4.08}, {'text': 'singles title congratulations how', 'start': 220.129, 'duration': 4.051}, {'text': 'special does this moment feel for you', 'start': 222.379, 'duration': 4.681}, {'text': ""well it's so special I never had"", 'start': 224.18, 'duration': 5.429}, {'text': ""actually these dreams in my life that's"", 'start': 227.06, 'duration': 5.7}, {'text': ""happening now so I cannot believe it's a"", 'start': 229.609, 'duration': 7.05}, {'text': ""reality but I mean I'm so happy to to do"", 'start': 232.76, 'duration': 6.629}, {'text': ""what I do and I'm so happy that I'm able"", 'start': 236.659, 'duration': 4.711}, {'text': 'to play tennis and I just love to play', 'start': 239.389, 'duration': 4.621}, {'text': 'the game it definitely shows and I know', 'start': 241.37, 'duration': 4.44}, {'text': 'you have a very special corner over', 'start': 244.01, 'duration': 3.149}, {'text': ""there some people I'm sure you'd"", 'start': 245.81, 'duration': 5.0}, {'text': 'probably like to say something to', 'start': 247.159, 'duration': 3.651}, {'text': 'specially that all the organizers and', 'start': 251.41, 'duration': 4.84}, {'text': 'sponsor being people above making such a', 'start': 254.209, 'duration': 3.84}, {'text': 'great event you know we feel like home', 'start': 256.25, 'duration': 4.62}, {'text': ""here and it's very special also Charlie"", 'start': 258.049, 'duration': 5.131}, {'text': 'and Ray and Larry for making such a', 'start': 260.87, 'duration': 4.019}, {'text': 'great tournament I mean we love coming', 'start': 263.18, 'duration': 4.08}, {'text': 'back here as Maria said and I cannot', 'start': 264.889, 'duration': 4.261}, {'text': 'wait to be back next year even though', 'start': 267.26, 'duration': 3.75}, {'text': ""I'm still standing here and of course"", 'start': 269.15, 'duration': 3.93}, {'text': ""congratulate to Maria I mean she's like"", 'start': 271.01, 'duration': 4.29}, {'text': 'the really good this year and I wish you', 'start': 273.08, 'duration': 3.63}, {'text': 'good luck for the rest of the year and', 'start': 275.3, 'duration': 3.989}, {'text': 'to her team as well and of course my', 'start': 276.71, 'duration': 5.88}, {'text': 'team Sam JP Mike Malin thank you guys', 'start': 279.289, 'duration': 6.901}, {'text': 'for sticking with me all these times and', 'start': 282.59, 'duration': 6.21}, {'text': 'all most of my family you know back home', 'start': 286.19, 'duration': 4.8}, {'text': 'and all of you guys I mean I love', 'start': 288.8, 'duration': 4.53}, {'text': 'playing here on the Centre Court and', 'start': 290.99, 'duration': 3.84}, {'text': 'thank you so much for making it so', 'start': 293.33, 'duration': 3.74}, {'text': 'special', 'start': 294.83, 'duration': 2.24}]"
