Bjma,NFd1VBYIEM4,[7],
1Zma,jB7yX9d0ogs,"[21, 23, 282, 864, 1262]","[{'text': ""Hey hey guys it's me I want to show you"", 'start': 0.0, 'duration': 9.09}, {'text': 'this is our that my disease of Harry', 'start': 5.85, 'duration': 7.199}, {'text': 'Potter way to get seven and eight I mean', 'start': 9.09, 'duration': 8.76}, {'text': 'seven part one seven five thousand know', 'start': 13.049, 'duration': 9.691}, {'text': 'one slip dropper and have some boating', 'start': 17.85, 'duration': 10.2}, {'text': 'paddy effect you see it has even some', 'start': 22.74, 'duration': 8.76}, {'text': 'artwork inside of it a few shots first', 'start': 28.05, 'duration': 9.41}, {'text': 'there you have your Snape here', 'start': 31.5, 'duration': 14.129}, {'text': ""Dumbledore is her step alright let's put"", 'start': 37.46, 'duration': 14.38}, {'text': 'those back in place pull them up I love', 'start': 45.629, 'duration': 9.541}, {'text': ""them it's I love the movies great"", 'start': 51.84, 'duration': 4.16}, {'text': 'storyline', 'start': 55.17, 'duration': 10.019}, {'text': 'but next one is the secret in home', 'start': 56.0, 'duration': 11.77}, {'text': 'camera these are the Netherlands', 'start': 65.189, 'duration': 6.601}, {'text': 'releases Ananas yeah sorry for that', 'start': 67.77, 'duration': 7.139}, {'text': ""titles that I don't know now so ties in"", 'start': 71.79, 'duration': 7.8}, {'text': 'it in English these are even avoiding', 'start': 74.909, 'duration': 13.011}, {'text': 'the effect should they get you get your', 'start': 79.59, 'duration': 14.279}, {'text': 'duo scene where Drago and I got a', 'start': 87.92, 'duration': 9.25}, {'text': 'trouser snake Harry and Harry goes dog', 'start': 93.869, 'duration': 9.411}, {'text': ""this ooh it's just a tongue and some no"", 'start': 97.17, 'duration': 6.11}, {'text': 'and next up is the contrast Quran or I', 'start': 105.35, 'duration': 8.74}, {'text': 'know the Prisoner of Azkaban', 'start': 111.78, 'duration': 5.36}, {'text': ""I'm sure it's raising a two-disc Edition"", 'start': 114.09, 'duration': 7.19}, {'text': 'and live-action movie', 'start': 117.14, 'duration': 4.14}, {'text': ""I'll give you a fat lip i anything about"", 'start': 122.24, 'duration': 20.7}, {'text': 'this all right next up next up pace the', 'start': 129.11, 'duration': 15.72}, {'text': 'god of fire I know this name', 'start': 142.94, 'duration': 5.25}, {'text': ""I am I found this was single disc I'm on"", 'start': 144.83, 'duration': 5.25}, {'text': 'the hunt for T to this condition', 'start': 148.19, 'duration': 8.34}, {'text': ""I cannot find it yeah I'm really on my"", 'start': 150.08, 'duration': 9.12}, {'text': 'hunt for this one to this condition if I', 'start': 156.53, 'duration': 5.64}, {'text': 'survive to this look do this I was the', 'start': 159.2, 'duration': 6.18}, {'text': ""killer from this one that's only just"", 'start': 162.17, 'duration': 8.7}, {'text': 'two discs nothing else in it like this', 'start': 165.38, 'duration': 8.57}, {'text': 'one has to cover get on it', 'start': 170.87, 'duration': 8.58}, {'text': 'nice even to the tradition the Wonder is', 'start': 173.95, 'duration': 9.73}, {'text': ""they're really nice and guys finally I"", 'start': 179.45, 'duration': 7.56}, {'text': ""can get a new race because I'm really"", 'start': 183.68, 'duration': 9.42}, {'text': ""they're happy about what I bought the"", 'start': 187.01, 'duration': 10.289}, {'text': 'ps3 yes guys I bought a PlayStation 3', 'start': 193.1, 'duration': 15.84}, {'text': 'finally I got it was yes PlayStation 3', 'start': 197.299, 'duration': 14.331}, {'text': ""finally I'll jump what you race I don't"", 'start': 208.94, 'duration': 6.35}, {'text': 'know an above no maybe I think tomorrow', 'start': 211.63, 'duration': 6.85}, {'text': 'and I have movies and uploading dear', 'start': 215.29, 'duration': 7.03}, {'text': ""directly that's it guys it's my Harry"", 'start': 218.48, 'duration': 9.81}, {'text': 'Potter collection yeah I say on', 'start': 222.32, 'duration': 10.199}, {'text': 'controller when the god of the fire to', 'start': 228.29, 'duration': 7.83}, {'text': 'this condition so hard to find this one', 'start': 232.519, 'duration': 8.401}, {'text': 'to this yeah there are reaching to', 'start': 236.12, 'duration': 7.05}, {'text': ""that's in the Nancy your back reaching"", 'start': 240.92, 'duration': 6.649}, {'text': 'to and goodbye', 'start': 243.17, 'duration': 4.399}]"
ZSma,5-fz1MvICjs,"[3, 8, 282]",
ufma,pe13tZDav5w,[12],"[{'text': ""hello everyone i'm ryan from western fan"", 'start': 5.48, 'duration': 4.869}, {'text': 'TV for i just do a quick little daily', 'start': 7.68, 'duration': 4.589}, {'text': ""video really just to talk about today's"", 'start': 10.349, 'duration': 4.261}, {'text': 'events obviously the europa cup draw', 'start': 12.269, 'duration': 4.411}, {'text': ""let's start off with the europa league"", 'start': 14.61, 'duration': 3.839}, {'text': ""draw we've been drawn to a team from"", 'start': 16.68, 'duration': 5.16}, {'text': 'Andorra FC Lucien 10th barely know much', 'start': 18.449, 'duration': 5.371}, {'text': ""about I don't really expect any of us"", 'start': 21.84, 'duration': 4.08}, {'text': 'know much about them to be honest the', 'start': 23.82, 'duration': 4.11}, {'text': 'ground is obviously a very small ground', 'start': 25.92, 'duration': 4.679}, {'text': 'capacity of a thousand so damn thing', 'start': 27.93, 'duration': 3.96}, {'text': ""there's going to be many tickets there"", 'start': 30.599, 'duration': 3.511}, {'text': 'but by looking at the pictures of their', 'start': 31.89, 'duration': 3.509}, {'text': ""ground it looks like there's a lot of"", 'start': 34.11, 'duration': 2.85}, {'text': ""trees and hills around so I'm sure that"", 'start': 35.399, 'duration': 5.25}, {'text': 'every loads of West Ham camped out in on', 'start': 36.96, 'duration': 5.22}, {'text': ""the yield is looking over so and I'm"", 'start': 40.649, 'duration': 2.851}, {'text': ""sure we're going to feel the grip trying"", 'start': 42.18, 'duration': 3.449}, {'text': 'to fiddle grand as much as we can and', 'start': 43.5, 'duration': 3.78}, {'text': ""obviously we've got the home leg after"", 'start': 45.629, 'duration': 4.891}, {'text': ""and which obviously hopefully we'll get"", 'start': 47.28, 'duration': 6.39}, {'text': 'a few at the boleyn ground there be a', 'start': 50.52, 'duration': 5.01}, {'text': ""sellout but it'd be good to see be a"", 'start': 53.67, 'duration': 4.65}, {'text': 'football back and yeah obviously likes', 'start': 55.53, 'duration': 4.47}, {'text': ""it don't really know much about them and"", 'start': 58.32, 'duration': 4.44}, {'text': ""though they've formed around 1999 so"", 'start': 60.0, 'duration': 4.32}, {'text': 'about the last time we was in Europe', 'start': 62.76, 'duration': 3.74}, {'text': 'really so obviously looking at their', 'start': 64.32, 'duration': 4.56}, {'text': ""european record it shouldn't be a"", 'start': 66.5, 'duration': 5.02}, {'text': 'problem for western really i mean they', 'start': 68.88, 'duration': 7.02}, {'text': 'lost they lost 11 or 10 grow sick 161 on', 'start': 71.52, 'duration': 6.63}, {'text': 'over 90 or no degree and 73 on', 'start': 75.9, 'duration': 3.75}, {'text': ""aggregates really i'll be able to nil"", 'start': 78.15, 'duration': 3.69}, {'text': 'nil deal really harm a juggling now', 'start': 79.65, 'duration': 3.78}, {'text': 'obviously west then should we should be', 'start': 81.84, 'duration': 3.51}, {'text': 'filled in our youth team our kids and we', 'start': 83.43, 'duration': 3.66}, {'text': 'should be being this the sort teams', 'start': 85.35, 'duration': 3.15}, {'text': ""obviously it'd be good to see people"", 'start': 87.09, 'duration': 6.65}, {'text': 'like Jarvis and Kevin that Reese Oxford', 'start': 88.5, 'duration': 8.189}, {'text': 'Elliot leaf you youngsters my IGAs', 'start': 93.74, 'duration': 5.35}, {'text': 'arrived they saw players we planned in', 'start': 96.689, 'duration': 4.11}, {'text': ""these sort of rounds I can't I don't"", 'start': 99.09, 'duration': 3.209}, {'text': ""really think we're going to seeing too"", 'start': 100.799, 'duration': 4.161}, {'text': 'much of the first-team regulars around', 'start': 102.299, 'duration': 4.921}, {'text': 'planning these sort of game in the early', 'start': 104.96, 'duration': 4.869}, {'text': 'stages but really we should be strong', 'start': 107.22, 'duration': 4.8}, {'text': 'enough and good enough to be beating', 'start': 109.829, 'duration': 3.631}, {'text': ""teams like this because I'm telling you"", 'start': 112.02, 'duration': 4.05}, {'text': ""now if we don't beat teams like this we"", 'start': 113.46, 'duration': 4.199}, {'text': 'are going to be the laughingstock of the', 'start': 116.07, 'duration': 3.24}, {'text': 'premiership and we are going to get', 'start': 117.659, 'duration': 3.631}, {'text': 'pissed taken out of us by all the fans', 'start': 119.31, 'duration': 4.019}, {'text': 'from other clubs around the country', 'start': 121.29, 'duration': 4.079}, {'text': 'especially Tottenham Millwall Chelsea', 'start': 123.329, 'duration': 3.811}, {'text': 'all the all the regulars that want to', 'start': 125.369, 'duration': 4.53}, {'text': ""give us a bit of stick and see if i'm"", 'start': 127.14, 'duration': 5.47}, {'text': 'confident i think slab and bitch of', 'start': 129.899, 'duration': 4.691}, {'text': 'ladies first competitive game in charge', 'start': 132.61, 'duration': 4.44}, {'text': ""for West them so he ain't gonna want to"", 'start': 134.59, 'duration': 4.92}, {'text': 'lose I like I said we should be putting', 'start': 137.05, 'duration': 5.55}, {'text': 'our kids out against teams like this and', 'start': 139.51, 'duration': 5.58}, {'text': 'we should be winning obviously if we go', 'start': 142.6, 'duration': 5.79}, {'text': 'through doubt we face we can go to a', 'start': 145.09, 'duration': 7.77}, {'text': 'team in mortar or I forgot where our', 'start': 148.39, 'duration': 6.24}, {'text': 'meaning are things the other team not', 'start': 152.86, 'duration': 3.9}, {'text': 'really sure but like I said these early', 'start': 154.63, 'duration': 3.87}, {'text': ""stages we're going to expecting to go to"", 'start': 156.76, 'duration': 4.86}, {'text': 'places little teams like these and we', 'start': 158.5, 'duration': 5.19}, {'text': 'should be beating them so hopefully I', 'start': 161.62, 'duration': 5.25}, {'text': ""mean it'd be good to see a bit compared"", 'start': 163.69, 'duration': 6.24}, {'text': 'football be nice as I mean supposing', 'start': 166.87, 'duration': 5.28}, {'text': 'next Thursday is the first game the away', 'start': 169.93, 'duration': 5.43}, {'text': ""leg so I'm not sure about the capacity"", 'start': 172.15, 'duration': 5.76}, {'text': 'for tickets I think David gold said', 'start': 175.36, 'duration': 4.17}, {'text': ""something earlier there'd be a few"", 'start': 177.91, 'duration': 4.59}, {'text': ""hundred so it'd be like a look scramble"", 'start': 179.53, 'duration': 5.61}, {'text': 'for tickets so good luck if you get any', 'start': 182.5, 'duration': 5.69}, {'text': ""but I'm sure I think it's going to be a"", 'start': 185.14, 'duration': 5.76}, {'text': 'televised on BTW i think they got your', 'start': 188.19, 'duration': 5.32}, {'text': 'own league now so we could submit a', 'start': 190.9, 'duration': 5.67}, {'text': 'football back spin ages since feels like', 'start': 193.51, 'duration': 4.71}, {'text': ""ages since we've seen like watch west am"", 'start': 196.57, 'duration': 3.84}, {'text': ""but yeah I mean it's just good to be"", 'start': 198.22, 'duration': 3.989}, {'text': ""back involved in Europe's quite exciting"", 'start': 200.41, 'duration': 4.41}, {'text': ""really and obviously we'll have a few"", 'start': 202.209, 'duration': 4.291}, {'text': 'competitive games under our belt like we', 'start': 204.82, 'duration': 3.09}, {'text': 'said in the video last week obviously', 'start': 206.5, 'duration': 3.209}, {'text': 'going to Arsenal first game the season', 'start': 207.91, 'duration': 4.02}, {'text': 'there be so as a tough place to go for', 'start': 209.709, 'duration': 3.721}, {'text': ""us to the Emirates we haven't got a good"", 'start': 211.93, 'duration': 3.48}, {'text': 'record against a snore over the last few', 'start': 213.43, 'duration': 4.68}, {'text': 'years so hopefully few compared games', 'start': 215.41, 'duration': 5.82}, {'text': 'under the bill and yeah I mean we might', 'start': 218.11, 'duration': 6.29}, {'text': 'give Arsenal decent game', 'start': 221.23, 'duration': 3.17}, {'text': 'Oh', 'start': 227.85, 'duration': 2.03}, {'text': 'Oh', 'start': 231.24, 'duration': 2.0}]"
F8ma,7yp6-rUphB8,"[2, 7, 1978]",
H5ma,7EY0Ha2Tm3w,[13],
dFma,7MDObGoqj58,"[217, 643]","[{'text': 'hey everyone my name is wedge and', 'start': 5.45, 'duration': 4.39}, {'text': 'welcome back to the man asaurus', 'start': 8.49, 'duration': 3.51}, {'text': 'tournament rapport between theros', 'start': 9.84, 'duration': 3.87}, {'text': 'spoilers and the eminent standard', 'start': 12.0, 'duration': 3.87}, {'text': 'rotation our tournament review series', 'start': 13.71, 'duration': 4.649}, {'text': 'has been on break for a few weeks but', 'start': 15.87, 'duration': 4.35}, {'text': ""now we're back and better than ever with"", 'start': 18.359, 'duration': 3.901}, {'text': 'a whole new standard and new dexter', 'start': 20.22, 'duration': 5.01}, {'text': ""report on so let's get right to it this"", 'start': 22.26, 'duration': 5.55}, {'text': 'weekend we had a Star City games open in', 'start': 25.23, 'duration': 4.86}, {'text': 'Worcester Massachusetts this is the', 'start': 27.81, 'duration': 4.32}, {'text': 'first major standard event to feature', 'start': 30.09, 'duration': 4.98}, {'text': 'theros census released last Friday these', 'start': 32.13, 'duration': 4.769}, {'text': 'are the topping from that event and I', 'start': 35.07, 'duration': 4.23}, {'text': 'gotta say this is going to be a fun', 'start': 36.899, 'duration': 5.401}, {'text': 'standard environment first place went to', 'start': 39.3, 'duration': 5.34}, {'text': 'a mono red aggro deck run by Phillip', 'start': 42.3, 'duration': 4.68}, {'text': 'bertarelli interestingly for the arc', 'start': 44.64, 'duration': 4.59}, {'text': ""type Bert O'Reilly build was very light"", 'start': 46.98, 'duration': 4.86}, {'text': 'on one drops instead his curve is', 'start': 49.23, 'duration': 4.739}, {'text': 'weighted towards the two slot and packs', 'start': 51.84, 'duration': 3.809}, {'text': 'a couple hard-hitting three drops as', 'start': 53.969, 'duration': 4.651}, {'text': 'well on that second turn he can drop an', 'start': 55.649, 'duration': 5.791}, {'text': 'Ashes elit fire fist striker burning', 'start': 58.62, 'duration': 5.13}, {'text': 'tree emissary or is one of gore house', 'start': 61.44, 'duration': 4.859}, {'text': 'chain walker sometimes you can turn that', 'start': 63.75, 'duration': 4.74}, {'text': 'emissary man into a lightning strike or', 'start': 66.299, 'duration': 5.25}, {'text': 'a magma jet four-fifths of the 10 card', 'start': 68.49, 'duration': 5.79}, {'text': 'burn package he rounds out the last slot', 'start': 71.549, 'duration': 5.281}, {'text': 'there with two shocks nothing new at', 'start': 74.28, 'duration': 4.53}, {'text': 'three mana he sticks with boros reckoner', 'start': 76.83, 'duration': 4.679}, {'text': ""and Chandra's phoenix here however his"", 'start': 78.81, 'duration': 4.919}, {'text': 'curve tops out at four with a set of', 'start': 81.509, 'duration': 5.191}, {'text': 'fanatic of mogas the fanatic was an MVP', 'start': 83.729, 'duration': 5.701}, {'text': 'in the deck it consistently domed the', 'start': 86.7, 'duration': 5.7}, {'text': 'opponent for 3 or 4 damage in 8th place', 'start': 89.43, 'duration': 5.79}, {'text': 'we saw a more traditional mono red build', 'start': 92.4, 'duration': 5.219}, {'text': 'this deck includes a set of fire drinker', 'start': 95.22, 'duration': 4.56}, {'text': 'seder among its twelve one drops', 'start': 97.619, 'duration': 4.771}, {'text': 'alongside the cackler and foundry street', 'start': 99.78, 'duration': 5.67}, {'text': ""denizen Chandra's phoenix was it's only"", 'start': 102.39, 'duration': 5.369}, {'text': 'three drop the two drops were fairly', 'start': 105.45, 'duration': 4.86}, {'text': 'typical the emissary the chain walker', 'start': 107.759, 'duration': 5.25}, {'text': 'fire fist striker and two goblins short', 'start': 110.31, 'duration': 5.22}, {'text': 'cutter the burn package was eight cards', 'start': 113.009, 'duration': 4.591}, {'text': 'split evenly between lightning strike in', 'start': 115.53, 'duration': 4.439}, {'text': 'shock fairly simple but evidently', 'start': 117.6, 'duration': 5.519}, {'text': 'effective we saw four control decks in', 'start': 119.969, 'duration': 5.311}, {'text': 'the top eight in second place was blue', 'start': 123.119, 'duration': 4.11}, {'text': 'eye control under the command of Max', 'start': 125.28, 'duration': 5.009}, {'text': 'teets fourth fifth and six went to esper', 'start': 127.229, 'duration': 5.821}, {'text': 'control deck variations the blue white', 'start': 130.289, 'duration': 3.541}, {'text': 'deck had to', 'start': 133.05, 'duration': 2.82}, {'text': ""wind conditions one of them we've seen"", 'start': 133.83, 'duration': 4.92}, {'text': ""before a thrilling we know why it's here"", 'start': 135.87, 'duration': 5.64}, {'text': ""it's big it's evasive and it's very hard"", 'start': 138.75, 'duration': 6.06}, {'text': ""to kill the other is new Elspeth sun's"", 'start': 141.51, 'duration': 6.06}, {'text': 'champion it was widely speculated that', 'start': 144.81, 'duration': 4.86}, {'text': 'the new Elspeth might become a win con', 'start': 147.57, 'duration': 4.31}, {'text': ""in control decks and they weren't wrong"", 'start': 149.67, 'duration': 5.04}, {'text': 'Elspeth was actually the only new theros', 'start': 151.88, 'duration': 4.87}, {'text': 'cart in the main deck the rest looked', 'start': 154.71, 'duration': 3.48}, {'text': ""more or less like what we've come to"", 'start': 156.75, 'duration': 4.26}, {'text': 'expect from blue white the sideboard did', 'start': 158.19, 'duration': 6.33}, {'text': 'interestingly include two yoked ox it is', 'start': 161.01, 'duration': 5.55}, {'text': 'after all a one drop that effectively', 'start': 164.52, 'duration': 4.26}, {'text': 'neutralizes one of an aggro decks', 'start': 166.56, 'duration': 5.67}, {'text': 'creatures until the sweep happens the 3s', 'start': 168.78, 'duration': 5.88}, {'text': 'perlis looked very similar on the spell', 'start': 172.23, 'duration': 5.04}, {'text': ""side of things hero's downfall in doom"", 'start': 174.66, 'duration': 4.71}, {'text': 'blade joined detention sphere in azorius', 'start': 177.27, 'duration': 5.04}, {'text': 'charming spot removal far and away also', 'start': 179.37, 'duration': 5.1}, {'text': 'showed up in all three lists and various', 'start': 182.31, 'duration': 4.41}, {'text': 'amounts the rest of the spells looked', 'start': 184.47, 'duration': 4.77}, {'text': 'very blue white sinks his revelations', 'start': 186.72, 'duration': 5.04}, {'text': 'supreme verdict Jace architect of', 'start': 189.24, 'duration': 5.13}, {'text': 'thought and so on each deck however ran', 'start': 191.76, 'duration': 5.13}, {'text': 'a different wind condition in one list', 'start': 194.37, 'duration': 4.8}, {'text': 'we had to a feelings in the main deck', 'start': 196.89, 'duration': 4.71}, {'text': ""and that's it though blood baron of"", 'start': 199.17, 'duration': 4.83}, {'text': 'escoba and ashy aab did show up in the', 'start': 201.6, 'duration': 5.01}, {'text': 'sideboard another list rent only one', 'start': 204.0, 'duration': 5.25}, {'text': 'ætheling but also had two each of the', 'start': 206.61, 'duration': 5.04}, {'text': 'blood baron and obstet at ghost council', 'start': 209.25, 'duration': 5.34}, {'text': 'and the third ran three a shock and to', 'start': 211.65, 'duration': 4.77}, {'text': 'Elspeth in the main deck to finish the', 'start': 214.59, 'duration': 4.5}, {'text': 'game with mill or creatures the other', 'start': 216.42, 'duration': 4.56}, {'text': 'two decks in the top a were both', 'start': 219.09, 'duration': 4.35}, {'text': 'mid-range variations involving green and', 'start': 220.98, 'duration': 4.74}, {'text': 'red one of them took third place with', 'start': 223.44, 'duration': 4.65}, {'text': 'just screen in red the other was nyan', 'start': 225.72, 'duration': 5.07}, {'text': 'came in seventh and surprisingly there', 'start': 228.09, 'duration': 4.97}, {'text': ""wasn't a single Xena ghost between them"", 'start': 230.79, 'duration': 5.58}, {'text': 'the green red variation went quite heavy', 'start': 233.06, 'duration': 5.53}, {'text': 'with its creature base adding a lot of', 'start': 236.37, 'duration': 4.26}, {'text': 'creatures with expensive but powerful', 'start': 238.59, 'duration': 4.5}, {'text': 'monstrous abilities ember swallower', 'start': 240.63, 'duration': 5.07}, {'text': 'storm breath dragon and palooka notes', 'start': 243.09, 'duration': 4.59}, {'text': 'world leader join the list along with', 'start': 245.7, 'duration': 4.23}, {'text': 'sylvan carey added to ramp up to them', 'start': 247.68, 'duration': 4.32}, {'text': 'the rest of the list is split between', 'start': 249.93, 'duration': 4.44}, {'text': 'additional ramp with elvish mystics and', 'start': 252.0, 'duration': 4.739}, {'text': 'utility with cork line ran pager and', 'start': 254.37, 'duration': 5.16}, {'text': 'scavenging news lightning strike joins a', 'start': 256.739, 'duration': 4.591}, {'text': 'burn package that once consisted solely', 'start': 259.53, 'duration': 5.58}, {'text': 'of mizzium mortars and lastly dami raid', 'start': 261.33, 'duration': 4.71}, {'text': 'is joined by', 'start': 265.11, 'duration': 3.03}, {'text': 'andhra pyro master making for a rare', 'start': 266.04, 'duration': 4.11}, {'text': 'sight of green red deck with a solid', 'start': 268.14, 'duration': 5.19}, {'text': 'card advantage engine the nya variation', 'start': 270.15, 'duration': 5.55}, {'text': 'looks very similar though it swaps', 'start': 273.33, 'duration': 4.98}, {'text': 'locsin on spider and boros reckoner into', 'start': 275.7, 'duration': 4.59}, {'text': 'the creature base with the amount of', 'start': 278.31, 'duration': 3.9}, {'text': 'control on the field and the proven', 'start': 280.29, 'duration': 4.11}, {'text': 'power of the reckoner those decisions', 'start': 282.21, 'duration': 4.77}, {'text': 'are pretty easy to understand the deck', 'start': 284.4, 'duration': 5.37}, {'text': 'runs almost no dedicated burn just a', 'start': 286.98, 'duration': 4.89}, {'text': 'pair of mizzium mortars though it still', 'start': 289.77, 'duration': 4.08}, {'text': 'has new charms also keep bigger threats', 'start': 291.87, 'duration': 4.38}, {'text': 'in check like the green red deck this', 'start': 293.85, 'duration': 4.35}, {'text': 'deck adds shandra pyrrha master to the', 'start': 296.25, 'duration': 3.6}, {'text': 'list of planeswalkers for the sake of', 'start': 298.2, 'duration': 4.71}, {'text': 'card advantage also interestingly the', 'start': 299.85, 'duration': 5.46}, {'text': 'deck ran four of each on color theros', 'start': 302.91, 'duration': 5.46}, {'text': 'temple abandonin triumph even the esper', 'start': 305.31, 'duration': 4.95}, {'text': 'control decks only ran three of each of', 'start': 308.37, 'duration': 4.56}, {'text': 'their temples deceit in silence and poor', 'start': 310.26, 'duration': 4.2}, {'text': 'temple of mystery was left out in the', 'start': 312.93, 'duration': 4.5}, {'text': 'cold with no bad rug or bug ducts to', 'start': 314.46, 'duration': 6.18}, {'text': 'give it a home that wraps up the top', 'start': 317.43, 'duration': 5.16}, {'text': 'eight of the Star City open in Worcester', 'start': 320.64, 'duration': 3.87}, {'text': 'how does the new standard compared to', 'start': 322.59, 'duration': 4.23}, {'text': 'your expectations any big cards from the', 'start': 324.51, 'duration': 4.53}, {'text': 'weekend that you knew had potential any', 'start': 326.82, 'duration': 4.65}, {'text': 'cards you were surprised not to see well', 'start': 329.04, 'duration': 4.08}, {'text': 'this was only the first week of', 'start': 331.47, 'duration': 3.75}, {'text': ""Theresienstadt so let's see who's"", 'start': 333.12, 'duration': 5.01}, {'text': 'singing a different tune next week there', 'start': 335.22, 'duration': 4.95}, {'text': 'is no standard Grand Prix next weekend', 'start': 338.13, 'duration': 4.02}, {'text': 'but the Star City games open is going to', 'start': 340.17, 'duration': 4.41}, {'text': ""Cleveland Ohio we'll be back this time"", 'start': 342.15, 'duration': 4.43}, {'text': 'next week with coverage of that event as', 'start': 344.58, 'duration': 4.38}, {'text': 'always subscribe below for the most', 'start': 346.58, 'duration': 4.39}, {'text': 'up-to-date and reliable magic the', 'start': 348.96, 'duration': 3.51}, {'text': 'gathering information you could ever', 'start': 350.97, 'duration': 4.32}, {'text': ""need this is the mana source I'm wedge"", 'start': 352.47, 'duration': 4.14}, {'text': ""thanks for watching and we'll see you"", 'start': 355.29, 'duration': 3.8}, {'text': 'next time', 'start': 356.61, 'duration': 2.48}, {'text': 'you', 'start': 362.02, 'duration': 2.06}]"
Rmma,kFXnBqyrlm0,[14],
QGma,Vv0WmqtAKO4,[3],
XZma,43ivNQe1MQw,"[0, 1, 134]",
nyma,BLB6UYHYhgI,[4],
4Lma,BMm92-xRsT4,[14],
Gzma,iXrZw2sEUxI,"[8, 1400]",
