IUk4,VrbFeSg6DZ4,"[3, 6, 10, 28]",
g6lU,2s5POxqBrAk,"[13, 3718]",
jVlU,XOu_B3Etoyw,[210],"[{'text': ""good evening I'm Stephen Ellison"", 'start': 0.03, 'duration': 3.389}, {'text': 'championship season has arrived in tract', 'start': 1.53, 'duration': 3.84}, {'text': 'town the Prefontaine Classic and NC', 'start': 3.419, 'duration': 3.241}, {'text': 'double-a championships all happening in', 'start': 5.37, 'duration': 3.24}, {'text': 'the next couple of weeks starting today', 'start': 6.66, 'duration': 3.84}, {'text': ""and throughout the lead-up to the NCAA's"", 'start': 8.61, 'duration': 4.439}, {'text': 'will feature several Oregon a Suites and', 'start': 10.5, 'duration': 4.469}, {'text': 'we begin with one of the most beloved', 'start': 13.049, 'duration': 4.32}, {'text': 'ducks ever Kezi 9 News sports director', 'start': 14.969, 'duration': 4.291}, {'text': 'Jiang Zemin sits down with Jordan house', 'start': 17.369, 'duration': 3.691}, {'text': ""a who's getting ready to complete her"", 'start': 19.26, 'duration': 3.96}, {'text': 'Oregon career nine years after making', 'start': 21.06, 'duration': 7.68}, {'text': 'her Hayward Field debut you have been', 'start': 23.22, 'duration': 8.069}, {'text': 'known to these Hayward fans since you', 'start': 28.74, 'duration': 3.9}, {'text': 'were in seventh grade and then obviously', 'start': 31.289, 'duration': 4.68}, {'text': 'at the trials it became kind of a', 'start': 32.64, 'duration': 6.03}, {'text': 'phenomenon before you got here did you', 'start': 35.969, 'duration': 4.921}, {'text': 'feel pressure coming in because of that', 'start': 38.67, 'duration': 5.25}, {'text': 'because of what these fans knew about', 'start': 40.89, 'duration': 5.099}, {'text': 'you and expected for you I definitely', 'start': 43.92, 'duration': 4.47}, {'text': 'felt a little pressure I wanted to', 'start': 45.989, 'duration': 5.82}, {'text': 'contribute to the program and coming in', 'start': 48.39, 'duration': 5.489}, {'text': 'as a freshman though I tried to set no', 'start': 51.809, 'duration': 4.68}, {'text': 'expectations and it certainly helps that', 'start': 53.879, 'duration': 4.741}, {'text': ""there's a lot of big names here like"", 'start': 56.489, 'duration': 5.041}, {'text': 'Andrew and Ashton and Brienne and I mean', 'start': 58.62, 'duration': 4.56}, {'text': ""they're pretty much everyone and"", 'start': 61.53, 'duration': 4.23}, {'text': 'everyone everyday is trying to achieve', 'start': 63.18, 'duration': 5.34}, {'text': ""success so you're surrounded by a bunch"", 'start': 65.76, 'duration': 4.44}, {'text': 'of great athletes so the pressure is', 'start': 68.52, 'duration': 4.26}, {'text': 'never on one person I think that really', 'start': 70.2, 'duration': 4.47}, {'text': 'helps what do you remember about your', 'start': 72.78, 'duration': 3.75}, {'text': 'first experience here running here in', 'start': 74.67, 'duration': 4.17}, {'text': 'seventh grade I just remember driving', 'start': 76.53, 'duration': 4.949}, {'text': 'down agate with my parents and we pull', 'start': 78.84, 'duration': 4.29}, {'text': ""up to the track and they said I can't"", 'start': 81.479, 'duration': 4.411}, {'text': 'run in front of all those people there I', 'start': 83.13, 'duration': 4.77}, {'text': 'just thought that the stands were so', 'start': 85.89, 'duration': 4.95}, {'text': 'huge and I was really nervous but just', 'start': 87.9, 'duration': 5.039}, {'text': 'went out there and set national records', 'start': 90.84, 'duration': 5.849}, {'text': ""so it's just it's just a special feeling"", 'start': 92.939, 'duration': 5.881}, {'text': ""one that you can't describe to be out"", 'start': 96.689, 'duration': 4.5}, {'text': 'there with all the fans the outdoor', 'start': 98.82, 'duration': 5.009}, {'text': 'title has eluded both you and the team', 'start': 101.189, 'duration': 6.39}, {'text': ""and now it's it's your final meet your"", 'start': 103.829, 'duration': 6.301}, {'text': ""final chance and it's here does it feel"", 'start': 107.579, 'duration': 5.521}, {'text': ""like it's time to for that"", 'start': 110.13, 'duration': 5.01}, {'text': 'loose about third title to come to', 'start': 113.1, 'duration': 4.35}, {'text': 'either you individually or the women of', 'start': 115.14, 'duration': 4.47}, {'text': 'Oregon as a team it definitely feels', 'start': 117.45, 'duration': 4.169}, {'text': ""like it's time for the outdoor title you"", 'start': 119.61, 'duration': 4.23}, {'text': 'always went indoor title my past four', 'start': 121.619, 'duration': 4.201}, {'text': ""years we've been undefeated at that and"", 'start': 123.84, 'duration': 4.35}, {'text': ""the outdoor title you know we've just"", 'start': 125.82, 'duration': 4.95}, {'text': 'been so close I kind of feel like coming', 'start': 128.19, 'duration': 5.31}, {'text': ""back here for my last year and it's at"", 'start': 130.77, 'duration': 4.65}, {'text': ""home it's almost like a storybook ending"", 'start': 133.5, 'duration': 3.69}, {'text': 'and someone just needs to write the', 'start': 135.42, 'duration': 3.96}, {'text': ""final page but obviously sports isn't"", 'start': 137.19, 'duration': 4.379}, {'text': ""like that that's why you go out and run"", 'start': 139.38, 'duration': 5.25}, {'text': ""but we have a good shot we're putting"", 'start': 141.569, 'duration': 5.011}, {'text': ""we're going all-in we're putting"", 'start': 144.63, 'duration': 4.2}, {'text': 'everyone in everything and I think that', 'start': 146.58, 'duration': 4.62}, {'text': ""the crowds gonna help a lot and we're"", 'start': 148.83, 'duration': 5.129}, {'text': 'just gonna go out and do our best and it', 'start': 151.2, 'duration': 5.069}, {'text': ""doesn't happen it doesn't happen how"", 'start': 153.959, 'duration': 3.841}, {'text': 'much does it mean to you to be able to', 'start': 156.269, 'duration': 3.391}, {'text': 'run in your final collegiate race to', 'start': 157.8, 'duration': 4.08}, {'text': 'find a collegiate meet here at Haley you', 'start': 159.66, 'duration': 4.29}, {'text': 'know everyone wants me to win as much as', 'start': 161.88, 'duration': 4.079}, {'text': ""I want to win and it's like if I lose we"", 'start': 163.95, 'duration': 4.95}, {'text': ""all go down together so it's it's just"", 'start': 165.959, 'duration': 5.161}, {'text': ""it's gonna be very much not a race that"", 'start': 168.9, 'duration': 6.75}, {'text': ""I run alone it'll be 25 laps of everyone"", 'start': 171.12, 'duration': 7.93}, {'text': 'here running it with me', 'start': 175.65, 'duration': 5.38}, {'text': ""have you looked back on your career it's"", 'start': 179.05, 'duration': 3.6}, {'text': 'been four years here now in Eugene and', 'start': 181.03, 'duration': 4.86}, {'text': ""it's all coming to an end in a few weeks"", 'start': 182.65, 'duration': 5.19}, {'text': 'have you looked back have you reflected', 'start': 185.89, 'duration': 4.62}, {'text': ""at all on what it's meant to run here"", 'start': 187.84, 'duration': 4.32}, {'text': ""and to be a Dux it's just really"", 'start': 190.51, 'duration': 3.93}, {'text': 'straight like aunt believed that when I', 'start': 192.16, 'duration': 5.37}, {'text': 'was 16 they I got to come to Oregon and', 'start': 194.44, 'duration': 6.03}, {'text': 'then I came to Oregon and now it went by', 'start': 197.53, 'duration': 5.61}, {'text': ""so quickly and it's almost time for it"", 'start': 200.47, 'duration': 4.92}, {'text': ""to be over but it's certainly been more"", 'start': 203.14, 'duration': 5.4}, {'text': 'than I expected more fun than I ever', 'start': 205.39, 'duration': 4.53}, {'text': ""could have dreamed of so I'm very"", 'start': 208.54, 'duration': 3.93}, {'text': 'thankful to everyone that supported me', 'start': 209.92, 'duration': 6.24}, {'text': 'here and definitely have I feel like', 'start': 212.47, 'duration': 7.04}, {'text': ""I'll be part of the community forever"", 'start': 216.16, 'duration': 3.35}]"
2elU,,"[0, 1, 157, 407]",
sXlU,1HoKGg_KvMo,"[35, 85]",
MHlU,lcoXTGcyHVU,[274],"[{'text': ""hey guys let's run again from like"", 'start': 10.82, 'duration': 4.149}, {'text': 'kicker scuba ramp you know a quick gear', 'start': 12.929, 'duration': 3.091}, {'text': ""review we're going to look at the"", 'start': 14.969, 'duration': 3.841}, {'text': ""Mario's matrix dive computer and the"", 'start': 16.02, 'duration': 3.99}, {'text': ""first thing you're gonna notice about it"", 'start': 18.81, 'duration': 2.67}, {'text': ""it's about the size of a standard"", 'start': 20.01, 'duration': 3.39}, {'text': 'wristwatch depending on what type you', 'start': 21.48, 'duration': 3.959}, {'text': 'wear so it does make this guy very', 'start': 23.4, 'duration': 4.59}, {'text': 'practical to wear even outside of diving', 'start': 25.439, 'duration': 4.021}, {'text': 'if you want it to wear it all the time', 'start': 27.99, 'duration': 4.199}, {'text': 'you can basically has two modes it has a', 'start': 29.46, 'duration': 5.49}, {'text': 'watch mode and a computer mode the watch', 'start': 32.189, 'duration': 4.921}, {'text': 'mode you can setup in analog or digital', 'start': 34.95, 'duration': 5.4}, {'text': 'form as far as the computer goes it is a', 'start': 37.11, 'duration': 5.57}, {'text': 'full of dot matrix and high resolution', 'start': 40.35, 'duration': 5.369}, {'text': 'it does have pill compensated digital', 'start': 42.68, 'duration': 4.66}, {'text': 'compass basically you go to kompis mood', 'start': 45.719, 'duration': 3.811}, {'text': ""and depending on which way it's tilted"", 'start': 47.34, 'duration': 3.42}, {'text': ""it's still going to work it's not"", 'start': 49.53, 'duration': 3.299}, {'text': 'something that you have to hold level on', 'start': 50.76, 'duration': 6.75}, {'text': 'it it can run multi gasses so basically', 'start': 52.829, 'duration': 5.851}, {'text': ""it's going to do just about anything"", 'start': 57.51, 'duration': 3.54}, {'text': 'that your other computers will do and', 'start': 58.68, 'duration': 5.309}, {'text': 'then some it one thing that it does not', 'start': 61.05, 'duration': 6.09}, {'text': 'do is it is not air integrated so you', 'start': 63.989, 'duration': 5.371}, {'text': ""can't hook it to a transmitter and tell"", 'start': 67.14, 'duration': 3.87}, {'text': 'how much air but it comes in two', 'start': 69.36, 'duration': 4.2}, {'text': 'different styles this is the male style', 'start': 71.01, 'duration': 4.2}, {'text': 'which is black it does come in a white', 'start': 73.56, 'duration': 4.29}, {'text': 'version for females it comes with a', 'start': 75.21, 'duration': 4.799}, {'text': 'standard rubber strap sim where does', 'start': 77.85, 'duration': 4.71}, {'text': 'this guy here but this has the Marez', 'start': 80.009, 'duration': 5.551}, {'text': ""tech strap on it's based off the old"", 'start': 82.56, 'duration': 4.8}, {'text': 'NATO style straps for the waterborne', 'start': 85.56, 'duration': 4.739}, {'text': ""strap it's got extra length on it so if"", 'start': 87.36, 'duration': 4.32}, {'text': ""you're wearing real thick gloves or you"", 'start': 90.299, 'duration': 3.871}, {'text': ""have a dry suit on it's very easy to get"", 'start': 91.68, 'duration': 5.07}, {'text': 'to the buttons are fairly large so even', 'start': 94.17, 'duration': 4.11}, {'text': 'with thicker gloves and colder water you', 'start': 96.75, 'duration': 3.24}, {'text': 'can still get to them and press them and', 'start': 98.28, 'duration': 5.339}, {'text': 'the screens are very large a little bit', 'start': 99.99, 'duration': 5.4}, {'text': ""larger than the standard watch so it's a"", 'start': 103.619, 'duration': 3.78}, {'text': 'lot easier to read it does have a', 'start': 105.39, 'duration': 3.78}, {'text': ""backlight on it so guys that's the"", 'start': 107.399, 'duration': 4.201}, {'text': ""Mario's matrix dive computer and watch"", 'start': 109.17, 'duration': 4.53}, {'text': 'make sure you follow us on Twitter and', 'start': 111.6, 'duration': 4.53}, {'text': 'like us on Facebook pin us on Pinterest', 'start': 113.7, 'duration': 4.349}, {'text': 'subscribe to us here on YouTube and as', 'start': 116.13, 'duration': 5.72}, {'text': 'always guys we appreciate your business', 'start': 118.049, 'duration': 3.801}]"
JKlU,Pus4GGCG-Ag,[944],
N1lU,CFZYKAyF7fs,"[0, 1, 27]",
4flU,CNXFnhRhmwI,"[4, 9, 10, 14, 34]",
eXlU,1mb73dOj8-Q,"[0, 1, 27]",
5flU,1swLTxMycME,"[62, 347, 411, 1277]","[{'text': ""Anson's 50 million pound soft mud brick"", 'start': 2.27, 'duration': 5.259}, {'text': 'factory at Meacham in Leicestershire is', 'start': 5.43, 'duration': 4.47}, {'text': 'the most modern and efficient in Europe', 'start': 7.529, 'duration': 4.921}, {'text': 'and has sustainability and quality at', 'start': 9.9, 'duration': 5.55}, {'text': 'its core the factory has the capacity to', 'start': 12.45, 'duration': 5.88}, {'text': 'produce 100 million bricks a year with', 'start': 15.45, 'duration': 4.71}, {'text': 'potential to double its output with', 'start': 18.33, 'duration': 4.68}, {'text': 'minimum investment built on brownfield', 'start': 20.16, 'duration': 5.459}, {'text': 'land previously a landfill site for', 'start': 23.01, 'duration': 4.769}, {'text': 'factory waste the plant features a', 'start': 25.619, 'duration': 4.771}, {'text': 'low-energy zero waste production process', 'start': 27.779, 'duration': 5.19}, {'text': 'which is fully automated and employs', 'start': 30.39, 'duration': 5.849}, {'text': 'just 30 people on two shifts the factory', 'start': 32.969, 'duration': 4.921}, {'text': 'has been built at the building research', 'start': 36.239, 'duration': 3.991}, {'text': 'establishments very good environmental', 'start': 37.89, 'duration': 4.53}, {'text': 'standard with a focus on natural', 'start': 40.23, 'duration': 4.5}, {'text': 'lighting and ventilation employee health', 'start': 42.42, 'duration': 4.68}, {'text': 'and welfare energy-saving and Water', 'start': 44.73, 'duration': 5.43}, {'text': 'Conservation wastewater is collected and', 'start': 47.1, 'duration': 5.61}, {'text': 'processed for reuse and a kiln heat', 'start': 50.16, 'duration': 5.489}, {'text': 'recycling system maximizes heat recovery', 'start': 52.71, 'duration': 5.58}, {'text': 'and reduces gas consumption the plant', 'start': 55.649, 'duration': 5.041}, {'text': 'uses 50 percent less energy than', 'start': 58.29, 'duration': 5.249}, {'text': 'conventional soft mud-brick plants the', 'start': 60.69, 'duration': 4.709}, {'text': 'raw material comes from an adjoining', 'start': 63.539, 'duration': 4.501}, {'text': 'quarry which contains long-term reserves', 'start': 65.399, 'duration': 5.791}, {'text': 'of high-quality clay recycled materials', 'start': 68.04, 'duration': 5.64}, {'text': 'can also be added the brick making', 'start': 71.19, 'duration': 5.01}, {'text': 'machine combines three technologies to', 'start': 73.68, 'duration': 4.59}, {'text': 'give the option of pressed thrown or', 'start': 76.2, 'duration': 5.01}, {'text': 'water struck bricks the 200 meter long', 'start': 78.27, 'duration': 6.09}, {'text': 'tunneled kiln uses natural gas and is', 'start': 81.21, 'duration': 5.159}, {'text': 'designed for maximum heat efficiency', 'start': 84.36, 'duration': 4.92}, {'text': 'waste heat from the kiln is used to dry', 'start': 86.369, 'duration': 5.941}, {'text': 'the bricks before firing setting D', 'start': 89.28, 'duration': 5.1}, {'text': 'hacking and packing of the bricks are', 'start': 92.31, 'duration': 4.86}, {'text': 'all carried out by robots and the entire', 'start': 94.38, 'duration': 5.07}, {'text': 'process from quarry to lorry is', 'start': 97.17, 'duration': 4.29}, {'text': 'monitored by sophisticated control', 'start': 99.45, 'duration': 4.77}, {'text': 'systems to optimize efficiency the', 'start': 101.46, 'duration': 4.68}, {'text': 'comprehensive range of bricks produced', 'start': 104.22, 'duration': 4.469}, {'text': 'at Meacham is available nationally and', 'start': 106.14, 'duration': 5.25}, {'text': 'offers specifiers stockists and builders', 'start': 108.689, 'duration': 5.701}, {'text': 'guaranteed color consistency dimension', 'start': 111.39, 'duration': 6.269}, {'text': 'tolerance and quality the factory sets a', 'start': 114.39, 'duration': 5.07}, {'text': 'new standard for sustainable brick', 'start': 117.659, 'duration': 4.771}, {'text': 'making and will ensure Hanson remains at', 'start': 119.46, 'duration': 4.979}, {'text': 'the forefront of the industry for many', 'start': 122.43, 'duration': 3.149}, {'text': 'years to come', 'start': 124.439, 'duration': 4.231}, {'text': 'one day all bricks will be made like', 'start': 125.579, 'duration': 5.391}, {'text': 'this', 'start': 128.67, 'duration': 2.3}]"
QolU,algE5p8iCJo,"[434, 672]",
Y1lU,wkTAwi_cD9g,[6],
