Q7fR,1lXtW-413x8,"[5, 14]",
Sqhm,GUcwrlV65-4,[2916],"[{'text': ""hi it's Irene here again with more tips"", 'start': 0.53, 'duration': 8.89}, {'text': ""for spring flowers today we're dealing"", 'start': 5.509, 'duration': 7.42}, {'text': 'with tulips now have you ever gone to', 'start': 9.42, 'duration': 5.91}, {'text': 'bathe and got up the next morning and', 'start': 12.929, 'duration': 5.631}, {'text': 'your tulips were all wonky', 'start': 15.33, 'duration': 8.43}, {'text': 'nobody wants wonky tulips and the reason', 'start': 18.56, 'duration': 8.77}, {'text': 'for this is that true lips can grow up', 'start': 23.76, 'duration': 6.779}, {'text': ""to 2 inches even after they've been"", 'start': 27.33, 'duration': 5.88}, {'text': ""capped and that you've put them in of"", 'start': 30.539, 'duration': 5.161}, {'text': 'ours so there are a couple of ways that', 'start': 33.21, 'duration': 6.81}, {'text': 'you can do to eliminate this first of', 'start': 35.7, 'duration': 9.03}, {'text': 'all tulips love sugar so if you recut', 'start': 40.02, 'duration': 8.01}, {'text': 'the end of the stems and dip the mean', 'start': 44.73, 'duration': 5.79}, {'text': 'the end of the stem in sugar', 'start': 48.03, 'duration': 6.29}, {'text': 'they love sugar the other thing is that', 'start': 50.52, 'duration': 7.65}, {'text': 'to eliminate them growing of the coming', 'start': 54.32, 'duration': 7.27}, {'text': 'wall thing what we very often do is take', 'start': 58.17, 'duration': 7.519}, {'text': 'a pin and under the head of the tulip', 'start': 61.59, 'duration': 9.93}, {'text': 'just insert the pin through the stem and', 'start': 65.689, 'duration': 9.311}, {'text': 'then pulley air to Ben it diffuses the', 'start': 71.52, 'duration': 6.66}, {'text': 'light the male another thing that would', 'start': 75.0, 'duration': 7.31}, {'text': 'benefit the tulip is if you took some', 'start': 78.18, 'duration': 10.31}, {'text': ""don't newspaper and wrapped your tulips"", 'start': 82.31, 'duration': 17.86}, {'text': 'up in damp newspaper fold the newspaper', 'start': 88.49, 'duration': 15.809}, {'text': 'over and over again', 'start': 100.17, 'duration': 8.55}, {'text': 'and then fold the newspaper over the top', 'start': 104.299, 'duration': 9.521}, {'text': 'and then put them into the vows of water', 'start': 108.72, 'duration': 8.31}, {'text': 'and leave them like that for a few hours', 'start': 113.82, 'duration': 7.589}, {'text': 'and then hopefully you can put them back', 'start': 117.03, 'duration': 10.909}, {'text': 'in of ours and no more wonky tulips', 'start': 121.409, 'duration': 6.53}]"
hchm,Gb6cf4tw5lI,"[15, 555, 1076, 1225, 3372]","[{'text': ""you'll never see these animals unless"", 'start': 7.2, 'duration': 5.48}, {'text': 'you go out in the wild', 'start': 9.57, 'duration': 3.11}, {'text': 'Charles we teach pinching to do how to', 'start': 56.73, 'duration': 24.46}, {'text': 'pull eggs we decided to train them on', 'start': 78.85, 'duration': 3.75}, {'text': ""the meanest snake there is you know it's"", 'start': 81.19, 'duration': 3.66}, {'text': 'kind of like the army around here if we', 'start': 82.6, 'duration': 4.14}, {'text': 'start you off soft well you might end up', 'start': 84.85, 'duration': 3.51}, {'text': ""stop we'll start you out hard that way"", 'start': 86.74, 'duration': 7.56}, {'text': ""it's only uphill pull down away we got"", 'start': 88.36, 'duration': 8.67}, {'text': 'our extra lid here for on just in case', 'start': 94.3, 'duration': 5.849}, {'text': 'you get this new cycle this is kind of a', 'start': 97.03, 'duration': 5.22}, {'text': 'begin this way you watch some of our old', 'start': 100.149, 'duration': 4.171}, {'text': ""videos if I got a really mean snake I'll"", 'start': 102.25, 'duration': 3.45}, {'text': 'stick the lid over the top of the tent', 'start': 104.32, 'duration': 3.27}, {'text': 'that way when it tries to strike out me', 'start': 105.7, 'duration': 3.919}, {'text': ""it first of all I can't see my eyes"", 'start': 107.59, 'duration': 4.889}, {'text': 'second of all if it goes to strike at me', 'start': 109.619, 'duration': 4.75}, {'text': ""it's going to have to go through this"", 'start': 112.479, 'duration': 8.371}, {'text': ""and stand on my skin okay let's go you"", 'start': 114.369, 'duration': 8.401}, {'text': 'did get lucky the snakes not in the', 'start': 120.85, 'duration': 4.339}, {'text': 'gauntlet', 'start': 122.77, 'duration': 2.419}, {'text': 'so Lucas come on this way give the big', 'start': 126.52, 'duration': 7.36}, {'text': ""snake to it hey I don't know I can't"", 'start': 130.52, 'duration': 4.95}, {'text': 'guarantee no employees are gonna be', 'start': 133.88, 'duration': 3.03}, {'text': ""harmed than making this film but I'm"", 'start': 135.47, 'duration': 3.06}, {'text': 'gonna make sure the snake is not hard in', 'start': 136.91, 'duration': 5.88}, {'text': 'the human sacrifice you ready for this', 'start': 138.53, 'duration': 6.179}, {'text': ""Vince I'm ready this is the second day"", 'start': 142.79, 'duration': 3.21}, {'text': 'as we take me out of the shop and', 'start': 144.709, 'duration': 4.401}, {'text': ""they're pretty close to do it she's big"", 'start': 146.0, 'duration': 6.39}, {'text': ""definitely over 200 pounds she's a huge"", 'start': 149.11, 'duration': 6.489}, {'text': ""granite bank be new okay I'm getting all"", 'start': 152.39, 'duration': 8.97}, {'text': 'the equipment Oh snake hook snake hook', 'start': 155.599, 'duration': 8.431}, {'text': ""the fur girls all right oh hell that's"", 'start': 161.36, 'duration': 4.86}, {'text': 'what some people would criticize me for', 'start': 164.03, 'duration': 3.989}, {'text': ""and you know what they aren't for girls"", 'start': 166.22, 'duration': 4.04}, {'text': 'if you own a snake it needs a snake oh', 'start': 168.019, 'duration': 7.921}, {'text': ""look at this big girl she's big it's"", 'start': 170.26, 'duration': 7.18}, {'text': 'weird it looks like she has a few eggs', 'start': 175.94, 'duration': 3.09}, {'text': 'left in her but I have a hunch that she', 'start': 177.44, 'duration': 3.57}, {'text': ""doesn't have any eggs left in it it's"", 'start': 179.03, 'duration': 3.48}, {'text': ""just the way she's cupping the eggs with"", 'start': 181.01, 'duration': 3.6}, {'text': ""her empty body so we're gonna figure it"", 'start': 182.51, 'duration': 5.16}, {'text': 'out so this is my idea of a retic snake', 'start': 184.61, 'duration': 5.07}, {'text': ""hook only because I don't know if any of"", 'start': 187.67, 'duration': 4.23}, {'text': 'you watch many videos sometimes we do it', 'start': 189.68, 'duration': 4.83}, {'text': ""different there's a reason if you were"", 'start': 191.9, 'duration': 3.83}, {'text': 'to have somebody hit you in the mouth', 'start': 194.51, 'duration': 4.259}, {'text': 'which is really a snake hitting it in', 'start': 195.73, 'duration': 5.11}, {'text': 'the mouth would you rather hit your', 'start': 198.769, 'duration': 3.69}, {'text': 'teeth on this or would you rather hit', 'start': 200.84, 'duration': 7.29}, {'text': ""your teeth on this it's not that we"", 'start': 202.459, 'duration': 7.381}, {'text': ""don't really like snake hooks because"", 'start': 208.13, 'duration': 4.71}, {'text': ""venomous snakes these work great for I'm"", 'start': 209.84, 'duration': 4.679}, {'text': ""not really big on read' kicks although I"", 'start': 212.84, 'duration': 4.44}, {'text': 'do use them to break the hunt for those', 'start': 214.519, 'duration': 3.931}, {'text': ""of you that don't know it breaking the"", 'start': 217.28, 'duration': 3.12}, {'text': 'high names on a big Python when you', 'start': 218.45, 'duration': 3.33}, {'text': 'count the snows and shove them back a', 'start': 220.4, 'duration': 4.74}, {'text': 'little bit so this is snake hook to kind', 'start': 221.78, 'duration': 4.65}, {'text': 'of push it around a little bit because I', 'start': 225.14, 'duration': 4.62}, {'text': 'want me to use it to block block any', 'start': 226.43, 'duration': 5.25}, {'text': ""gloves hopefully hoping that it won't be"", 'start': 229.76, 'duration': 4.83}, {'text': ""of course this is Vince's movie so Vince"", 'start': 231.68, 'duration': 4.529}, {'text': 'is gonna be working on it we already', 'start': 234.59, 'duration': 3.959}, {'text': 'unlock the pigs down here because this', 'start': 236.209, 'duration': 5.221}, {'text': 'snake does not have a nest box so even', 'start': 238.549, 'duration': 4.351}, {'text': ""if we could get her operate she's gonna"", 'start': 241.43, 'duration': 3.149}, {'text': 'want to fight us and destroy us and kill', 'start': 242.9, 'duration': 3.809}, {'text': ""us to protect her eggs so she's gonna be"", 'start': 244.579, 'duration': 3.481}, {'text': ""already at bear because she's one of the"", 'start': 246.709, 'duration': 3.601}, {'text': 'meanest snakes we own if not the meanest', 'start': 248.06, 'duration': 4.17}, {'text': ""snake we own so we're gonna try to put"", 'start': 250.31, 'duration': 3.179}, {'text': 'her down there without too big of an', 'start': 252.23, 'duration': 2.1}, {'text': 'incident', 'start': 253.489, 'duration': 3.991}, {'text': ""and we'll see how that goes so here we"", 'start': 254.33, 'duration': 4.62}, {'text': 'go play play play', 'start': 257.48, 'duration': 4.38}, {'text': ""okay I'm gonna watch bitch you gotta"", 'start': 258.95, 'duration': 4.5}, {'text': 'instincts me either go down there thanks', 'start': 261.86, 'duration': 3.09}, {'text': 'fuck you want to stand over there and', 'start': 263.45, 'duration': 3.21}, {'text': ""watch me that's the safest thing to do"", 'start': 264.95, 'duration': 3.75}, {'text': 'but yeah I know you want to do it so', 'start': 266.66, 'duration': 4.29}, {'text': 'first thing that stinks has probably', 'start': 268.7, 'duration': 3.9}, {'text': 'snapped his head around her hat around', 'start': 270.95, 'duration': 5.64}, {'text': 'simply get in there okay so now what', 'start': 272.6, 'duration': 5.16}, {'text': ""they don't like is there's nowhere to"", 'start': 276.59, 'duration': 3.75}, {'text': 'run so you got to go ahead and we got to', 'start': 277.76, 'duration': 8.46}, {'text': 'work its way out down hey you go down', 'start': 280.34, 'duration': 7.86}, {'text': ""they're not working we have to do this"", 'start': 286.22, 'duration': 4.32}, {'text': 'from different animal so what I would do', 'start': 288.2, 'duration': 5.46}, {'text': 'that take the hook and try my best not', 'start': 290.54, 'duration': 6.15}, {'text': 'to make a snake angry first we try first', 'start': 293.66, 'duration': 8.04}, {'text': 'we tried the nice way okay so now right', 'start': 296.69, 'duration': 9.56}, {'text': ""here so see how she's striking slightly"", 'start': 301.7, 'duration': 6.51}, {'text': 'seen the other part we have to worry', 'start': 306.25, 'duration': 2.77}, {'text': 'about at the eggs', 'start': 308.21, 'duration': 3.36}, {'text': ""she's pile up around the eggs she could"", 'start': 309.02, 'duration': 4.5}, {'text': ""jerk around and ten eggs so we're gonna"", 'start': 311.57, 'duration': 3.6}, {'text': ""try our best as big as she is it's"", 'start': 313.52, 'duration': 4.32}, {'text': 'really likely to happen the problem is', 'start': 315.17, 'duration': 4.56}, {'text': 'this snake to actually heartbeat hard to', 'start': 317.84, 'duration': 5.1}, {'text': ""get out so see how she's throwing"", 'start': 319.73, 'duration': 5.49}, {'text': 'herself yeah this is gonna make a burger', 'start': 322.94, 'duration': 4.979}, {'text': ""boil we got to try to get we're gonna"", 'start': 325.22, 'duration': 4.8}, {'text': 'have to try to get this is literally the', 'start': 327.919, 'duration': 3.721}, {'text': ""hardest way a snake could because she's"", 'start': 330.02, 'duration': 4.08}, {'text': ""so big she's hard to control she's not"", 'start': 331.64, 'duration': 4.05}, {'text': ""being real mean but she's being real"", 'start': 334.1, 'duration': 3.99}, {'text': 'protective and so I got to get this coil', 'start': 335.69, 'duration': 4.86}, {'text': 'back here from around there in order to', 'start': 338.09, 'duration': 5.73}, {'text': ""get this snake out that's when she's"", 'start': 340.55, 'duration': 5.67}, {'text': ""gonna probably go remember she's got a"", 'start': 343.82, 'duration': 6.03}, {'text': 'good six foot give me some support', 'start': 346.22, 'duration': 6.98}, {'text': 'basically impossible check that out oh', 'start': 349.85, 'duration': 10.11}, {'text': 'that is a big old chunk of eggs okay', 'start': 353.2, 'duration': 10.09}, {'text': ""just set that down let's let's make a"", 'start': 359.96, 'duration': 6.72}, {'text': 'why the sunshine will clean our cave all', 'start': 363.29, 'duration': 6.18}, {'text': ""the eggs are out yep so we're gonna have"", 'start': 366.68, 'duration': 5.25}, {'text': 'to count them up see how we did', 'start': 369.47, 'duration': 5.67}, {'text': ""let's got off easy let's think actually"", 'start': 371.93, 'duration': 5.01}, {'text': ""couldn't went south on us but it didn't"", 'start': 375.14, 'duration': 4.32}, {'text': ""that was a good news so let's see we got"", 'start': 376.94, 'duration': 25.11}, {'text': 'here all these sausages airing yeah so', 'start': 379.46, 'duration': 26.13}, {'text': 'you learn here now we got to be a little', 'start': 402.05, 'duration': 11.88}, {'text': 'careful cos 54 56 58 60 161 fertile eggs', 'start': 405.59, 'duration': 10.47}, {'text': ""that's pretty close"", 'start': 413.93, 'duration': 4.26}, {'text': ""not bad considering there's three in"", 'start': 416.06, 'duration': 4.62}, {'text': ""there that are no good it's not 64"", 'start': 418.19, 'duration': 4.77}, {'text': ""that's nothing all that nice big"", 'start': 420.68, 'duration': 5.22}, {'text': ""voluptuous eggs for those you don't know"", 'start': 422.96, 'duration': 5.64}, {'text': 'what voluptuous mean nice and round the', 'start': 425.9, 'duration': 5.88}, {'text': 'way I like them nice and fluffy ready to', 'start': 428.6, 'duration': 7.26}, {'text': ""be ready to be and practice so that's a"", 'start': 431.78, 'duration': 5.64}, {'text': ""nice-size clutch we're gonna get these"", 'start': 435.86, 'duration': 3.75}, {'text': 'guys in the incubator our incubator is', 'start': 437.42, 'duration': 5.01}, {'text': 'already set at eighty nine point five', 'start': 439.61, 'duration': 5.91}, {'text': 'and shoot we hope to have some really', 'start': 442.43, 'duration': 6.69}, {'text': 'nice snakes to sell this is exciting', 'start': 445.52, 'duration': 5.7}, {'text': ""because we loved you know we're doing we"", 'start': 449.12, 'duration': 5.13}, {'text': 'actually bred a anthrax to this one so', 'start': 451.22, 'duration': 4.62}, {'text': 'we should have a good number of anthrax', 'start': 454.25, 'duration': 4.32}, {'text': ""as we're hoping and stay tuned because"", 'start': 455.84, 'duration': 3.72}, {'text': ""you'll probably be able to say the"", 'start': 458.57, 'duration': 3.59}, {'text': 'hatching video', 'start': 459.56, 'duration': 2.6}, {'text': 'you', 'start': 462.63, 'duration': 2.06}, {'text': 'you', 'start': 470.94, 'duration': 2.06}]"
i7hm,cXT9gGpIciY,[3],
sHhm,cfeiDOhY1HA,"[6, 8]",
XWhm,p-cptQ7rksI,"[11, 20, 321, 334]",
EDhm,tkai5tirjfM,"[53, 58]",
sBhm,PJ8FX8xNMyQ,"[9, 31]",
behm,POnvm14h78I,"[0, 12, 381]",
oRhm,PUB4-PG-50Y,"[39, 2239]","[{'text': ""hey find our day 1 i'm back i just did a"", 'start': 0.469, 'duration': 7.421}, {'text': 'video about my hair and how I', 'start': 5.1, 'duration': 5.789}, {'text': 'accomplished this crazy look um this', 'start': 7.89, 'duration': 5.78}, {'text': 'video is actually going to be about my', 'start': 10.889, 'duration': 7.741}, {'text': ""foundation or lack thereof I've never"", 'start': 13.67, 'duration': 7.779}, {'text': 'been one for the heavy flight with a', 'start': 18.63, 'duration': 4.889}, {'text': 'brush sort of foundation I just felt', 'start': 21.449, 'duration': 3.541}, {'text': 'like an effin look right on me this was', 'start': 23.519, 'duration': 4.291}, {'text': ""always too heavy so I've seen a couple"", 'start': 24.99, 'duration': 5.039}, {'text': 'videos about making a tinted moisturizer', 'start': 27.81, 'duration': 6.03}, {'text': ""so I hey let me try it so um I'm just"", 'start': 30.029, 'duration': 5.37}, {'text': 'going to show you what I do this is in', 'start': 33.84, 'duration': 5.309}, {'text': ""no way a tutorial so please don't take"", 'start': 35.399, 'duration': 6.121}, {'text': 'it that this is just me showing you how', 'start': 39.149, 'duration': 5.91}, {'text': 'I happen to prepare my mic and all right', 'start': 41.52, 'duration': 6.78}, {'text': 'so here we go um the first thing I did', 'start': 45.059, 'duration': 7.651}, {'text': 'was I washed and three moisturize my', 'start': 48.3, 'duration': 10.2}, {'text': 'face and I use the quake sensitive skin', 'start': 52.71, 'duration': 9.919}, {'text': 'cleanser on my face just like the', 'start': 58.5, 'duration': 6.9}, {'text': ""cetaphil brand but it's the Walmart"", 'start': 62.629, 'duration': 6.431}, {'text': 'brand and then I also use the sensitive', 'start': 65.4, 'duration': 9.39}, {'text': 'skin lotion all right so then I think my', 'start': 69.06, 'duration': 9.33}, {'text': ""super stay liquid makeup and it's in the"", 'start': 74.79, 'duration': 6.81}, {'text': ""color Coco it's why I Maybelline I've"", 'start': 78.39, 'duration': 4.38}, {'text': 'seen a lot of people use an ogress', 'start': 81.6, 'duration': 3.9}, {'text': ""jumped on the bandwagon to try it it's a"", 'start': 82.77, 'duration': 5.25}, {'text': ""natural it's a pretty good color match"", 'start': 85.5, 'duration': 4.65}, {'text': 'but I kind of liked it better when I', 'start': 88.02, 'duration': 4.76}, {'text': 'could use it as a tinted moisturizer so', 'start': 90.15, 'duration': 5.88}, {'text': ""i'll show you how i do that first of all"", 'start': 92.78, 'duration': 5.44}, {'text': ""i don't have to pin my hair up some kind"", 'start': 96.03, 'duration': 6.51}, {'text': 'of way lock down the facebook in right', 'start': 98.22, 'duration': 6.6}, {'text': 'there what kind of crazy but', 'start': 102.54, 'duration': 5.76}, {'text': 'it works for me all right then I want to', 'start': 104.82, 'duration': 8.34}, {'text': 'take like a half a pump from the lotion', 'start': 108.3, 'duration': 9.66}, {'text': 'if you can see that and shake up with', 'start': 113.16, 'duration': 9.8}, {'text': ""the foundation and I'm gonna pour just"", 'start': 117.96, 'duration': 7.68}, {'text': 'hate I hate stuff without pops because', 'start': 122.96, 'duration': 4.72}, {'text': 'it comes out and i think glob usually', 'start': 125.64, 'duration': 5.399}, {'text': 'not how I wanted alright so as you can', 'start': 127.68, 'duration': 7.02}, {'text': ""see I've got that much of the foundation"", 'start': 131.039, 'duration': 7.441}, {'text': 'in this much of the ocean alright so go', 'start': 134.7, 'duration': 7.17}, {'text': 'look kind of grow for a while but I take', 'start': 138.48, 'duration': 6.36}, {'text': 'this together mix mix mix mix mix mix', 'start': 141.87, 'duration': 6.75}, {'text': 'mix mix some more then I found a wife', 'start': 144.84, 'duration': 6.78}, {'text': 'throw on and make sure I cover all areas', 'start': 148.62, 'duration': 7.92}, {'text': 'on my face including my eyes and ensure', 'start': 151.62, 'duration': 11.97}, {'text': 'that a wife down here and around and', 'start': 156.54, 'duration': 10.35}, {'text': 'come see me video we train the hallways', 'start': 163.59, 'duration': 5.58}, {'text': 'make sure I get it up to my hair locks I', 'start': 166.89, 'duration': 5.22}, {'text': 'hate when people have a ring around here', 'start': 169.17, 'duration': 4.47}, {'text': 'rather than to kind of blend it into', 'start': 172.11, 'duration': 5.06}, {'text': ""their hairline Earth's me move it down"", 'start': 173.64, 'duration': 10.849}, {'text': ""and I find that it you know doesn't give"", 'start': 177.17, 'duration': 10.03}, {'text': ""like even medium covers it's just really"", 'start': 184.489, 'duration': 4.481}, {'text': 'light and I like it because it kind of', 'start': 187.2, 'duration': 4.289}, {'text': ""evens out that's intel i am actually"", 'start': 188.97, 'duration': 4.92}, {'text': 'suffer from seborrheic dermatitis and', 'start': 191.489, 'duration': 6.931}, {'text': 'that causes me to have my skin my skin', 'start': 193.89, 'duration': 7.86}, {'text': ""actually peeled and when it's gone and"", 'start': 198.42, 'duration': 5.52}, {'text': ""healing it leaves light spots so i don't"", 'start': 201.75, 'duration': 3.54}, {'text': 'know if you can tell if I for you but I', 'start': 203.94, 'duration': 3.75}, {'text': 'have a lot of light spot smells really', 'start': 205.29, 'duration': 6.18}, {'text': ""bad um I guess I'll break or whatever I"", 'start': 207.69, 'duration': 4.49}, {'text': 'had', 'start': 211.47, 'duration': 3.799}, {'text': ""oh I'll bring some gross foot iana me so"", 'start': 212.18, 'duration': 6.27}, {'text': ""after i'm done that then i like to"", 'start': 215.269, 'duration': 9.2}, {'text': 'follow it oh no I like to follow it with', 'start': 218.45, 'duration': 9.959}, {'text': 'Mary Kay sheer pressed mineral powder', 'start': 224.469, 'duration': 10.571}, {'text': 'and this brush is like an elf brush elf', 'start': 228.409, 'duration': 9.45}, {'text': 'total face brush and I really need to', 'start': 235.04, 'duration': 6.39}, {'text': ""put this in my hand but I haven't um"", 'start': 237.859, 'duration': 6.0}, {'text': 'just swirling around chopped off the', 'start': 241.43, 'duration': 4.529}, {'text': ""excess and I really don't use this all"", 'start': 243.859, 'duration': 3.81}, {'text': 'over my face I use it in places where I', 'start': 245.959, 'duration': 4.021}, {'text': 'get oily which is in the forehead my', 'start': 247.669, 'duration': 4.38}, {'text': ""nose I guess what's that t-zone what"", 'start': 249.98, 'duration': 6.36}, {'text': 'ever so lightly dust my forehead and I', 'start': 252.049, 'duration': 8.55}, {'text': 'think that go away then you see me', 'start': 256.34, 'duration': 5.669}, {'text': ""looking up i'm looking into the mirror"", 'start': 260.599, 'duration': 8.1}, {'text': 'behind my camera and my note i am in', 'start': 262.009, 'duration': 9.84}, {'text': ""cheek area and that's really it because"", 'start': 268.699, 'duration': 7.161}, {'text': ""i don't really get oily in place others"", 'start': 271.849, 'duration': 12.031}, {'text': 'and usually this powder keeps me kind of', 'start': 275.86, 'duration': 11.67}, {'text': 'met throughout the day and this is', 'start': 283.88, 'duration': 9.24}, {'text': 'basically what i do every day and like i', 'start': 287.53, 'duration': 7.78}, {'text': ""said i don't like really cool you know"", 'start': 293.12, 'duration': 5.43}, {'text': 'kind of kinky comfy so i like it because', 'start': 295.31, 'duration': 5.94}, {'text': 'it you know kind of evens out my skin', 'start': 298.55, 'duration': 5.76}, {'text': 'tone and get food where I need to be so', 'start': 301.25, 'duration': 4.83}, {'text': ""um I don't know if that's a help to"", 'start': 304.31, 'duration': 5.609}, {'text': 'anybody and I hope it is I just want to', 'start': 306.08, 'duration': 6.75}, {'text': 'share that with you so if you liked it', 'start': 309.919, 'duration': 7.081}, {'text': ""how about it even if you didn't like it"", 'start': 312.83, 'duration': 7.17}, {'text': ""you can still Radio 5 I don't know it's"", 'start': 317.0, 'duration': 9.3}, {'text': 'okay anywho please make sure that you', 'start': 320.0, 'duration': 8.49}, {'text': 'also subscribe if you are subscribe i', 'start': 326.3, 'duration': 5.1}, {'text': 'have lots of cool things to say and do', 'start': 328.49, 'duration': 5.399}, {'text': 'and make sure you leave a comment tell', 'start': 331.4, 'duration': 4.199}, {'text': ""me if you like it tell me you don't out"", 'start': 333.889, 'duration': 3.601}, {'text': 'really you know i want to keep smiling', 'start': 335.599, 'duration': 4.951}, {'text': ""anyway anywho um that's really it so I'm"", 'start': 337.49, 'duration': 5.489}, {'text': ""gonna go now and guess what you're going"", 'start': 340.55, 'duration': 5.27}, {'text': 'to see more of me', 'start': 342.979, 'duration': 2.841}]"
vPhm,PVWAtsmCGew,"[0, 1, 150, 1256]",
r7hm,5xayMZy8w9k,"[3, 4]",
GYhm,5zADS1oes4U,"[0, 12, 237]",
Flhm,67VMGdyJTZ0,"[3, 6, 13]",
