jqat,P945yGdwsa8,[13],
jPe2,,"[0, 1, 16, 136, 1023]",
U5e2,TBmqzq7c7b4,"[3, 154]",
nOe2,ymgi0H3ixO8,"[0, 1, 695]",
hde2,uHVq2I09SC4,"[5, 16]",
nee2,iHA6b11Tphw,"[11, 20, 22, 29, 32, 123, 173, 176, 1843, 2648]",
Wbe2,iIF0zXh4Rk8,[14],
j7e2,iOwcSInU1II,"[4, 31, 47]",
gIe2,946NT6qtH8c,"[0, 52]",
ere2,,"[5, 16]",
TXe2,Grcs456p968,[14],
Eme2,GzNxiEQt6-g,"[732, 1067]","[{'text': 'welcome to dip your designs but all your', 'start': 0.319, 'duration': 5.411}, {'text': ""beading is made easy today I'm going to"", 'start': 3.389, 'duration': 5.221}, {'text': 'charge two tubular beading with Tila', 'start': 5.73, 'duration': 7.65}, {'text': 'beads for this project will require Tila', 'start': 8.61, 'duration': 8.85}, {'text': 'beads some size 11 seed beads and size', 'start': 13.38, 'duration': 6.62}, {'text': '15 seed beads a needle and a thread', 'start': 17.46, 'duration': 6.12}, {'text': 'plus/minus parameter and 25 centimeters', 'start': 20.0, 'duration': 6.369}, {'text': 'just to practice with start by picking', 'start': 23.58, 'duration': 6.769}, {'text': 'up a size 11 seed bead and a Tila bead', 'start': 26.369, 'duration': 6.721}, {'text': ""even see bead on the tinder bead you'll"", 'start': 30.349, 'duration': 5.591}, {'text': 'be picking up four of each alternating', 'start': 33.09, 'duration': 10.62}, {'text': 'them if it started with the size 11 so', 'start': 35.94, 'duration': 13.29}, {'text': 'we finish with a tiller bead push the', 'start': 43.71, 'duration': 7.71}, {'text': 'bees all the way down to the bottom', 'start': 49.23, 'duration': 4.86}, {'text': 'about 25 centimeters from the bottom by', 'start': 51.42, 'duration': 7.68}, {'text': '10 inches on your tail end now pass the', 'start': 54.09, 'duration': 11.849}, {'text': 'needle up to all the beads again if you', 'start': 59.1, 'duration': 12.66}, {'text': 'catch them all you can get your needle', 'start': 65.939, 'duration': 8.97}, {'text': 'go now and you pull tight so it forms a', 'start': 71.76, 'duration': 13.95}, {'text': 'nice circle with two ends together now', 'start': 74.909, 'duration': 14.25}, {'text': ""we're going to make a double knot so"", 'start': 85.71, 'duration': 5.909}, {'text': 'that we keep the beads nice and in', 'start': 89.159, 'duration': 5.221}, {'text': 'position there we go as well and now our', 'start': 91.619, 'duration': 17.61}, {'text': 'second one nice and tight just open to', 'start': 94.38, 'duration': 18.12}, {'text': 'the beads to the odd side so it forms a', 'start': 109.229, 'duration': 6.99}, {'text': 'nice right angle weave just a nice and', 'start': 112.5, 'duration': 9.649}, {'text': 'square the inside', 'start': 116.219, 'duration': 5.93}, {'text': 'partially your needle back up the Tila', 'start': 124.23, 'duration': 10.87}, {'text': 'bead just the data we pull the video and', 'start': 126.61, 'duration': 9.99}, {'text': 'they pass it down through the empty hole', 'start': 135.1, 'duration': 9.48}, {'text': 'of the Tila bead the outer hole now turn', 'start': 136.6, 'duration': 9.36}, {'text': ""your work so it so it's nice and"", 'start': 144.58, 'duration': 3.66}, {'text': ""comfortable to work with it's nice and"", 'start': 145.96, 'duration': 4.92}, {'text': ""tight with your thumb let's pick up the"", 'start': 148.24, 'duration': 4.65}, {'text': 'ties who live in bead seed bead and pass', 'start': 150.88, 'duration': 5.22}, {'text': 'it through the next r2 hole of the next', 'start': 152.89, 'duration': 8.69}, {'text': 'tailor going to add a size 11 seed bead', 'start': 156.1, 'duration': 10.14}, {'text': 'between each two Tila beads the corners', 'start': 161.58, 'duration': 13.81}, {'text': 'that would be number two very good so I', 'start': 166.24, 'duration': 34.77}, {'text': 'put in slightly and our final if now', 'start': 175.39, 'duration': 29.76}, {'text': 'edit the fork owners from to a nice', 'start': 201.01, 'duration': 9.0}, {'text': 'square is IQ basically thumbs a bit so', 'start': 205.15, 'duration': 8.61}, {'text': 'we get it nicely is on perfect but after', 'start': 210.01, 'duration': 7.49}, {'text': 'a while a lovely square will form a', 'start': 213.76, 'duration': 6.36}, {'text': 'signal through the size eleven bead and', 'start': 217.5, 'duration': 6.25}, {'text': 'the next Tyler Beede we can start adding', 'start': 220.12, 'duration': 10.11}, {'text': 'our next row now to with it till a', 'start': 223.75, 'duration': 9.75}, {'text': 'pattern you need to fasten look back', 'start': 230.23, 'duration': 6.86}, {'text': 'through the today just exited from', 'start': 233.5, 'duration': 3.59}, {'text': 'it go and then you need to pull the', 'start': 237.39, 'duration': 4.95}, {'text': ""tiller tight you'll notice now there's a"", 'start': 239.58, 'duration': 5.22}, {'text': 'camera it lays nice and snuggle next to', 'start': 242.34, 'duration': 6.63}, {'text': 'one another you pass the needle the tie', 'start': 244.8, 'duration': 5.58}, {'text': 'to be false and you go through they live', 'start': 248.97, 'duration': 4.02}, {'text': 'in CPD once again and to the next Tina', 'start': 250.38, 'duration': 5.76}, {'text': 'so we can add the next till on total the', 'start': 252.99, 'duration': 5.64}, {'text': 'work stable but small to hold now but', 'start': 256.14, 'duration': 9.69}, {'text': 'eventually it becomes easier passing the', 'start': 258.63, 'duration': 12.539}, {'text': 'back through the till appear again so we', 'start': 265.83, 'duration': 7.95}, {'text': 'can add on next prototype retard', 'start': 271.169, 'duration': 4.801}, {'text': ""there you go and we press down so it's"", 'start': 273.78, 'duration': 3.87}, {'text': 'not as nice and snuggle next to the next', 'start': 275.97, 'duration': 6.3}, {'text': 'one the previous one and then we go to', 'start': 277.65, 'duration': 5.99}, {'text': 'our next tailor', 'start': 282.27, 'duration': 3.78}, {'text': 'first they live and see bit always they', 'start': 283.64, 'duration': 6.87}, {'text': 'Levin see it first and then the tailor I', 'start': 286.05, 'duration': 9.27}, {'text': 'can go back through the tailor and pull', 'start': 290.51, 'duration': 12.219}, {'text': 'the next jelly into position and to the', 'start': 295.32, 'duration': 13.74}, {'text': ""Levin on the last tiller and let's add"", 'start': 302.729, 'duration': 23.971}, {'text': ""our final delay in this round now we've"", 'start': 309.06, 'duration': 19.28}, {'text': 'added our 14s', 'start': 326.7, 'duration': 6.29}, {'text': 'one two three four', 'start': 328.34, 'duration': 4.65}, {'text': 'you', 'start': 337.12, 'duration': 2.06}]"
EZe2,R5pnSxa2rv4,"[8, 533]",
sne2,EmRPqHs2zmk,"[2, 76, 446]","[{'text': ""hey there boaters I'm captain Stacy"", 'start': 1.47, 'duration': 4.559}, {'text': ""Hanrahan and welcome to Wednesday's"", 'start': 3.99, 'duration': 13.92}, {'text': 'episode of voters TV first up our', 'start': 6.029, 'duration': 14.691}, {'text': ""captain's caption photo was provided by"", 'start': 17.91, 'duration': 6.449}, {'text': 'Gary Davis will reveal the caption of', 'start': 20.72, 'duration': 6.699}, {'text': 'the day at the end of the show coming up', 'start': 24.359, 'duration': 5.76}, {'text': 'in shipshape internet-based boat', 'start': 27.419, 'duration': 5.07}, {'text': ""maintenance in this week's man Mariner"", 'start': 30.119, 'duration': 4.761}, {'text': 'report', 'start': 32.489, 'duration': 2.391}, {'text': 'when Barry calendar traded in his', 'start': 35.77, 'duration': 6.88}, {'text': 'Catalina 42 for his nordhavn 40 he knew', 'start': 38.72, 'duration': 6.0}, {'text': 'he needed an organized way of keeping', 'start': 42.65, 'duration': 4.41}, {'text': 'track of the neverending maintenance and', 'start': 44.72, 'duration': 5.52}, {'text': 'spare parts list this week mad Mariners', 'start': 47.06, 'duration': 5.97}, {'text': ""Tom trip tells us about seek it's the"", 'start': 50.24, 'duration': 5.79}, {'text': ""company that grew from Barry's need seek"", 'start': 53.03, 'duration': 5.04}, {'text': ""it's provides customized maintenance"", 'start': 56.03, 'duration': 4.74}, {'text': 'planning record-keeping and provisioning', 'start': 58.07, 'duration': 5.01}, {'text': 'for yacht owners its internet based', 'start': 60.77, 'duration': 4.26}, {'text': 'service is called the maritime', 'start': 63.08, 'duration': 5.94}, {'text': 'maintenance system or mms basically the', 'start': 65.03, 'duration': 6.48}, {'text': 'yacht owner or captain inputs certain', 'start': 69.02, 'duration': 5.07}, {'text': 'information online like engine hours and', 'start': 71.51, 'duration': 5.55}, {'text': 'the service keeps track of every system', 'start': 74.09, 'duration': 5.22}, {'text': 'on board reminding the captain of', 'start': 77.06, 'duration': 4.53}, {'text': 'incoming maintenance and required', 'start': 79.31, 'duration': 5.25}, {'text': 'actions everything from oil changes to', 'start': 81.59, 'duration': 5.79}, {'text': 'winless greasing the mms will even', 'start': 84.56, 'duration': 5.34}, {'text': 'notify the user of upcoming warranty', 'start': 87.38, 'duration': 5.22}, {'text': 'expirations the service has many', 'start': 89.9, 'duration': 5.43}, {'text': 'advantages it can recommend the type and', 'start': 92.6, 'duration': 5.4}, {'text': 'quantity of spare parts provisioning for', 'start': 95.33, 'duration': 4.89}, {'text': ""the kind of cruising you'll be doing the"", 'start': 98.0, 'duration': 4.679}, {'text': 'system also stores all part catalogs', 'start': 100.22, 'duration': 5.13}, {'text': ""online so there's no worry of misplaced"", 'start': 102.679, 'duration': 6.031}, {'text': 'manuals the newest ability of M&MS is', 'start': 105.35, 'duration': 6.75}, {'text': 'online parts ordering the captain simply', 'start': 108.71, 'duration': 6.269}, {'text': 'logs on request a quote approves it and', 'start': 112.1, 'duration': 6.18}, {'text': 'see kits gets the needed part a great', 'start': 114.979, 'duration': 5.041}, {'text': 'service considering the owner of a', 'start': 118.28, 'duration': 4.47}, {'text': 'typical 55 foot yacht would normally', 'start': 120.02, 'duration': 4.739}, {'text': 'have to deal with nearly 20 different', 'start': 122.75, 'duration': 4.47}, {'text': 'suppliers to outfit his or her boat as', 'start': 124.759, 'duration': 5.041}, {'text': ""you've probably guessed the service"", 'start': 127.22, 'duration': 5.19}, {'text': ""isn't cheap a yacht owner is looking at"", 'start': 129.8, 'duration': 4.5}, {'text': 'thousands of dollars for the initial', 'start': 132.41, 'duration': 5.1}, {'text': 'set-up cost with a modest annual fee to', 'start': 134.3, 'duration': 5.82}, {'text': 'follow but it seems a yacht with well', 'start': 137.51, 'duration': 4.89}, {'text': 'kept records and maintained to seek its', 'start': 140.12, 'duration': 4.65}, {'text': 'high standards would surely deserve a', 'start': 142.4, 'duration': 5.7}, {'text': 'higher price on the resale market the', 'start': 144.77, 'duration': 5.4}, {'text': 'company is definitely impressing out', 'start': 148.1, 'duration': 4.89}, {'text': 'there some builders now include mms as', 'start': 150.17, 'duration': 4.89}, {'text': 'standard equipment on their new boats', 'start': 152.99, 'duration': 5.25}, {'text': 'including katie Krogan and real ships if', 'start': 155.06, 'duration': 5.58}, {'text': ""you're intrigued to and want to learn"", 'start': 158.24, 'duration': 8.01}, {'text': ""more read Tom's entire article at ww mmm"", 'start': 160.64, 'duration': 9.72}, {'text': 'calm next up and nautical know how part', 'start': 166.25, 'duration': 6.6}, {'text': 'two of our hurricane boat preparation', 'start': 170.36, 'duration': 4.88}, {'text': 'series', 'start': 172.85, 'duration': 2.39}, {'text': 'on Monday we told you that a boat will', 'start': 175.51, 'duration': 5.5}, {'text': 'have the best chance of survival during', 'start': 178.909, 'duration': 4.41}, {'text': ""a storm if it's hauled out of the water"", 'start': 181.01, 'duration': 5.25}, {'text': 'and moved inland but if you must keep', 'start': 183.319, 'duration': 4.681}, {'text': 'your boat in the water during a', 'start': 186.26, 'duration': 4.199}, {'text': ""hurricane we've got tips today to help"", 'start': 188.0, 'duration': 4.92}, {'text': 'you secure your investment the big', 'start': 190.459, 'duration': 5.67}, {'text': 'concern is storm surge water rising far', 'start': 192.92, 'duration': 5.879}, {'text': 'above normal high tide in fact a storm', 'start': 196.129, 'duration': 5.25}, {'text': 'surge of 10 feet or more can be expected', 'start': 198.799, 'duration': 5.64}, {'text': 'during a hurricane surge can put doc and', 'start': 201.379, 'duration': 5.911}, {'text': 'docx lines under water as the attached', 'start': 204.439, 'duration': 6.241}, {'text': 'boat tries to float above so at a fixed', 'start': 207.29, 'duration': 5.369}, {'text': 'dock the proper arrangement of your', 'start': 210.68, 'duration': 4.86}, {'text': 'lines is critical the longer the lines', 'start': 212.659, 'duration': 5.64}, {'text': ""the better to accommodate surge it's"", 'start': 215.54, 'duration': 5.22}, {'text': 'smart to use other boat owners pilings', 'start': 218.299, 'duration': 5.31}, {'text': 'and they use yours of courses will', 'start': 220.76, 'duration': 4.89}, {'text': 'involve laying out a plan with boat slip', 'start': 223.609, 'duration': 4.38}, {'text': 'neighbors and the marina management long', 'start': 225.65, 'duration': 4.979}, {'text': 'before a storm approaches but well worth', 'start': 227.989, 'duration': 6.0}, {'text': 'your time use larger diameter lines that', 'start': 230.629, 'duration': 5.76}, {'text': 'will withstand chafe and excessive', 'start': 233.989, 'duration': 5.101}, {'text': 'stretching boat us recommends one-half', 'start': 236.389, 'duration': 6.511}, {'text': 'inch line for both up to 25 feet 58 inch', 'start': 239.09, 'duration': 7.44}, {'text': 'line for boats 25 to 34 feet and three', 'start': 242.9, 'duration': 6.57}, {'text': 'fourth to one inch lines for larger', 'start': 246.53, 'duration': 6.12}, {'text': 'boats oh and chafing here cannot be', 'start': 249.47, 'duration': 5.549}, {'text': 'overused when your boat is properly', 'start': 252.65, 'duration': 4.889}, {'text': 'secured the line should resemble a large', 'start': 255.019, 'duration': 5.491}, {'text': 'spider web floating docks offer better', 'start': 257.539, 'duration': 5.581}, {'text': 'protection from storm surge if and only', 'start': 260.51, 'duration': 5.46}, {'text': 'if the pilings are taller than the', 'start': 263.12, 'duration': 5.579}, {'text': 'ultimate height of the rising water they', 'start': 265.97, 'duration': 4.8}, {'text': ""might look like word but I'd rather have"", 'start': 268.699, 'duration': 4.681}, {'text': 'my boat in a marina with 18 foot pilings', 'start': 270.77, 'duration': 5.61}, {'text': 'than six foot pilings better than a', 'start': 273.38, 'duration': 5.849}, {'text': 'crowded marina a canal a river can be a', 'start': 276.38, 'duration': 5.7}, {'text': ""great hurricane hole but it's important"", 'start': 279.229, 'duration': 5.37}, {'text': 'especially in smaller residential canals', 'start': 282.08, 'duration': 5.399}, {'text': 'that all boats are secured it only takes', 'start': 284.599, 'duration': 5.701}, {'text': 'one neglected boat to make a mess in a', 'start': 287.479, 'duration': 5.011}, {'text': ""narrow canal if you're moving your"", 'start': 290.3, 'duration': 4.589}, {'text': 'vessel to a canal or river be prepared', 'start': 292.49, 'duration': 4.59}, {'text': 'to move early when hurricane warnings', 'start': 294.889, 'duration': 3.9}, {'text': ""are posted bridges don't open as"", 'start': 297.08, 'duration': 4.05}, {'text': 'frequently and sometimes are even locked', 'start': 298.789, 'duration': 5.19}, {'text': 'down for evacuations anchoring or', 'start': 301.13, 'duration': 5.339}, {'text': 'mooring in a shelter location can also', 'start': 303.979, 'duration': 4.741}, {'text': 'be a good alternative to a crowded', 'start': 306.469, 'duration': 4.621}, {'text': 'rina moored and anchored boats will face', 'start': 308.72, 'duration': 5.03}, {'text': 'into the wind reducing windage and', 'start': 311.09, 'duration': 5.85}, {'text': ""unless they come loose won't be damaged"", 'start': 313.75, 'duration': 5.92}, {'text': ""by contact with a dock or piling so it's"", 'start': 316.94, 'duration': 4.74}, {'text': 'crucial that your mooring or anchor', 'start': 319.67, 'duration': 5.04}, {'text': 'holds now I wish I had time today to', 'start': 321.68, 'duration': 4.62}, {'text': 'talk about the strength of a helix', 'start': 324.71, 'duration': 4.05}, {'text': 'mooring and using anchors in tandem but', 'start': 326.3, 'duration': 5.52}, {'text': ""I don't so I encourage you to learn more"", 'start': 328.76, 'duration': 5.04}, {'text': 'with the boat us hurricane resource', 'start': 331.82, 'duration': 7.29}, {'text': 'center at wwwbootysha forwards', 'start': 333.8, 'duration': 7.73}, {'text': 'hurricanes if a storm is approaching', 'start': 339.11, 'duration': 4.62}, {'text': 'find your boat a protected Harbor', 'start': 341.53, 'duration': 5.23}, {'text': 'sheltered canal or hurricane hole riding', 'start': 343.73, 'duration': 5.1}, {'text': 'out the storm at sea should never be an', 'start': 346.76, 'duration': 5.34}, {'text': 'option and remember never stay aboard', 'start': 348.83, 'duration': 5.67}, {'text': 'your boat drawing a hurricane there is', 'start': 352.1, 'duration': 4.74}, {'text': 'very little you can do if anything to', 'start': 354.5, 'duration': 3.99}, {'text': 'save a boat once the winds are howling', 'start': 356.84, 'duration': 4.35}, {'text': 'over 100 miles per hour and tides are', 'start': 358.49, 'duration': 5.25}, {'text': 'surging tune in Friday when we conclude', 'start': 361.19, 'duration': 4.38}, {'text': 'our hurricane series with ways to get', 'start': 363.74, 'duration': 4.32}, {'text': 'you back on the water after a storm and', 'start': 365.57, 'duration': 4.86}, {'text': ""now it's time to reveal stacy's the"", 'start': 368.06, 'duration': 4.8}, {'text': 'boaters calm profile pic of the day', 'start': 370.43, 'duration': 6.36}, {'text': 'which in mark hancher off and his 33', 'start': 372.86, 'duration': 7.38}, {'text': 'foot carver the penultimate to mark', 'start': 376.79, 'duration': 5.55}, {'text': 'loves boating on Lake Washington with', 'start': 380.24, 'duration': 4.53}, {'text': 'his very pretty wife and adorable', 'start': 382.34, 'duration': 5.04}, {'text': 'daughter he actually began boating as a', 'start': 384.77, 'duration': 5.55}, {'text': 'teenager with his father check out these', 'start': 387.38, 'duration': 5.49}, {'text': 'cool the boaters burgees he designed', 'start': 390.32, 'duration': 5.79}, {'text': 'what do you think welcome to the voters', 'start': 392.87, 'duration': 5.97}, {'text': 'and congrats on your see Liberty status', 'start': 396.11, 'duration': 6.0}, {'text': ""and finally today the captain's caption"", 'start': 398.84, 'duration': 6.54}, {'text': 'of the day is due to increased shark', 'start': 402.11, 'duration': 5.88}, {'text': ""sightings by the crew Norma's laundry"", 'start': 405.38, 'duration': 5.75}, {'text': 'load has increased', 'start': 407.99, 'duration': 3.14}, {'text': ""and that'll do it for this episode of"", 'start': 417.479, 'duration': 4.541}, {'text': 'the voters TV see you back here on', 'start': 419.919, 'duration': 4.641}, {'text': 'Friday', 'start': 422.02, 'duration': 2.54}]"
3Me2,EqM5jcU7aVw,"[53, 58, 68, 151, 228]",
I4e2,NhMSZPx5We0,"[2, 7, 26, 171, 469, 792, 878, 1179]",
nse2,NkqbjaDGkLg,"[0, 1, 215, 611]",
E3e2,n4zwOlZkhwg,[2578],
uHe2,n6DrQKYqzIk,"[3, 6]",
xbe2,SeB0BPntFbg,"[0, 1]","[{'text': ""welcome to tap that app i'm brian Tong"", 'start': 9.889, 'duration': 3.971}, {'text': 'and this is a show where we cover the', 'start': 12.21, 'duration': 3.69}, {'text': 'hottest apps in the mobile space now', 'start': 13.86, 'duration': 3.66}, {'text': ""it's the summer blockbuster movie season"", 'start': 15.9, 'duration': 3.84}, {'text': ""and we're here to show you some of the"", 'start': 17.52, 'duration': 3.39}, {'text': 'sweetest companion apps for your', 'start': 19.74, 'duration': 3.93}, {'text': 'favorite flicks on your iOS devices now', 'start': 20.91, 'duration': 5.67}, {'text': 'first up is super 8 this JJ Abrams and', 'start': 23.67, 'duration': 4.349}, {'text': 'Steven Spielberg collaboration is', 'start': 26.58, 'duration': 3.449}, {'text': 'getting hyped up in you can be a part of', 'start': 28.019, 'duration': 3.75}, {'text': 'it with the iphone and ipod touch app', 'start': 30.029, 'duration': 4.44}, {'text': 'for 99 cents now you can record a short', 'start': 31.769, 'duration': 4.651}, {'text': 'movie using a variety of gritty filters', 'start': 34.469, 'duration': 4.051}, {'text': 'and effects create your movie with', 'start': 36.42, 'duration': 3.84}, {'text': ""cliffs share them and if you're lucky"", 'start': 38.52, 'duration': 4.44}, {'text': ""you'll see a frame from super8 inside"", 'start': 40.26, 'duration': 4.59}, {'text': ""your movie get them all and you'll see a"", 'start': 42.96, 'duration': 3.84}, {'text': 'clip from the actual movie now if you', 'start': 44.85, 'duration': 3.27}, {'text': 'want something a little more', 'start': 46.8, 'duration': 4.259}, {'text': 'lighthearted check out the zookeeper', 'start': 48.12, 'duration': 5.009}, {'text': ""movie app it's free for the iPhone and"", 'start': 51.059, 'duration': 4.921}, {'text': 'iPad and includes three mini-games like', 'start': 53.129, 'duration': 4.68}, {'text': 'grabbing bananas with the monkey or', 'start': 55.98, 'duration': 4.649}, {'text': 'leaves with a giraffe it might entertain', 'start': 57.809, 'duration': 4.921}, {'text': ""the kids but honestly it's pretty lame"", 'start': 60.629, 'duration': 4.621}, {'text': ""so you're lucky it's free now comic book"", 'start': 62.73, 'duration': 4.23}, {'text': 'fans have a lot to look forward to this', 'start': 65.25, 'duration': 3.96}, {'text': 'summer and fans of x-men first class get', 'start': 66.96, 'duration': 4.32}, {'text': 'a free digital magazine for the iPad', 'start': 69.21, 'duration': 4.71}, {'text': 'showcasing how the x-men have played an', 'start': 71.28, 'duration': 4.589}, {'text': 'important part in historical events', 'start': 73.92, 'duration': 3.96}, {'text': 'including how John F Kennedy plan to', 'start': 75.869, 'duration': 4.29}, {'text': 'deal with magneto because that really', 'start': 77.88, 'duration': 4.169}, {'text': 'happened now not all movies have', 'start': 80.159, 'duration': 3.57}, {'text': 'dedicated apps that work in tandem with', 'start': 82.049, 'duration': 3.841}, {'text': 'the movies but Green Lantern fans can', 'start': 83.729, 'duration': 4.261}, {'text': 'download the DC Comics Green Lantern app', 'start': 85.89, 'duration': 4.409}, {'text': 'on their iphone or ipad it allows you to', 'start': 87.99, 'duration': 4.199}, {'text': 'download free excerpts from the comic', 'start': 90.299, 'duration': 3.331}, {'text': 'book series and bone up on your', 'start': 92.189, 'duration': 3.901}, {'text': 'knowledge with Green Lantern 101 to get', 'start': 93.63, 'duration': 4.62}, {'text': 'you up to speed and Captain America', 'start': 96.09, 'duration': 4.47}, {'text': 'First Avenger fans download the marvel', 'start': 98.25, 'duration': 4.049}, {'text': 'comics app on either your iPhone or iPad', 'start': 100.56, 'duration': 3.39}, {'text': ""for free and you'll have access to"", 'start': 102.299, 'duration': 4.651}, {'text': 'captain america first vengeance for free', 'start': 103.95, 'duration': 4.83}, {'text': ""it's the official prequel to the movie"", 'start': 106.95, 'duration': 3.959}, {'text': 'in addition to other comics as well and', 'start': 108.78, 'duration': 4.43}, {'text': ""let's not forget the over-the-top"", 'start': 110.909, 'duration': 4.621}, {'text': 'Transformers Dark of the Moon movie', 'start': 113.21, 'duration': 4.39}, {'text': ""coming out the end of June now there's"", 'start': 115.53, 'duration': 4.35}, {'text': 'no official movie app but why not annoy', 'start': 117.6, 'duration': 4.26}, {'text': 'your friends family neighbors with the', 'start': 119.88, 'duration': 6.29}, {'text': '99 cents transformer sound board', 'start': 121.86, 'duration': 4.31}, {'text': 'see what I mean all right if you guys', 'start': 130.34, 'duration': 4.0}, {'text': 'have any other apps you think are worthy', 'start': 132.78, 'duration': 3.18}, {'text': 'to be here that we missed send them to', 'start': 134.34, 'duration': 3.9}, {'text': ""tap that app at cnet com I'm Brian song"", 'start': 135.96, 'duration': 3.72}, {'text': ""thanks for watching we'll see you guys"", 'start': 138.24, 'duration': 4.31}, {'text': 'next time', 'start': 139.68, 'duration': 2.87}]"
pze2,bH0Wp4_UFi0,[6],
