VWeW,IN9Uzw9Nxag,"[2, 17, 53, 58]",
VGoo,nOIiC8zoFaw,"[0, 1, 13, 512, 1446]",
Pkoo,nZ9OBjE1wEI,[61],"[{'text': 'well done across ave coeur but it would', 'start': 0.199, 'duration': 6.761}, {'text': 'be cute lolz Loschiavo qld 330 java and', 'start': 2.879, 'duration': 6.84}, {'text': 'stuffy mr. Morelle I Stefan mr. New York', 'start': 6.96, 'duration': 5.16}, {'text': 'absolute New Yorkers with the NYPD Bruce', 'start': 9.719, 'duration': 5.25}, {'text': 'you should on law and order a Magna', 'start': 12.12, 'duration': 7.86}, {'text': 'Sylvie with the ellen degeneres show you', 'start': 14.969, 'duration': 8.941}, {'text': 'are Tonio combo a deep shade the morale', 'start': 19.98, 'duration': 4.77}, {'text': ""what's your name what's your name"", 'start': 23.91, 'duration': 2.76}, {'text': 'everybody go flores everybody knows that', 'start': 24.75, 'duration': 4.71}, {'text': 'come on sarcoma cebu Khaleesi where is', 'start': 26.67, 'duration': 7.53}, {'text': 'this connection coming from man I guess', 'start': 29.46, 'duration': 6.57}, {'text': ""we shouldn't talk about it we're really"", 'start': 34.2, 'duration': 3.75}, {'text': 'good friends and yeah we met sort of', 'start': 36.03, 'duration': 4.32}, {'text': 'DJing around and we do know DJ they all', 'start': 37.95, 'duration': 3.84}, {'text': 'know if we all know each other and we', 'start': 40.35, 'duration': 3.389}, {'text': ""get around so we're good mates how come"", 'start': 41.79, 'duration': 3.749}, {'text': ""you come well it's your birthday I think"", 'start': 43.739, 'duration': 2.871}, {'text': 'you came to celebrate your birthday', 'start': 45.539, 'duration': 3.331}, {'text': 'party everywhere in the world but I mean', 'start': 46.61, 'duration': 4.3}, {'text': ""like you're from London you could go to"", 'start': 48.87, 'duration': 4.8}, {'text': 'Nigeria west where you come in Montreal', 'start': 50.91, 'duration': 4.649}, {'text': 'words freezes I came because this is', 'start': 53.67, 'duration': 5.09}, {'text': 'what Jojo Flores is', 'start': 55.559, 'duration': 3.201}, {'text': ""so we're working on a project so"", 'start': 58.85, 'duration': 3.93}, {'text': 'everything sort of coincided nicely he', 'start': 60.559, 'duration': 3.93}, {'text': 'was that project i need to know i mean', 'start': 62.78, 'duration': 5.07}, {'text': 'to bring an album out right yes disco', 'start': 64.489, 'duration': 6.06}, {'text': 'compilation this disco a bunch of stuff', 'start': 67.85, 'duration': 5.07}, {'text': 'disco old news by putting all together', 'start': 70.549, 'duration': 5.61}, {'text': 'mixed company yeah i just see a sore', 'start': 72.92, 'duration': 6.42}, {'text': 'knee 20 blog we know lenovo Lester and', 'start': 76.159, 'duration': 4.89}, {'text': 'urban or gang of you eat some that some', 'start': 79.34, 'duration': 5.91}, {'text': ""of that food oh we're going back in"", 'start': 81.049, 'duration': 8.43}, {'text': 'there need again okay again okay when', 'start': 85.25, 'duration': 6.149}, {'text': 'you party with ellen degeneres yeah cuz', 'start': 89.479, 'duration': 3.361}, {'text': 'you did indeed you on her show right', 'start': 91.399, 'duration': 4.11}, {'text': 'yeah so when you party with her yes', 'start': 92.84, 'duration': 6.63}, {'text': ""who's the wingman who brings the girls"", 'start': 95.509, 'duration': 9.03}, {'text': 'to who no comment cuz I know I married', 'start': 99.47, 'duration': 7.23}, {'text': ""moving wow guess I've seen on YouTube"", 'start': 104.539, 'duration': 5.181}, {'text': ""she's really trying to hook you up"", 'start': 106.7, 'duration': 5.4}, {'text': 'always doing those contests trying to', 'start': 109.72, 'duration': 4.329}, {'text': 'hook you up with two girls with young', 'start': 112.1, 'duration': 3.75}, {'text': ""girls that's what my question my 1"", 'start': 114.049, 'duration': 3.851}, {'text': 'million dollar question yes', 'start': 115.85, 'duration': 6.25}, {'text': ""who's how many cougars of you wow man no"", 'start': 117.9, 'duration': 8.94}, {'text': 'comment is a TV show okay well thank you', 'start': 122.1, 'duration': 7.2}, {'text': 'very much thank you a bunch oh thank you', 'start': 126.84, 'duration': 4.5}, {'text': 'why why what would you tell me winning', 'start': 129.3, 'duration': 4.56}, {'text': ""me what's not to love the cold the music"", 'start': 131.34, 'duration': 5.76}, {'text': 'the food the culture the women some of', 'start': 133.86, 'duration': 10.13}, {'text': 'the guys I piece sanji thanks ciao', 'start': 137.1, 'duration': 6.89}]"
uzoo,nd0s0TgUXkQ,[429],"[{'text': ""whether it's the university's excellent"", 'start': 14.15, 'duration': 5.74}, {'text': 'facilities and reputation the flexible', 'start': 16.92, 'duration': 5.73}, {'text': 'full-time and part-time study or the', 'start': 19.89, 'duration': 5.82}, {'text': 'careful and effective supervision by our', 'start': 22.65, 'duration': 5.969}, {'text': 'experienced staff more and more students', 'start': 25.71, 'duration': 6.319}, {'text': 'are coming to Chester', 'start': 28.619, 'duration': 3.41}, {'text': ""if you'd like to study for PhD here at"", 'start': 35.43, 'duration': 4.83}, {'text': ""the University of Chester then here's"", 'start': 38.28, 'duration': 6.45}, {'text': 'what you need to do first check we can', 'start': 40.26, 'duration': 6.21}, {'text': 'provide supervision for the sort of', 'start': 44.73, 'duration': 4.71}, {'text': 'project you wish to look on the', 'start': 46.47, 'duration': 5.01}, {'text': 'University webpage and find the', 'start': 49.44, 'duration': 3.93}, {'text': 'information sheets for the subject', 'start': 51.48, 'duration': 5.25}, {'text': ""you're interested in you'll also need to"", 'start': 53.37, 'duration': 5.61}, {'text': 'think about financial arrangements and', 'start': 56.73, 'duration': 5.009}, {'text': 'will be able to advise you on this this', 'start': 58.98, 'duration': 4.95}, {'text': 'information was suggest ideas about', 'start': 61.739, 'duration': 4.621}, {'text': 'projects and give you a contact name for', 'start': 63.93, 'duration': 5.76}, {'text': 'further inquires take the time to', 'start': 66.36, 'duration': 5.46}, {'text': 'arrange to talk to them either by phone', 'start': 69.69, 'duration': 5.37}, {'text': 'or by email and why not come in for an', 'start': 71.82, 'duration': 6.33}, {'text': 'informal visit or discussion', 'start': 75.06, 'duration': 5.58}, {'text': 'when you have a rough idea of what your', 'start': 78.15, 'duration': 4.77}, {'text': ""project might be it's time to make an"", 'start': 80.64, 'duration': 5.25}, {'text': 'application past a graduate school to', 'start': 82.92, 'duration': 4.71}, {'text': 'send you an application form and', 'start': 85.89, 'duration': 6.51}, {'text': ""completed camp there's usually no need"", 'start': 87.63, 'duration': 6.78}, {'text': 'to give full details of your project', 'start': 92.4, 'duration': 4.08}, {'text': 'just a few sentences explaining what', 'start': 94.41, 'duration': 4.53}, {'text': ""you're doing can be useful you should"", 'start': 96.48, 'duration': 4.11}, {'text': 'also include the name of your potential', 'start': 98.94, 'duration': 7.32}, {'text': 'supervisor who discussed will now send', 'start': 100.59, 'duration': 7.5}, {'text': 'your application off to the Graduate', 'start': 106.26, 'duration': 4.74}, {'text': ""School staff will make sure you've sent"", 'start': 108.09, 'duration': 5.31}, {'text': 'everything so please do make sure your', 'start': 111.0, 'duration': 5.97}, {'text': 'submission is complete your application', 'start': 113.4, 'duration': 5.55}, {'text': 'will be considered by at least two', 'start': 116.97, 'duration': 4.5}, {'text': 'members of staff we will interview you', 'start': 118.95, 'duration': 5.43}, {'text': 'either in person or using Skype or a', 'start': 121.47, 'duration': 6.78}, {'text': 'videoconference we want to make sure', 'start': 124.38, 'duration': 7.05}, {'text': 'that of you and we make the right', 'start': 128.25, 'duration': 6.24}, {'text': 'decision if everyone is happy with your', 'start': 131.43, 'duration': 5.82}, {'text': 'plans we send you an offer', 'start': 134.49, 'duration': 5.469}, {'text': 'we might also need to send you further', 'start': 137.25, 'duration': 4.69}, {'text': 'information to help you apply to a visa', 'start': 139.959, 'duration': 5.221}, {'text': ""if you're needing the university has the"", 'start': 141.94, 'duration': 4.86}, {'text': 'necessary license from the UK', 'start': 145.18, 'duration': 3.66}, {'text': 'authorities to admit international', 'start': 146.8, 'duration': 5.4}, {'text': 'students as well as UK and European', 'start': 148.84, 'duration': 5.75}, {'text': 'versions', 'start': 152.2, 'duration': 5.009}, {'text': 'once you receive via a letter you should', 'start': 154.59, 'duration': 5.02}, {'text': 'return the acceptance slip and make', 'start': 157.209, 'duration': 5.011}, {'text': 'arrangements to arrival in Chester and', 'start': 159.61, 'duration': 5.4}, {'text': 'your enrolment and induction as a', 'start': 162.22, 'duration': 5.36}, {'text': 'student', 'start': 165.01, 'duration': 2.57}, {'text': ""then you're a search adventure can"", 'start': 169.84, 'duration': 4.56}, {'text': 'really begin and you can look forward to', 'start': 171.97, 'duration': 5.629}, {'text': 'the moment you graduate', 'start': 174.4, 'duration': 3.199}, {'text': 'you', 'start': 184.71, 'duration': 2.06}]"
b4oo,aFFuxP_Ib-I,[1653],
0Doo,aJDWjd1SEXM,"[42, 3200]",
PGoo,ns8Sy3BJNVE,[11],
Xgoo,nwysGX3dLgY,"[5, 1895, 2987]",
tboo,nzxQN3n4P3M,[14],
7Coo,rYFPcVuQXHA,"[159, 1504]",
fRoo,hTub0cRxyWs,"[343, 875]",
Zsoo,hUfVgXg-8r4,"[0, 1, 301, 3087]",
Vjoo,hW66uw66TN8,"[3, 6, 9, 669]",
kCoo,,"[0, 1, 35, 230]",
cxoo,vzuv-mHKyI4,"[2, 45, 51, 56, 77, 137, 212]",
zUoo,vzOff32qR80,"[17, 19]",
YSoo,pQFQ0CB-Ckk,[5],
46oo,-gcoIVJ4HLc,"[0, 92]","[{'text': ""hey we've seen a better sensational"", 'start': 3.1, 'duration': 4.92}, {'text': 'before some Tyson Fury here with a', 'start': 6.13, 'duration': 4.889}, {'text': 'another second round stoppage six out of', 'start': 8.02, 'duration': 5.369}, {'text': 'six for Tyson Fury and now he and his', 'start': 11.019, 'duration': 4.141}, {'text': 'dad are very close indeed and I think', 'start': 13.389, 'duration': 3.531}, {'text': ""he's dad's got a message to the world"", 'start': 15.16, 'duration': 4.05}, {'text': 'not just seen because I tell you what', 'start': 16.92, 'duration': 4.15}, {'text': 'the veered people speak before but here', 'start': 19.21, 'duration': 4.23}, {'text': 'this people who understand boxing and', 'start': 21.07, 'duration': 4.32}, {'text': 'fighting genuine fighting enthusiasts', 'start': 23.44, 'duration': 4.23}, {'text': ""can see what this kid it you don't need"", 'start': 25.39, 'duration': 4.62}, {'text': 'me to tell you if you must unboxing this', 'start': 27.67, 'duration': 6.0}, {'text': ""is the man there's nothing there you"", 'start': 30.01, 'duration': 5.819}, {'text': 'have it if you understand boxing this is', 'start': 33.67, 'duration': 5.099}, {'text': 'the man now here at ringside we had a', 'start': 35.829, 'duration': 5.16}, {'text': 'fellow who Tyson Fury look down the lens', 'start': 38.769, 'duration': 4.59}, {'text': ""and said I want you next and i'll beat"", 'start': 40.989, 'duration': 4.17}, {'text': ""you and see what he's got to say about"", 'start': 43.359, 'duration': 7.171}, {'text': 'it his name is derek chisora well derek', 'start': 45.159, 'duration': 7.86}, {'text': 'chisora could be an opponent for tyson', 'start': 50.53, 'duration': 4.59}, {'text': 'fury in the future Derek were you', 'start': 53.019, 'duration': 4.441}, {'text': 'impressed with Tyson tonight rephrase my', 'start': 55.12, 'duration': 5.009}, {'text': 'game and Tyson might be my opponent not', 'start': 57.46, 'duration': 5.039}, {'text': ""me he's opponent what support yeah it"", 'start': 60.129, 'duration': 4.231}, {'text': ""wasn't personal anyone could be told"", 'start': 62.499, 'duration': 2.981}, {'text': ""what's his name"", 'start': 64.36, 'duration': 3.43}, {'text': 'Scott mal short could be him you know I', 'start': 65.48, 'duration': 4.35}, {'text': 'could be like oh my school in one hand I', 'start': 67.79, 'duration': 4.08}, {'text': 'could be ever know and I had his', 'start': 69.83, 'duration': 3.57}, {'text': 'conversation finished me in less than', 'start': 71.87, 'duration': 5.25}, {'text': ""three seconds I've been as a lie what's"", 'start': 73.4, 'duration': 5.79}, {'text': 'the situation with regards to your', 'start': 77.12, 'duration': 4.02}, {'text': 'potential British title fight against', 'start': 79.19, 'duration': 3.72}, {'text': ""Danny Williams we hear it's on it's off"", 'start': 81.14, 'duration': 3.51}, {'text': ""its on its off what's going on there"", 'start': 82.91, 'duration': 3.84}, {'text': 'when I know like I let you all at all of', 'start': 84.65, 'duration': 4.05}, {'text': 'you like know maybe I might be off we', 'start': 86.75, 'duration': 4.74}, {'text': ""don't know yet I I suspect you'd quite"", 'start': 88.7, 'duration': 4.53}, {'text': 'like to get in the ring with Tyson Fury', 'start': 91.49, 'duration': 3.06}, {'text': ""from your perspective if you'd like to"", 'start': 93.23, 'duration': 4.53}, {'text': 'teach him a lesson no this is boxing to', 'start': 94.55, 'duration': 4.53}, {'text': 'be honest with you know I want to fight', 'start': 97.76, 'duration': 2.7}, {'text': 'out there it was good out there right', 'start': 99.08, 'duration': 2.61}, {'text': 'now yeah I want to fight him now you', 'start': 100.46, 'duration': 2.82}, {'text': ""know he's tightening good for me right"", 'start': 101.69, 'duration': 3.27}, {'text': 'now to be honest is not good yet for me', 'start': 103.28, 'duration': 4.08}, {'text': 'to be honest so and a day when he wants', 'start': 104.96, 'duration': 4.38}, {'text': ""to fight now Sadie already the money's"", 'start': 107.36, 'duration': 4.5}, {'text': ""right I'll find me Manchester okay well"", 'start': 109.34, 'duration': 3.96}, {'text': 'make sure you give us a ring because we', 'start': 111.86, 'duration': 3.15}, {'text': 'want to see that on itv4 thanks for', 'start': 113.3, 'duration': 2.97}, {'text': 'talking just staring quicker by the', 'start': 115.01, 'duration': 3.87}, {'text': 'protocol well just that listing of that', 'start': 116.27, 'duration': 3.9}, {'text': ""one doesn't look as though he fancies"", 'start': 118.88, 'duration': 3.21}, {'text': 'for fight at the moment I just seems to', 'start': 120.17, 'duration': 5.75}, {'text': ""be like JC's got a raid"", 'start': 122.09, 'duration': 3.83}, {'text': ""the money's right now I guess that's the"", 'start': 126.99, 'duration': 5.79}, {'text': 'biggest exclusivo or the most common', 'start': 129.94, 'duration': 5.01}, {'text': ""the money's right but then what he's"", 'start': 132.78, 'duration': 4.75}, {'text': 'never liked how much is how much money', 'start': 134.95, 'duration': 4.14}, {'text': ""does he want I don't think he wants to"", 'start': 137.53, 'duration': 4.7}, {'text': 'fight quite honest listen this', 'start': 139.09, 'duration': 3.14}]"
KVoo,-oHpnnTPyYg,"[3, 4]",
rSoo,8QfClFYLrr0,"[133, 630]",
Snoo,CpsMY5MZPo8,"[180, 270, 304, 1311, 2286]",
ftoo,DwXuYEbRWo4,"[5, 16]",
Dooo,Jl2C4A8wzvc,[3],
cUoo,ZHnWGEav7Uw,"[5, 328]",
fEoo,,"[2, 45]",
Xtoo,OW1lzsBKV68,"[0, 52, 70, 125]",
1qoo,OYYCRWTKQRQ,"[88, 184]",
tSoo,f_g92a8Fecw,"[17, 19, 443, 3682]",
J6oo,RgwjKFGOmx8,"[5, 144]",
f9oo,Rh_khqv2TC0,[3],
JRoo,RimInpVlprI,[359],
uSoo,Rm05MUaiRto,"[2, 44, 46, 107, 109, 114, 138, 155, 852, 854]","[{'text': 'you', 'start': 331.35, 'duration': 2.06}]"
VJoo,RpOFpIQXT2c,"[26, 194, 445]",
0Eoo,RpPkeFc8ayk,"[2, 75, 437]",
Qroo,Td_sT6RnrKk,"[15, 127, 1102]",
X5oo,TjhkN_Z6zcc,[14],
2Voo,TR4hIBQX26w,"[0, 1, 157, 407]",
rvoo,TVSIKnN5Kvw,"[3, 4, 6, 9, 10]",
SCoo,TY9-c0U-kKQ,[3],
tyoo,T_06N01xgow,"[2, 7, 116, 165, 171, 2802]",
PMoo,vgxHKlmpcG8,[2],
S4oo,,"[184, 191, 299]",
aYoo,zrI8vZxLgAA,"[0, 52, 70, 125]",
Okoo,E64KwoQOe9U,"[0, 1, 417, 784]",
oNoo,,"[0, 12]",
1Doo,EOCHoxawTZI,"[2, 17]",
2Eoo,7202SQGBZJ8,"[3, 4, 13, 54, 168, 565]",
tXoo,77Toe9j7X3g,"[0, 63, 335]",
ABoo,yxCxL0Kz8dE,"[21, 23, 1095, 1637]","[{'text': 'so a d-cup banette angle why we have', 'start': 0.979, 'duration': 5.981}, {'text': 'this supply shop dot in German nanometer', 'start': 3.84, 'duration': 6.6}, {'text': 'and I come with balance I probably did', 'start': 6.96, 'duration': 12.03}, {'text': ""some soapy I've been hit these ago never"", 'start': 10.44, 'duration': 19.589}, {'text': 'catered a mean tuna salmon too many to', 'start': 18.99, 'duration': 16.8}, {'text': 'entire home by USB if I jumped out of ha', 'start': 30.029, 'duration': 11.131}, {'text': 'ha ha summed up shipment which is hangin', 'start': 35.79, 'duration': 9.78}, {'text': ""up convene don't find Emily up I am TIFF"", 'start': 41.16, 'duration': 6.78}, {'text': ""I'm Emily do you believe in fate I don't"", 'start': 45.57, 'duration': 2.96}, {'text': 'need help', 'start': 47.94, 'duration': 9.02}, {'text': 'this is up to me', 'start': 48.53, 'duration': 8.43}, {'text': 'thanks okay then come back up so many', 'start': 59.74, 'duration': 11.76}, {'text': 'LACMA have Delta Pi to Tony take up the', 'start': 65.23, 'duration': 10.32}, {'text': 'piping we teaching and a half to a lane', 'start': 71.5, 'duration': 8.52}, {'text': ""- you don't need me don't kill me hey"", 'start': 75.55, 'duration': 8.31}, {'text': 'Lena have to an Indian man to cut to me', 'start': 80.02, 'duration': 8.4}, {'text': 'you hand and palm up to me we teach hi', 'start': 83.86, 'duration': 9.66}, {'text': 'Cassie God boom Chennai OOP fight a', 'start': 88.42, 'duration': 8.4}, {'text': 'teaching man up block of 8th inning top', 'start': 93.52, 'duration': 7.31}, {'text': 'is a time tyloo caught from the point up', 'start': 96.82, 'duration': 8.4}, {'text': 'Gordon until timing look up the piratey', 'start': 100.83, 'duration': 8.76}, {'text': ""can't I will do that punch ever let up"", 'start': 105.22, 'duration': 4.37}, {'text': 'fine checkup it come on Sam crying dr.', 'start': 110.88, 'duration': 7.0}, {'text': 'Tony tie video yoga teacher made me fire', 'start': 114.28, 'duration': 5.55}, {'text': ""a mummy hand and I'll accompany a mashup"", 'start': 117.88, 'duration': 5.4}, {'text': 'Tony can you tie be the autumn picture', 'start': 119.83, 'duration': 5.039}, {'text': 'and we hope to need support from them', 'start': 123.28, 'duration': 5.519}, {'text': 'until the point up final checkup it per', 'start': 124.869, 'duration': 5.911}, {'text': 'month I found a fandom turning to pick', 'start': 128.799, 'duration': 4.861}, {'text': 'single hub we teach I go meet Anya hub', 'start': 130.78, 'duration': 5.67}, {'text': 'not touching hands except tiny just had', 'start': 133.66, 'duration': 4.65}, {'text': ""the feeling I'm sorry USB talk of the"", 'start': 136.45, 'duration': 7.349}, {'text': 'hunger a fee Chapman can tie video', 'start': 138.31, 'duration': 8.399}, {'text': 'determinant among in buying a poem but', 'start': 143.799, 'duration': 6.511}, {'text': 'Ali hello ma got a tiny video name upon', 'start': 146.709, 'duration': 9.291}, {'text': ""it small go token and I'm Tony Capone"", 'start': 150.31, 'duration': 5.69}]"
FRoo,zBxLb6G60sg,"[0, 1, 774, 2133]",
