GQOf,bm-x2zlsd8o,"[21, 23, 2835]",
eVOf,YnMaNoDxe9Q,[160],
RCOf,kRGt-GynsSI,"[0, 1, 69, 236, 404, 589, 2601]","[{'text': 'are you ready losers finals of the', 'start': 0.0, 'duration': 5.64}, {'text': 'stream bat number god I Oscar screwed up', 'start': 2.629, 'duration': 5.981}, {'text': 'eventually nah tornament number one', 'start': 5.64, 'duration': 5.129}, {'text': ""street fighter four oh god I'm scramble"", 'start': 8.61, 'duration': 4.59}, {'text': ""it's because i'm so sad that you lost in"", 'start': 10.769, 'duration': 4.471}, {'text': ""the witness fun but that's i know i feel"", 'start': 13.2, 'duration': 5.339}, {'text': ""pretty sad so i'm ok so from now on no"", 'start': 15.24, 'duration': 5.369}, {'text': 'more losing i will try that all right', 'start': 18.539, 'duration': 4.91}, {'text': ""let's go that's a new strategy no losing"", 'start': 20.609, 'duration': 5.58}, {'text': 'come out like a strategy you know cam is', 'start': 23.449, 'duration': 3.941}, {'text': 'pretty good in this game better watch', 'start': 26.189, 'duration': 4.981}, {'text': 'out cami is pretty good in this game if', 'start': 27.39, 'duration': 5.369}, {'text': 'you do walk jabs can you stop via', 'start': 31.17, 'duration': 5.01}, {'text': 'instant up instant drills yeah yeah just', 'start': 32.759, 'duration': 5.341}, {'text': ""do that sugar no problem and don't get"", 'start': 36.18, 'duration': 4.53}, {'text': ""hit by look forward I've been getting"", 'start': 38.1, 'duration': 4.979}, {'text': 'hit by a lot of low attacks yeah I would', 'start': 40.71, 'duration': 6.0}, {'text': ""that's not cool all right let me let me"", 'start': 43.079, 'duration': 5.701}, {'text': ""let me I don't know what I'm gonna do"", 'start': 46.71, 'duration': 3.48}, {'text': 'but let me do it all right all right', 'start': 48.78, 'duration': 2.939}, {'text': 'just just just just just to point just', 'start': 50.19, 'duration': 6.06}, {'text': 'wait just wait no strategy okay I like', 'start': 51.719, 'duration': 7.371}, {'text': 'it patience patience is a virtue Oh', 'start': 56.25, 'duration': 5.1}, {'text': 'patients on the ranch okay no no he', 'start': 59.09, 'duration': 3.76}, {'text': ""misses compos too so you don't even"", 'start': 61.35, 'duration': 3.449}, {'text': 'putting you gotta for us even Eva', 'start': 62.85, 'duration': 6.39}, {'text': 'Stephenson what was the grab how it was', 'start': 64.799, 'duration': 7.161}, {'text': 'a flight to see a graph', 'start': 69.24, 'duration': 2.72}, {'text': ""okay he's bashing that he smashed his"", 'start': 72.77, 'duration': 7.87}, {'text': 'face at this guy Oh careful oh my god', 'start': 74.85, 'duration': 14.939}, {'text': 'careful though oh you got up oh my god', 'start': 80.64, 'duration': 10.95}, {'text': ""I'll show so today we got we got busted"", 'start': 89.789, 'duration': 4.44}, {'text': 'yep okay what that comment but I', 'start': 91.59, 'duration': 4.83}, {'text': ""actually right let him have it that's"", 'start': 94.229, 'duration': 7.051}, {'text': 'good all right keep them in the phone', 'start': 96.42, 'duration': 6.839}, {'text': ""just be patient be patient don't get hit"", 'start': 101.28, 'duration': 7.199}, {'text': 'by no crazy divekick shenanigans this', 'start': 103.259, 'duration': 7.59}, {'text': ""your local would be hella bored um I'm"", 'start': 108.479, 'duration': 5.721}, {'text': 'not sure but trouble for its really good', 'start': 110.849, 'duration': 5.55}, {'text': ""potato strike it's not throw strike"", 'start': 114.2, 'duration': 5.349}, {'text': ""stuff it's not that good what's your"", 'start': 116.399, 'duration': 7.381}, {'text': 'plan here Chris 30 seconds oh I am so', 'start': 119.549, 'duration': 7.231}, {'text': 'good I know how to confer God that', 'start': 123.78, 'duration': 4.739}, {'text': ""wasn't a confirm that walk out of here"", 'start': 126.78, 'duration': 3.65}, {'text': 'that was mashing that was obviously', 'start': 128.519, 'duration': 5.451}, {'text': ""hahaha I don't believe in that word I"", 'start': 130.43, 'duration': 5.92}, {'text': 'know for damn sure every one of your', 'start': 133.97, 'duration': 3.73}, {'text': 'little forwards has a short get inside', 'start': 136.35, 'duration': 3.09}, {'text': 'of it just waiting to come out yeah', 'start': 137.7, 'duration': 12.569}, {'text': 'exactly because you what the hell oh we', 'start': 139.44, 'duration': 12.54}, {'text': ""go get hit by like a hit by that's fine"", 'start': 150.269, 'duration': 3.78}, {'text': ""it's fine it's better than magic buttons"", 'start': 151.98, 'duration': 4.909}, {'text': 'getting a powerful combo', 'start': 154.049, 'duration': 2.84}, {'text': ""you're bucking a lot right now you get"", 'start': 157.86, 'duration': 8.68}, {'text': ""it oh I'm thinking something that was a"", 'start': 161.38, 'duration': 8.46}, {'text': ""Miss that didn't work out gonna use"", 'start': 166.54, 'duration': 9.9}, {'text': ""meter no I didn't think so what you got"", 'start': 169.84, 'duration': 9.75}, {'text': 'that on purpose yeah but of course I get', 'start': 176.44, 'duration': 8.46}, {'text': ""dp'd yeah it happens I mean you know if"", 'start': 179.59, 'duration': 6.75}, {'text': 'you just drop the controller earlier and', 'start': 184.9, 'duration': 2.97}, {'text': 'just let it win then he would be would', 'start': 186.34, 'duration': 2.88}, {'text': 'have one less beater and you would have', 'start': 187.87, 'duration': 4.38}, {'text': 'one more the same the head is really', 'start': 189.22, 'duration': 4.17}, {'text': 'working out for you just do a shit all', 'start': 192.25, 'duration': 5.43}, {'text': ""time don't let the sky focus oh oh what"", 'start': 193.39, 'duration': 8.94}, {'text': ""is that focus on hit I don't know oh hey"", 'start': 197.68, 'duration': 6.81}, {'text': 'we got late from the booze control here', 'start': 202.33, 'duration': 5.22}, {'text': 'I was actually trying to go for defeated', 'start': 204.49, 'duration': 7.32}, {'text': ""was not the case oh god I didn't know"", 'start': 207.55, 'duration': 17.22}, {'text': 'that nice Oh what was that I got kill', 'start': 211.81, 'duration': 15.08}, {'text': 'you', 'start': 224.77, 'duration': 2.12}, {'text': ""I think I'm dead I think you are too oh"", 'start': 227.97, 'duration': 6.3}, {'text': ""no okay he's giving you a chance oh good"", 'start': 230.01, 'duration': 6.96}, {'text': 'anti air for lose control Louis control', 'start': 234.27, 'duration': 4.77}, {'text': 'relents on the pressure some reason', 'start': 236.97, 'duration': 8.13}, {'text': ""maybe because he's out of meter I don't"", 'start': 239.04, 'duration': 7.56}, {'text': 'know what to do right now you got to bar', 'start': 245.1, 'duration': 3.57}, {'text': 'this is a pretty bad predicament you got', 'start': 246.6, 'duration': 3.81}, {'text': 'two parts internal to make account all', 'start': 248.67, 'duration': 7.349}, {'text': 'right jump over a limb oh gosh nice okay', 'start': 250.41, 'duration': 11.79}, {'text': 'not what what kind of frame traps to God', 'start': 256.019, 'duration': 10.351}, {'text': 'you got something nope oh god dude is', 'start': 262.2, 'duration': 9.33}, {'text': 'just taking all the time oh okay now', 'start': 266.37, 'duration': 9.51}, {'text': 'what oh my god all right all right what', 'start': 271.53, 'duration': 7.56}, {'text': ""I don't even know a lot of work I can't"", 'start': 275.88, 'duration': 5.4}, {'text': 'believe I even waited that I normally I', 'start': 279.09, 'duration': 4.02}, {'text': 'would have just jumped in and hopefully', 'start': 281.28, 'duration': 5.1}, {'text': 'get a fierce hahaha the scores now 10', 'start': 283.11, 'duration': 6.3}, {'text': ""and 2 losses finals it's a Christian I"", 'start': 286.38, 'duration': 5.73}, {'text': ""won it gets loose control oh I'm getting"", 'start': 289.41, 'duration': 7.62}, {'text': 'nine freed up by crabs today good combo', 'start': 292.11, 'duration': 8.58}, {'text': ""good combo oh good but you didn't think"", 'start': 297.03, 'duration': 7.17}, {'text': 'that hit no come on man all right hold', 'start': 300.69, 'duration': 5.28}, {'text': 'gotta get EE get it done here you gotta', 'start': 304.2, 'duration': 4.62}, {'text': ""believe me there you go haha it's a mega"", 'start': 305.97, 'duration': 4.53}, {'text': 'finishes I like camis the stun enemies', 'start': 308.82, 'duration': 6.27}, {'text': 'she cries oh this is the Christie I', 'start': 310.5, 'duration': 7.77}, {'text': 'remember no no I gotta get back any gang', 'start': 315.09, 'duration': 6.15}, {'text': 'this is this is boring like honey you', 'start': 318.27, 'duration': 5.49}, {'text': ""don't play soccer anymore yang I'm a gap"", 'start': 321.24, 'duration': 6.81}, {'text': ""oh oh man went well you know you're not"", 'start': 323.76, 'duration': 5.64}, {'text': 'feeling yourself that hard yet come on', 'start': 328.05, 'duration': 5.52}, {'text': ""now I messed up but it happens I don't"", 'start': 329.4, 'duration': 6.72}, {'text': 'know what not that I would have believed', 'start': 333.57, 'duration': 3.84}, {'text': 'that was a media and I was just SAT', 'start': 336.12, 'duration': 3.16}, {'text': 'there afraid', 'start': 337.41, 'duration': 4.0}, {'text': 'just throw out the meter as well my', 'start': 339.28, 'duration': 3.57}, {'text': 'favorite supers in the game I actually', 'start': 341.41, 'duration': 5.52}, {'text': 'enjoy that super oh okay all right all', 'start': 342.85, 'duration': 6.66}, {'text': 'right what do i do what do I do Oh God', 'start': 346.93, 'duration': 4.32}, {'text': ""yeah just my shirt that's good pisgah"", 'start': 349.51, 'duration': 4.14}, {'text': 'call good call fears all right yeah', 'start': 351.25, 'duration': 7.37}, {'text': 'roundhouse 204 Chris lose control uh', 'start': 353.65, 'duration': 7.62}, {'text': ""dine with a lot of meter he's got a"", 'start': 358.62, 'duration': 3.85}, {'text': 'brain coach him at the same time though', 'start': 361.27, 'duration': 2.73}, {'text': 'here both these players have one', 'start': 362.47, 'duration': 3.96}, {'text': 'cheerleader each so spare Steven it is', 'start': 364.0, 'duration': 5.34}, {'text': 'even paducah is the like the worst move', 'start': 366.43, 'duration': 7.489}, {'text': 'she possibly has in this game Oh Oh God', 'start': 369.34, 'duration': 9.54}, {'text': 'making me so scared right now I like', 'start': 373.919, 'duration': 6.521}, {'text': 'that what you gonna do it or what are', 'start': 378.88, 'duration': 3.96}, {'text': 'gonna do her Oh some gootecks some', 'start': 380.44, 'duration': 5.22}, {'text': 'shimmy again put your front foot in you', 'start': 382.84, 'duration': 6.96}, {'text': 'put your front back foot out oh you got', 'start': 385.66, 'duration': 7.83}, {'text': ""achieve it I like that like that let's"", 'start': 389.8, 'duration': 5.46}, {'text': 'see if this works jump back right did', 'start': 393.49, 'duration': 5.25}, {'text': 'you do jumping onto that how did you', 'start': 395.26, 'duration': 6.659}, {'text': ""know cuz I'm a genius oh my god run off"", 'start': 398.74, 'duration': 4.86}, {'text': 'to run off like the best but in the game', 'start': 401.919, 'duration': 6.361}, {'text': ""yeah she ain't got my yeah not even fair"", 'start': 403.6, 'duration': 6.45}, {'text': 'yes one for Chris against lose control', 'start': 408.28, 'duration': 3.57}, {'text': 'and the losers finals the loser of this', 'start': 410.05, 'duration': 4.02}, {'text': 'match gets third place the winner gets a', 'start': 411.85, 'duration': 3.87}, {'text': ""chance at Capcom's here on the grand"", 'start': 414.07, 'duration': 5.64}, {'text': 'final can confirm from lose control this', 'start': 415.72, 'duration': 5.19}, {'text': 'is all trying to turn all the pressures', 'start': 419.71, 'duration': 3.78}, {'text': ""right wins I have no idea why I'm over"", 'start': 420.91, 'duration': 4.41}, {'text': ""heading so much oh yeah you're doing it"", 'start': 423.49, 'duration': 8.94}, {'text': ""all why like you don't got X Factor all"", 'start': 425.32, 'duration': 8.21}, {'text': ""right let's get back to pull this off oh"", 'start': 432.43, 'duration': 3.33}, {'text': ""that's not good oh and i gotta work"", 'start': 433.53, 'duration': 4.12}, {'text': ""that's gonna work oh not gonna work okay"", 'start': 435.76, 'duration': 3.64}, {'text': ""now we're gonna do we're gonna do"", 'start': 437.65, 'duration': 5.68}, {'text': ""Oh ultra Oh users that's right not sure"", 'start': 439.4, 'duration': 5.7}, {'text': ""I respect it i understand why you didn't"", 'start': 443.33, 'duration': 6.899}, {'text': ""know i'ma go from go for the random that"", 'start': 445.1, 'duration': 9.72}, {'text': ""was supposed to be it hey y'all let's"", 'start': 450.229, 'duration': 10.291}, {'text': 'eat this work ah and chris she takes it', 'start': 454.82, 'duration': 7.26}, {'text': '30 against lose control lose control', 'start': 460.52, 'duration': 3.45}, {'text': 'your third place here now extreme', 'start': 462.08, 'duration': 3.059}, {'text': 'monster super street fighter four', 'start': 463.97, 'duration': 5.4}, {'text': 'singles tournament alright alright let', 'start': 465.139, 'duration': 7.411}, {'text': 'me see if i could get this get my my', 'start': 469.37, 'duration': 6.68}, {'text': 'your mojo back yeah', 'start': 472.55, 'duration': 3.5}]"
RAOf,kajNkasozK8,[205],
7FOf,_NaSBcEJQ7Y,[14],
JlOf,3Dgg-SQZCXM,[3378],"[{'text': 'how many bones do you have in your body', 'start': 8.929, 'duration': 6.851}, {'text': 'you have 206 that makes up about 20% of', 'start': 11.54, 'duration': 6.52}, {'text': 'your body mass but what would happen if', 'start': 15.78, 'duration': 5.009}, {'text': ""we didn't have bones well we would kind"", 'start': 18.06, 'duration': 5.219}, {'text': 'of look like slugs who just kind of', 'start': 20.789, 'duration': 4.08}, {'text': ""crawl around on the ground we wouldn't"", 'start': 23.279, 'duration': 3.451}, {'text': 'really have any definite shape or form', 'start': 24.869, 'duration': 4.17}, {'text': ""we wouldn't be able to around we"", 'start': 26.73, 'duration': 4.23}, {'text': ""wouldn't be able to exercise we wouldn't"", 'start': 29.039, 'duration': 4.531}, {'text': 'be able to do basic daily functions so', 'start': 30.96, 'duration': 4.95}, {'text': 'because of this the body is a triumph of', 'start': 33.57, 'duration': 5.43}, {'text': 'design and engineering but what are the', 'start': 35.91, 'duration': 5.76}, {'text': 'purpose of bones bones have several', 'start': 39.0, 'duration': 4.59}, {'text': 'different functions one of them is', 'start': 41.67, 'duration': 4.35}, {'text': 'support so the bones provide a framework', 'start': 43.59, 'duration': 4.62}, {'text': 'that support the body and it also', 'start': 46.02, 'duration': 4.83}, {'text': 'cradles soft organs for example those of', 'start': 48.21, 'duration': 4.529}, {'text': 'the lower limb act as pillars for', 'start': 50.85, 'duration': 4.08}, {'text': 'support for the body trunk this means', 'start': 52.739, 'duration': 4.171}, {'text': 'that the appendicular skeleton shown in', 'start': 54.93, 'duration': 4.859}, {'text': 'pink will support the axial skeleton', 'start': 56.91, 'duration': 5.579}, {'text': 'that was shown in blue the second one is', 'start': 59.789, 'duration': 4.59}, {'text': 'movement skeletal muscles attached to', 'start': 62.489, 'duration': 4.111}, {'text': 'bones by tendons and they use bones as', 'start': 64.379, 'duration': 5.221}, {'text': 'levers to move the body parts because of', 'start': 66.6, 'duration': 5.55}, {'text': ""this we're able to walk we're able to"", 'start': 69.6, 'duration': 4.74}, {'text': ""hold objects for you and we're also able"", 'start': 72.15, 'duration': 6.0}, {'text': 'to breathe another important function is', 'start': 74.34, 'duration': 5.97}, {'text': 'so let me give you some examples of', 'start': 78.15, 'duration': 4.08}, {'text': 'things the fuze bone of the skull', 'start': 80.31, 'duration': 4.05}, {'text': 'protects your brain the vertebrae', 'start': 82.23, 'duration': 4.47}, {'text': 'surround the spinal cord and then the', 'start': 84.36, 'duration': 4.65}, {'text': 'ribcage helps protect the vital organs', 'start': 86.7, 'duration': 6.62}, {'text': 'of the flora then we have mineral soil', 'start': 89.01, 'duration': 7.56}, {'text': 'bone is a reservoir for minerals most', 'start': 93.32, 'duration': 5.98}, {'text': 'importantly calcium and phosphate the', 'start': 96.57, 'duration': 4.56}, {'text': 'stored minerals are released into the', 'start': 99.3, 'duration': 3.96}, {'text': 'bloodstream as needed for distributions', 'start': 101.13, 'duration': 5.04}, {'text': 'to all parts of the body another', 'start': 103.26, 'duration': 4.74}, {'text': 'important function is blood cell', 'start': 106.17, 'duration': 5.15}, {'text': 'production most blood cell formation or', 'start': 108.0, 'duration': 6.51}, {'text': 'hematopoiesis occurs in the marrow', 'start': 111.32, 'duration': 5.95}, {'text': 'cavities of certain bones among these', 'start': 114.51, 'duration': 4.92}, {'text': 'are red blood cells white blood cells', 'start': 117.27, 'duration': 6.0}, {'text': ""and platelets finally there's energy"", 'start': 119.43, 'duration': 6.54}, {'text': 'storage that is stored in the bone', 'start': 123.27, 'duration': 5.04}, {'text': 'cavities and represents a source of', 'start': 125.97, 'duration': 6.24}, {'text': 'stored energy for the body so I bet', 'start': 128.31, 'duration': 5.64}, {'text': ""you're thinking how am I gonna remember"", 'start': 132.21, 'duration': 4.26}, {'text': 'all of this stuff well I came up with an', 'start': 133.95, 'duration': 4.3}, {'text': 'acronym to help you', 'start': 136.47, 'duration': 4.63}, {'text': 'some might pick Mexican seafood but', 'start': 138.25, 'duration': 5.31}, {'text': 'children prefer egg salad this', 'start': 141.1, 'duration': 5.07}, {'text': 'translates to support movement', 'start': 143.56, 'duration': 5.04}, {'text': 'protection mineral storage blood cell', 'start': 146.17, 'duration': 6.15}, {'text': 'production and energy storage now I want', 'start': 148.6, 'duration': 6.86}, {'text': 'you to try and make your own', 'start': 152.32, 'duration': 3.14}, {'text': 'you', 'start': 164.58, 'duration': 2.06}]"
6eOf,kl6cmjgmR6c,"[0, 1, 5, 319]",
TLOf,kq6tmY6c34A,[1897],
qsOf,ku9hBsZUqio,"[21, 23, 24, 115, 520]",
JrOf,kyOgqeknXMw,"[2, 44, 46, 107, 109, 114, 145, 155, 854, 1164, 1914]","[{'text': 'Hong Kong International Airport is one', 'start': 0.74, 'duration': 4.72}, {'text': 'of the finest and busiest airports in', 'start': 3.6, 'duration': 4.35}, {'text': 'the world every day more than 900', 'start': 5.46, 'duration': 4.11}, {'text': 'flights arrive and depart from the', 'start': 7.95, 'duration': 3.99}, {'text': 'airport as the airport is a premier', 'start': 9.57, 'duration': 4.439}, {'text': 'international and regional aviation hub', 'start': 11.94, 'duration': 4.32}, {'text': 'some airlines are introducing', 'start': 14.009, 'duration': 4.381}, {'text': 'cutting-edge aircraft to serve the Hong', 'start': 16.26, 'duration': 5.07}, {'text': 'Kong market these new aircraft are more', 'start': 18.39, 'duration': 5.67}, {'text': 'fuel-efficient quieter and offer better', 'start': 21.33, 'duration': 5.16}, {'text': 'performance they also meet stricter', 'start': 24.06, 'duration': 4.74}, {'text': 'noise standards set by the International', 'start': 26.49, 'duration': 6.48}, {'text': 'Civil Aviation Organization ICAO in fact', 'start': 28.8, 'duration': 7.77}, {'text': 'all aircraft delivered after 2006 must', 'start': 32.97, 'duration': 7.73}, {'text': 'conform to IQs new standards this Boeing', 'start': 36.57, 'duration': 6.69}, {'text': '747 - ignore is the latest one from', 'start': 40.7, 'duration': 5.53}, {'text': ""Boeing compared with - 400 it's got a"", 'start': 43.26, 'duration': 6.3}, {'text': 'lot of the fuselage by 4 meters and also', 'start': 46.23, 'duration': 6.12}, {'text': 'the wingspan increased in by 4 meters as', 'start': 49.56, 'duration': 6.06}, {'text': 'well with the new design features on the', 'start': 52.35, 'duration': 5.85}, {'text': 'material selections and also the engine', 'start': 55.62, 'duration': 5.18}, {'text': 'designs pieces which results in', 'start': 58.2, 'duration': 6.63}, {'text': 'achieving 30% noise reduction compared', 'start': 60.8, 'duration': 6.6}, {'text': 'with the 400 and also the few', 'start': 64.83, 'duration': 7.49}, {'text': ""see increased by 50% 50 and it's 2nd"", 'start': 67.4, 'duration': 7.95}, {'text': 'generation science in used on - checked', 'start': 72.32, 'duration': 5.7}, {'text': ""model it's got a special features on a"", 'start': 75.35, 'duration': 5.88}, {'text': 'design on the engine cowling in net and', 'start': 78.02, 'duration': 6.09}, {'text': 'also the exhaust area the special', 'start': 81.23, 'duration': 5.64}, {'text': 'chevron shape of the cowling actually', 'start': 84.11, 'duration': 5.22}, {'text': 'can allow phallus mixture of coal', 'start': 86.87, 'duration': 4.71}, {'text': 'Airstream and hot air stream which would', 'start': 89.33, 'duration': 4.76}, {'text': 'reduce the noise level by 30% or more', 'start': 91.58, 'duration': 5.04}, {'text': 'Hong Kong International Airport is the', 'start': 94.09, 'duration': 4.59}, {'text': 'first airport to be served by the Boeing', 'start': 96.62, 'duration': 5.97}, {'text': '747 - eight freighter in October 2011', 'start': 98.68, 'duration': 5.95}, {'text': 'cargolux introduced the freighter to', 'start': 102.59, 'duration': 4.65}, {'text': 'service its Hong Kong route another new', 'start': 104.63, 'duration': 5.88}, {'text': 'aircraft is the Airbus a380 which is the', 'start': 107.24, 'duration': 6.27}, {'text': 'largest civil aircraft offering over 40', 'start': 110.51, 'duration': 4.44}, {'text': 'percent greater capacity than the', 'start': 113.51, 'duration': 5.37}, {'text': 'nearest competitors but a 17% reduction', 'start': 114.95, 'duration': 7.08}, {'text': 'in fuel consumption and carbon emissions', 'start': 118.88, 'duration': 6.78}, {'text': 'the a380 is also two times quieter at', 'start': 122.03, 'duration': 8.07}, {'text': 'takeoff and three to four times quieter', 'start': 125.66, 'duration': 7.22}, {'text': 'at landing', 'start': 130.1, 'duration': 2.78}, {'text': 'Hong Kong International Airport is among', 'start': 133.55, 'duration': 4.56}, {'text': 'the first batch of airports to service', 'start': 136.1, 'duration': 4.35}, {'text': 'this super jumbo jet a number of', 'start': 138.11, 'duration': 4.86}, {'text': 'airlines have already put the a380 in', 'start': 140.45, 'duration': 4.8}, {'text': 'service on more than 30 flights to and', 'start': 142.97, 'duration': 4.74}, {'text': 'from the airport every week the boeing', 'start': 145.25, 'duration': 5.19}, {'text': '787 dreamliner is the latest model of', 'start': 147.71, 'duration': 4.62}, {'text': 'aircraft in service that complies with', 'start': 150.44, 'duration': 5.49}, {'text': 'chapter 4 no standards on 26th of', 'start': 152.33, 'duration': 6.21}, {'text': ""October 2011 the world's first"", 'start': 155.93, 'duration': 4.83}, {'text': 'commercial 787 dreamliner flight', 'start': 158.54, 'duration': 5.13}, {'text': 'departed Japan and landed at Hong Kong', 'start': 160.76, 'duration': 5.82}, {'text': 'International Airport the Dreamliner is', 'start': 163.67, 'duration': 5.4}, {'text': 'especially quiet in operation producing', 'start': 166.58, 'duration': 5.85}, {'text': '1/3 less noise than older aircraft fuel', 'start': 169.07, 'duration': 5.13}, {'text': 'consumption and carbon emissions are', 'start': 172.43, 'duration': 4.8}, {'text': 'also 15 to 20 percent lower helping to', 'start': 174.2, 'duration': 5.34}, {'text': 'improve air quality as airlines', 'start': 177.23, 'duration': 4.23}, {'text': 'constantly introduce new types of', 'start': 179.54, 'duration': 3.96}, {'text': 'aircraft to expand their fleets or', 'start': 181.46, 'duration': 4.47}, {'text': 'replace retired planes we will see more', 'start': 183.5, 'duration': 5.64}, {'text': 'newer faster quieter fuel efficient and', 'start': 185.93, 'duration': 5.52}, {'text': 'lower emission aircraft taking to the', 'start': 189.14, 'duration': 3.66}, {'text': 'skies from Hong Kong International', 'start': 191.45, 'duration': 4.31}, {'text': 'Airport', 'start': 192.8, 'duration': 2.96}]"
nEOf,l-UiZcH5fIY,[2645],
MfOf,l-6enHG2-L0,"[0, 1, 27, 88]",
VuOf,l0yeabbC7MI,"[2, 7, 90, 165, 1590]",
