meJq,zQ0ojdDLIwQ,"[31, 40]",
QUQT,SV5RHOJQwxY,"[6, 133, 325]",
SAQT,SZssVzx7tBo,"[19, 94, 524, 753, 988]",
CnQT,hn_xLaSm1-s,"[1, 19, 230]",
psQT,,"[491, 3109]",
jNQT,IVcsAlicpkc,"[6, 8]",
RQQT,IW7X6nC9Q0s,"[3, 4, 6, 9, 13, 37, 38]",
8AQT,JSTSy7yKiEU,"[0, 1, 180, 219, 546]",
NpQT,JTOAKssVo1s,"[15, 18, 59, 178, 805, 1661]","[{'text': 'this is an update from reef dummies this', 'start': 1.129, 'duration': 9.281}, {'text': 'is our 75 gallon saltwater aquarium that', 'start': 6.299, 'duration': 8.25}, {'text': 'we started seven days ago we added some', 'start': 10.41, 'duration': 8.28}, {'text': 'bio spiral live nitrifying bacteria to', 'start': 14.549, 'duration': 7.74}, {'text': 'the time seven days ago and about three', 'start': 18.69, 'duration': 5.91}, {'text': 'days ago we had some spikes in our', 'start': 22.289, 'duration': 7.56}, {'text': 'ammonia nitrite and nitrate and today', 'start': 24.6, 'duration': 8.13}, {'text': 'when my husband done the test on the', 'start': 29.849, 'duration': 8.181}, {'text': 'water all of the levels are 0 for', 'start': 32.73, 'duration': 9.54}, {'text': 'ammonia nitrite and nitrate and our pH', 'start': 38.03, 'duration': 6.91}, {'text': 'is exactly where it needs to be so I', 'start': 42.27, 'duration': 5.789}, {'text': 'guess is safe to say that our tank has', 'start': 44.94, 'duration': 11.189}, {'text': 'cycled we are still trying to fine-tune', 'start': 48.059, 'duration': 11.82}, {'text': ""the protein skimmer it's doing a little"", 'start': 56.129, 'duration': 8.221}, {'text': 'better than it was a few days ago but it', 'start': 59.879, 'duration': 7.53}, {'text': ""still hasn't broken yet we call customer"", 'start': 64.35, 'duration': 5.96}, {'text': 'service and he shops in that the', 'start': 67.409, 'duration': 5.911}, {'text': 'break-in time was ten to twelve days and', 'start': 70.31, 'duration': 5.71}, {'text': ""it's only been eight days so hopefully"", 'start': 73.32, 'duration': 5.58}, {'text': 'in a couple of days or it leaves by four', 'start': 76.02, 'duration': 7.65}, {'text': 'days it will be completely broken we are', 'start': 78.9, 'duration': 8.039}, {'text': 'also going to add a hang on the back', 'start': 83.67, 'duration': 7.83}, {'text': ""refugium that we have we're going to add"", 'start': 86.939, 'duration': 6.511}, {'text': 'that in the next couple of days and', 'start': 91.5, 'duration': 4.049}, {'text': ""we'll be doing another update and we get"", 'start': 93.45, 'duration': 5.25}, {'text': ""that on we're also looking at some t5"", 'start': 95.549, 'duration': 6.661}, {'text': 'lights of the lighting system so we can', 'start': 98.7, 'duration': 5.94}, {'text': 'get some corals in the next two or three', 'start': 102.21, 'duration': 6.33}, {'text': 'weeks so when we get everything as we', 'start': 104.64, 'duration': 6.6}, {'text': 'add everything will be posting more', 'start': 108.54, 'duration': 6.0}, {'text': 'videos right now our fish are doing', 'start': 111.24, 'duration': 8.519}, {'text': 'great the salt level is good our power', 'start': 114.54, 'duration': 7.439}, {'text': 'heads are working great I think the fish', 'start': 119.759, 'duration': 3.841}, {'text': 'are getting used to the power heads now', 'start': 121.979, 'duration': 5.85}, {'text': 'our hermit crab is diligently searching', 'start': 123.6, 'duration': 5.23}, {'text': 'for a new shade', 'start': 127.829, 'duration': 3.821}, {'text': ""there are two in there but he can't fit"", 'start': 128.83, 'duration': 4.77}, {'text': ""in them so today we're going to have to"", 'start': 131.65, 'duration': 5.64}, {'text': 'go to the fish store that we get all of', 'start': 133.6, 'duration': 6.03}, {'text': 'our information from and our products', 'start': 137.29, 'duration': 4.71}, {'text': 'from Kyle marine world in Hot Springs', 'start': 139.63, 'duration': 5.19}, {'text': ""Arkansas they're great by the way so"", 'start': 142.0, 'duration': 5.1}, {'text': ""we're going to go and get try to give"", 'start': 144.82, 'duration': 4.11}, {'text': ""him another shell because it's about to"", 'start': 147.1, 'duration': 5.4}, {'text': 'drive him crazy so this has just been a', 'start': 148.93, 'duration': 6.54}, {'text': 'little update of our tight our tank is', 'start': 152.5, 'duration': 6.24}, {'text': 'officially cycled I think and if you', 'start': 155.47, 'duration': 6.24}, {'text': 'have any suggestions comments leave them', 'start': 158.74, 'duration': 5.27}, {'text': 'in the comment section will be glad to', 'start': 161.71, 'duration': 5.87}, {'text': 'take any advice that anybody has and', 'start': 164.01, 'duration': 8.49}, {'text': 'like and subscribe thanks', 'start': 167.58, 'duration': 4.92}]"
3oQT,,"[5, 49, 80]",
SoQT,gPmOXMx1fp8,"[6, 14]",
VcQT,CVIQLvUFgNw,"[479, 1401]",
mMQT,Ch_ErXeRwP0,[972],
8WQT,CjaGTCjxg38,[159],
f1QT,gYTBLD4KYR4,[92],"[{'text': 'joy Phelps and I am here with none other', 'start': 0.0, 'duration': 5.1}, {'text': 'than Paulie Malignaggi thank you so much', 'start': 3.27, 'duration': 3.839}, {'text': 'for doing this interview how are you', 'start': 5.1, 'duration': 4.619}, {'text': 'feeling today you look this is after the', 'start': 7.109, 'duration': 4.921}, {'text': ""press conference yeah I'm good I'm um"", 'start': 9.719, 'duration': 5.911}, {'text': ""I'm calm you know I kind of just booked"", 'start': 12.03, 'duration': 5.07}, {'text': 'out of it after I got done with a poet', 'start': 15.63, 'duration': 3.72}, {'text': ""himself you know I I'm pretty calm you"", 'start': 17.1, 'duration': 3.57}, {'text': 'know at this point my mind is set on the', 'start': 19.35, 'duration': 4.28}, {'text': ""fight it's not set on anything else so a"", 'start': 20.67, 'duration': 5.359}, {'text': ""lot of people's concern is that"", 'start': 23.63, 'duration': 5.649}, {'text': 'obviously he brought that girl to the', 'start': 26.029, 'duration': 5.771}, {'text': 'press conference I think to kind of get', 'start': 29.279, 'duration': 4.05}, {'text': ""under your skin and I think that's kind"", 'start': 31.8, 'duration': 3.599}, {'text': ""of what he's hoping for right so how are"", 'start': 33.329, 'duration': 4.5}, {'text': 'you keeping yourself from like not', 'start': 35.399, 'duration': 4.98}, {'text': 'letting that affect you oh really never', 'start': 37.829, 'duration': 4.261}, {'text': 'really affected me I just had a problem', 'start': 40.379, 'duration': 3.121}, {'text': 'with people thinking that was like a', 'start': 42.09, 'duration': 2.64}, {'text': 'real girlfriend of mine is home you know', 'start': 43.5, 'duration': 3.32}, {'text': ""I don't it wasn't like it's not somebody"", 'start': 44.73, 'duration': 4.079}, {'text': ""from what I'm hearing their passing her"", 'start': 46.82, 'duration': 3.61}, {'text': 'around all over the band camp anyway and', 'start': 48.809, 'duration': 2.791}, {'text': ""it's lets our business is their business"", 'start': 50.43, 'duration': 3.18}, {'text': ""you know it's it's fine i just don't"", 'start': 51.6, 'duration': 3.75}, {'text': 'want to be associated with her because', 'start': 53.61, 'duration': 3.719}, {'text': 'it was a problem disassociating myself', 'start': 55.35, 'duration': 3.93}, {'text': 'from her to begin with you know and i', 'start': 57.329, 'duration': 3.841}, {'text': 'think you did it smart to I mean it was', 'start': 59.28, 'duration': 3.75}, {'text': 'very public but in a way that needed to', 'start': 61.17, 'duration': 3.3}, {'text': ""be addressed because I think it's"", 'start': 63.03, 'duration': 3.69}, {'text': 'important that everyone does know that', 'start': 64.47, 'duration': 4.77}, {'text': 'that was never your girlfriend okay so', 'start': 66.72, 'duration': 4.59}, {'text': ""enough about her let's get back to the"", 'start': 69.24, 'duration': 6.629}, {'text': 'fight so training camp um how is', 'start': 71.31, 'duration': 6.09}, {'text': ""everything coming along I mean we're"", 'start': 75.869, 'duration': 4.531}, {'text': 'only what two days away from the fight', 'start': 77.4, 'duration': 4.95}, {'text': ""yeah everything's good you know I"", 'start': 80.4, 'duration': 3.78}, {'text': ""couldn't ask for anything better if I'm"", 'start': 82.35, 'duration': 3.72}, {'text': 'gonna go into the most important fight', 'start': 84.18, 'duration': 4.11}, {'text': ""of my life I'd I'd prefer to feel like"", 'start': 86.07, 'duration': 3.78}, {'text': 'this you know they get to become as one', 'start': 88.29, 'duration': 3.6}, {'text': ""of those camps where it's like okay I'm"", 'start': 89.85, 'duration': 4.229}, {'text': 'coming in with my best arsenal I feel', 'start': 91.89, 'duration': 6.269}, {'text': 'good um and you know like I said I tell', 'start': 94.079, 'duration': 5.341}, {'text': 'you all the time every training camp is', 'start': 98.159, 'duration': 2.971}, {'text': 'different his ups and downs in it all', 'start': 99.42, 'duration': 3.809}, {'text': 'the time and and you know you peek at', 'start': 101.13, 'duration': 4.169}, {'text': 'different times during camp you want a', 'start': 103.229, 'duration': 3.241}, {'text': 'peek at the right time sometimes you', 'start': 105.299, 'duration': 3.0}, {'text': 'just never get shot what you want to get', 'start': 106.47, 'duration': 3.81}, {'text': 'sometimes you get very sharp so you know', 'start': 108.299, 'duration': 4.381}, {'text': ""it's difficult but you know I feel like"", 'start': 110.28, 'duration': 4.049}, {'text': 'everything came together really good', 'start': 112.68, 'duration': 3.63}, {'text': 'this camp you know so going into a fight', 'start': 114.329, 'duration': 4.411}, {'text': 'of this magnitude I would want these', 'start': 116.31, 'duration': 4.29}, {'text': 'guns loaded the way I have them right', 'start': 118.74, 'duration': 3.78}, {'text': 'now you know ready for Saturday so I', 'start': 120.6, 'duration': 3.9}, {'text': ""can't I can't ask for anything better so"", 'start': 122.52, 'duration': 4.889}, {'text': 'I wanted to ask you something um I read', 'start': 124.5, 'duration': 6.599}, {'text': 'that you sort of lost your passion for', 'start': 127.409, 'duration': 5.461}, {'text': 'boxing or questioned your passion for', 'start': 131.099, 'duration': 2.761}, {'text': 'boxing after that', 'start': 132.87, 'duration': 2.64}, {'text': 'hatton fight and that you kind of went', 'start': 133.86, 'duration': 5.1}, {'text': 'into seclusion what brought you back to', 'start': 135.51, 'duration': 5.43}, {'text': 'where you are now to where you love', 'start': 138.96, 'duration': 5.58}, {'text': ""boxing um I wouldn't say I love it but I"", 'start': 140.94, 'duration': 6.21}, {'text': ""i I'm still competitor you know um I"", 'start': 144.54, 'duration': 5.58}, {'text': ""don't I think it's boxing is kind of"", 'start': 147.15, 'duration': 4.89}, {'text': 'like that first time you fall in love', 'start': 150.12, 'duration': 4.53}, {'text': ""it's like in the way where you never"", 'start': 152.04, 'duration': 4.35}, {'text': 'quite get it the same way again you know', 'start': 154.65, 'duration': 3.33}, {'text': ""no matter what because you're so naive I"", 'start': 156.39, 'duration': 3.15}, {'text': 'mean a boxing in the beginning when that', 'start': 157.98, 'duration': 3.3}, {'text': 'passion I had for it and then you kind', 'start': 159.54, 'duration': 4.8}, {'text': 'of got disgusted with it um not so much', 'start': 161.28, 'duration': 4.53}, {'text': 'for any loss for just the business and', 'start': 164.34, 'duration': 2.64}, {'text': 'stuff like that you know politics', 'start': 165.81, 'duration': 3.6}, {'text': 'politics yeah and so you know you never', 'start': 166.98, 'duration': 4.65}, {'text': 'quite get that same passion for it back', 'start': 169.41, 'duration': 3.72}, {'text': 'I get 20 when I see the young fighters', 'start': 171.63, 'duration': 2.7}, {'text': 'that passion I used to have and I', 'start': 173.13, 'duration': 2.85}, {'text': 'remember I just look at them and I think', 'start': 174.33, 'duration': 2.82}, {'text': 'to myself like I remember when I thought', 'start': 175.98, 'duration': 2.759}, {'text': 'like these guys you know when I thought', 'start': 177.15, 'duration': 3.78}, {'text': ""like this kid and it's such a nice thing"", 'start': 178.739, 'duration': 4.171}, {'text': 'to see but you know everybody eventually', 'start': 180.93, 'duration': 4.05}, {'text': 'going to pass that point and kind of', 'start': 182.91, 'duration': 4.44}, {'text': 'become a little bit bitter with it or', 'start': 184.98, 'duration': 4.17}, {'text': 'discuss it with it or just turned off by', 'start': 187.35, 'duration': 4.62}, {'text': ""it to a degree no um I'm a competitor so"", 'start': 189.15, 'duration': 5.4}, {'text': 'I still have a big passion for competing', 'start': 191.97, 'duration': 4.14}, {'text': 'especially a fight like this with this', 'start': 194.55, 'duration': 4.05}, {'text': 'magnitude I still have a big passion for', 'start': 196.11, 'duration': 5.52}, {'text': 'um the roar of the crowd and and you', 'start': 198.6, 'duration': 4.56}, {'text': 'know the adrenaline rush I get out of', 'start': 201.63, 'duration': 3.06}, {'text': ""walking out to the ring and then now I'm"", 'start': 203.16, 'duration': 3.69}, {'text': 'being announced and fighting and just', 'start': 204.69, 'duration': 3.359}, {'text': 'stuff like that you know that stuff is', 'start': 206.85, 'duration': 3.33}, {'text': 'just as a man and yes your ego you know', 'start': 208.049, 'duration': 3.72}, {'text': ""you're just never gonna you never gonna"", 'start': 210.18, 'duration': 4.14}, {'text': 'be able to duplicate that one day when', 'start': 211.769, 'duration': 4.021}, {'text': ""it's over so you always get a rush out"", 'start': 214.32, 'duration': 4.139}, {'text': 'of it you know so commentator and is', 'start': 215.79, 'duration': 4.08}, {'text': 'this something that you definitely want', 'start': 218.459, 'duration': 3.121}, {'text': 'to do once you retire from boxing me', 'start': 219.87, 'duration': 3.66}, {'text': ""permanently yeah yeah I'll I like to"", 'start': 221.58, 'duration': 4.23}, {'text': ""stay the commentator and it's fun and I"", 'start': 223.53, 'duration': 4.11}, {'text': 'enjoy it you could still be around the', 'start': 225.81, 'duration': 4.29}, {'text': 'boxing and the fans and the hype of it', 'start': 227.64, 'duration': 3.96}, {'text': ""all right it's not the same though as"", 'start': 230.1, 'duration': 3.09}, {'text': ""far as that rush I mean don't get me"", 'start': 231.6, 'duration': 4.859}, {'text': ""wrong a lot of times I I'll be out of"", 'start': 233.19, 'duration': 5.7}, {'text': ""fight I'll be working a fight and I'll"", 'start': 236.459, 'duration': 4.111}, {'text': 'be in this crowd would be going crazy', 'start': 238.89, 'duration': 3.36}, {'text': ""and everything and sometimes I'll be"", 'start': 240.57, 'duration': 2.97}, {'text': ""like man I can't wait to let to me again"", 'start': 242.25, 'duration': 4.23}, {'text': ""but sometimes I'm like better you than"", 'start': 243.54, 'duration': 5.37}, {'text': ""me man I'm saying so so it's like you"", 'start': 246.48, 'duration': 4.289}, {'text': ""know the the passion isn't there the"", 'start': 248.91, 'duration': 3.96}, {'text': 'same way but when it comes time to see', 'start': 250.769, 'duration': 3.901}, {'text': ""fights like this to find I'm involved in"", 'start': 252.87, 'duration': 5.01}, {'text': 'this week I think you know I even I know', 'start': 254.67, 'duration': 6.36}, {'text': ""that it'sit's it invokes those deep"", 'start': 257.88, 'duration': 5.43}, {'text': 'inner emotions where where you really', 'start': 261.03, 'duration': 5.22}, {'text': 'really know and tell yourself this is', 'start': 263.31, 'duration': 4.36}, {'text': 'why you do this this is why I started', 'start': 266.25, 'duration': 3.37}, {'text': ""oxen to begin with you know when you're"", 'start': 267.67, 'duration': 3.42}, {'text': ""hitting a bag as a teenager or you're"", 'start': 269.62, 'duration': 3.06}, {'text': 'doing that road work as a kid and and', 'start': 271.09, 'duration': 3.12}, {'text': 'you know you can only for that amateur', 'start': 272.68, 'duration': 2.76}, {'text': 'tournament or whatnot and you have those', 'start': 274.21, 'duration': 2.55}, {'text': 'dreams just passing through your mind as', 'start': 275.44, 'duration': 3.12}, {'text': ""you're training these are moments there"", 'start': 276.76, 'duration': 5.18}, {'text': 'moments like this you know so', 'start': 278.56, 'duration': 3.38}]"
b9QT,ghtQxY2eA5Q,"[0, 1, 1793]",
GmQT,9gZ6xPu6IwU,[25],
BDQT,LPIWogTtrz4,"[6, 8]",
mhQT,LTvm39_vUws,"[251, 1133, 1507]",
HXQT,LXF1KC1UBJk,[43],
XdQT,LYUPAJZS938,[5],"[{'text': 'when I first opened I was super excited', 'start': 10.0, 'duration': 4.99}, {'text': ""to work with a company and do what I've"", 'start': 12.889, 'duration': 4.351}, {'text': 'always wanted to do and that is draw', 'start': 14.99, 'duration': 4.92}, {'text': 'working with a company was fantastic and', 'start': 17.24, 'duration': 5.1}, {'text': 'a brand name because there was always a', 'start': 19.91, 'duration': 5.91}, {'text': 'clear direction and a brief at hand but', 'start': 22.34, 'duration': 5.099}, {'text': 'it was when I started working', 'start': 25.82, 'duration': 3.119}, {'text': 'independently a year and a half later', 'start': 27.439, 'duration': 4.021}, {'text': 'that I started questioning whether I', 'start': 28.939, 'duration': 5.221}, {'text': 'would ever have any ideas or whether', 'start': 31.46, 'duration': 4.529}, {'text': ""we'll stop completely and would that"", 'start': 34.16, 'duration': 3.6}, {'text': 'have something to always say in pictures', 'start': 35.989, 'duration': 3.57}, {'text': 'then that means or something to draw', 'start': 37.76, 'duration': 3.96}, {'text': ""about I've lived with this insecurity"", 'start': 39.559, 'duration': 3.961}, {'text': 'since I started posting illustrations', 'start': 41.72, 'duration': 4.8}, {'text': 'daily online but it was that fear that', 'start': 43.52, 'duration': 4.89}, {'text': 'taught me one of my dearest lessons that', 'start': 46.52, 'duration': 3.9}, {'text': 'can be summarized in just one word one', 'start': 48.41, 'duration': 4.59}, {'text': 'simple word and that is noticing', 'start': 50.42, 'duration': 4.65}, {'text': 'everything seems like a Bollywood movie', 'start': 53.0, 'duration': 4.02}, {'text': ""as you can imagine it's not like you can"", 'start': 55.07, 'duration': 3.48}, {'text': 'avoid seeing the coward that decides', 'start': 57.02, 'duration': 3.15}, {'text': 'they can nap in the middle of the road', 'start': 58.55, 'duration': 3.48}, {'text': 'oh the chai wallah who scratches his', 'start': 60.17, 'duration': 3.69}, {'text': 'armpit excessively before he serves you', 'start': 62.03, 'duration': 3.479}, {'text': ""that cup of tea that you've been looking"", 'start': 63.86, 'duration': 3.6}, {'text': 'forward to the whole evening though', 'start': 65.509, 'duration': 3.511}, {'text': 'these the new sights to me these are', 'start': 67.46, 'duration': 3.089}, {'text': 'everyday sights for an average Indian', 'start': 69.02, 'duration': 3.419}, {'text': 'but every time I drew something funny I', 'start': 70.549, 'duration': 4.14}, {'text': 'saw I realize that people giggle not at', 'start': 72.439, 'duration': 3.45}, {'text': 'the thought of the site but the', 'start': 74.689, 'duration': 2.911}, {'text': 'recollection of it I find intriguing', 'start': 75.889, 'duration': 3.241}, {'text': ""that something that's part and parcel of"", 'start': 77.6, 'duration': 3.57}, {'text': 'an everyday life can become funny when', 'start': 79.13, 'duration': 4.11}, {'text': 'just pointed out now two years later', 'start': 81.17, 'duration': 3.869}, {'text': ""I'll stop looking at things that happen"", 'start': 83.24, 'duration': 3.089}, {'text': ""daily but I've not stopped noticing"", 'start': 85.039, 'duration': 3.87}, {'text': 'though noticing clearly means observing', 'start': 86.329, 'duration': 4.5}, {'text': ""I feel like it's more it's more like an"", 'start': 88.909, 'duration': 3.96}, {'text': 'insight that leads to other thoughts so', 'start': 90.829, 'duration': 3.93}, {'text': 'suddenly the traffic jam in front of you', 'start': 92.869, 'duration': 3.691}, {'text': ""isn't just a time consuming annoyance"", 'start': 94.759, 'duration': 4.2}, {'text': 'but a clump of many windows with many', 'start': 96.56, 'duration': 4.649}, {'text': ""people's reaction to it so the guy in"", 'start': 98.959, 'duration': 4.23}, {'text': ""front of you isn't just that elbowed who"", 'start': 101.209, 'duration': 4.381}, {'text': 'we call newbies on the road but the guy', 'start': 103.189, 'duration': 5.22}, {'text': 'who thinks superbly out of tune too loud', 'start': 105.59, 'duration': 6.209}, {'text': 'jarring hindi music and the taxi driver', 'start': 108.409, 'duration': 5.52}, {'text': ""beside you doesn't sadly comprehend the"", 'start': 111.799, 'duration': 4.32}, {'text': 'value of her tissue and though these', 'start': 113.929, 'duration': 4.561}, {'text': 'windows provides great understatement', 'start': 116.119, 'duration': 4.621}, {'text': ""while you're driving they also prove as"", 'start': 118.49, 'duration': 4.409}, {'text': 'places where I sometimes get my next', 'start': 120.74, 'duration': 5.309}, {'text': 'idea for an illustration from I was on', 'start': 122.899, 'duration': 4.26}, {'text': 'my way back to the airport', 'start': 126.049, 'duration': 3.541}, {'text': 'oddly enough from Cochin and I see this', 'start': 127.159, 'duration': 3.63}, {'text': 'block on the road through this sort of a', 'start': 129.59, 'duration': 4.17}, {'text': 'dance and suddenly magically his', 'start': 130.789, 'duration': 5.4}, {'text': 'longingly becomes a short one and I was', 'start': 133.76, 'duration': 4.77}, {'text': 'like what just happened I mean I know in', 'start': 136.189, 'duration': 3.841}, {'text': 'my diary and I decided to ask someone', 'start': 138.53, 'duration': 3.09}, {'text': 'from the area about it what', 'start': 140.03, 'duration': 3.33}, {'text': 'from that observation is not only the', 'start': 141.62, 'duration': 3.839}, {'text': 'funkiest dance moved to date that I own', 'start': 143.36, 'duration': 4.019}, {'text': ""also my most popular illustration that's"", 'start': 145.459, 'duration': 4.261}, {'text': 'how to tie a lungi long and short', 'start': 147.379, 'duration': 5.161}, {'text': ""version I was at a friend's place and I"", 'start': 149.72, 'duration': 5.34}, {'text': 'saw I overheard my friends how her', 'start': 152.54, 'duration': 4.5}, {'text': 'sister that she should not eat the crust', 'start': 155.06, 'duration': 4.47}, {'text': ""of bread because they'll make a half"", 'start': 157.04, 'duration': 4.71}, {'text': 'fizzy laughter where did she hear such a', 'start': 159.53, 'duration': 4.379}, {'text': 'ridiculous statement and she told me', 'start': 161.75, 'duration': 4.92}, {'text': 'that her mom told her that her mom told', 'start': 163.909, 'duration': 5.071}, {'text': 'her so I started this series called all', 'start': 166.67, 'duration': 4.26}, {'text': 'vise tales as you can imagine is just', 'start': 168.98, 'duration': 4.2}, {'text': 'illustrated versions of superstitions', 'start': 170.93, 'duration': 4.35}, {'text': ""that I've heard over time what started"", 'start': 173.18, 'duration': 3.779}, {'text': ""out as 10 to 20 alliteration I didn't"", 'start': 175.28, 'duration': 3.06}, {'text': 'think it honestly go further than that', 'start': 176.959, 'duration': 3.87}, {'text': 'but it grew to over 300 and Counting', 'start': 178.34, 'duration': 4.83}, {'text': 'when I just are provided the opportunity', 'start': 180.829, 'duration': 3.931}, {'text': 'for people to contribute their versions', 'start': 183.17, 'duration': 3.209}, {'text': ""of old wives tales that they've hard as"", 'start': 184.76, 'duration': 3.24}, {'text': ""you know in there's the language of"", 'start': 186.379, 'duration': 3.78}, {'text': ""stories and it's funny how noticing is"", 'start': 188.0, 'duration': 3.69}, {'text': 'probably how these tales even get', 'start': 190.159, 'duration': 3.871}, {'text': 'started for example in this case a guy', 'start': 191.69, 'duration': 4.5}, {'text': 'with rather large nostrils was probably', 'start': 194.03, 'duration': 4.89}, {'text': 'doing his business and all Antipa spy', 'start': 196.19, 'duration': 4.68}, {'text': 'takes a lot puts two and two together', 'start': 198.92, 'duration': 3.33}, {'text': ""and the next thing you know she's"", 'start': 200.87, 'duration': 3.119}, {'text': 'passing on her newly acquired wisdom', 'start': 202.25, 'duration': 4.65}, {'text': 'noticing is a constant idea proposer and', 'start': 203.989, 'duration': 4.381}, {'text': ""you absolutely don't have to be an"", 'start': 206.9, 'duration': 3.089}, {'text': 'illustrator obviously to start looking', 'start': 208.37, 'duration': 3.989}, {'text': 'for things to notice so on your way back', 'start': 209.989, 'duration': 4.741}, {'text': 'home you can notice how the time the', 'start': 212.359, 'duration': 3.75}, {'text': 'food takes to arrive is inversely', 'start': 214.73, 'duration': 2.97}, {'text': 'proportionate to how hungry you are and', 'start': 216.109, 'duration': 3.841}, {'text': 'how the first few bags that come onto', 'start': 217.7, 'duration': 4.349}, {'text': 'the slide seem to never belong to anyone', 'start': 219.95, 'duration': 4.98}, {'text': ""there's a wealth of ideas solutions and"", 'start': 222.049, 'duration': 6.391}, {'text': 'our smiles just waiting to be looked at', 'start': 224.93, 'duration': 7.58}, {'text': ""if only you'd notice thank you"", 'start': 228.44, 'duration': 4.07}, {'text': 'you', 'start': 236.09, 'duration': 2.06}]"
FuQT,LZ9PiEZNY3A,"[2, 7]",
nfQT,ZsJJcp-P6WY,"[18, 43, 59]",
KUQT,_2b6uplc9Xs,"[2, 44, 46, 155, 162, 264, 377, 848]",
